Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IGOR FAZEKAŠ;DENIS OSTROŠIĆ
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;001;BAKIĆ;PODRUČNA OSNOVNA ŠKOLA BAKIĆ;BAKIĆ;426;192;192;191;1;119;72
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;002;BISTRICA;POSLOVNI PROSTOR TVRTKE TRGOCENTAR D.D.;BISTRICA 85;117;22;22;21;1;4;17
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;003;DONJI MELJANI;PODRUČNA OSNOVNA ŠKOLA;DONJI MELJANI;204;92;92;92;0;53;39
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;004;GOLENIĆ;DOM MJESNOG ODBORA;GOLENIĆ;18;12;12;12;0;5;7
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;005;GORNJI MIHOLJAC;PODRUČNA OSNOVNA ŠKOLA;GORNJI MIHOLJAC;177;106;106;105;1;77;28
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;006;IVANBRIJEG;KUĆA U VLASNIŠTVU ŽELJKA CVETIĆA;IVANBRIJEG BB;28;11;11;10;1;9;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;007;KOZICE;DOM MJESNOG ODBORA;KOZICE;393;175;175;172;3;92;80
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;008;LUKAVAC;DOM MJESNOG ODBORA;LUKAVAC;79;32;32;32;0;26;6
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;009;MARKOVO;DOM  MJESNOG ODBORA;MARKOVO;107;48;48;43;5;22;21
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;010;MEDINCI;DOM MJESNOG ODBORA;MEDINCI;177;58;58;55;3;24;31
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;011;NOVI SENKOVAC;PODRUČNA OSNOVNA ŠKOLA;NOVI SENKOVAC;220;108;108;108;0;57;51
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;012;RADOSAVCI;KUĆA U VLASNIŠTVU ZDENKA FODORA;RADOSAVCI 14;82;48;48;48;0;17;31
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;013;SLADOJEVAČKI LUG;DOM MJESNOG ODBORA;SLADOJEVAČKI LUG;71;44;44;44;0;25;19
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;014;SLADOJEVCI;PODRUČNA OSNOVNA ŠKOLA;SLADOJEVCI;580;195;195;192;3;119;73
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;015;SLATINA;DOM MJESNOG ODBORA BRAĆE RADIĆ I MATIJA GUBEC (ZGRADA ''III.RAJON'');BRAĆE RADIĆA 124;657;242;242;235;7;104;131
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;016;SLATINA;ZGRADA HRVATSKOG DOMA;BRAĆE RADIĆA 4;656;302;302;295;7;126;169
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;017;SLATINA;INDUSTRIJSKO-OBRTNIČKA ŠKOLA SLATINA;TRG RUĐERA BOŠKOVIĆA 5 A;608;269;269;260;9;118;142
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;018;SLATINA;"ZGRADA DJEČJEG VRTIĆA ""ZEKO""";TRG ZBORA NARODNE GARDE 1;637;292;292;283;9;120;163
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;019;SLATINA;ZGRADA NEVLADINIH ORGANIZACIJA I GRADSKOG DRUŠTVA CRVENOG KRIŽA;BRAĆE RADIĆA 13A;868;297;297;292;5;146;146
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;020;SLATINA;DOM DVD-A;ANTE KOVAČIĆA 4;669;297;297;287;10;105;182
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;021;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIĆA ZRINSKOG 2;634;266;266;260;6;116;144
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;022;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIĆA ZRINSKOG 2;640;234;234;228;6;100;128
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;023;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIĆA ZRINSKOG 2;714;312;312;311;1;152;159
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;024;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIĆA ZRINSKOG 2;685;329;329;318;11;168;150
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;025;SLATINA;OSNOVNA ŠKOLA EUGENA KUMIČIĆA;DOBRIŠE CESARIĆA 24;997;375;375;362;13;167;195
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;026;SLATINA;"DOM MJESNOG ODBORA ""VLADIMIR NAZOR""";SLATINA;808;323;323;318;5;139;179
