Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;TOMISLAV BULIĆ;FRANE TOKIĆ
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;001;BENKOVAC 1;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;1392;440;440;430;10;246;184
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;002;BENKOVAC 2;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;1477;457;457;448;9;191;257
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;003;BENKOVAČKO SELO;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;813;244;244;243;1;170;73
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;004;ŠOPOT;"OBJEKT ""KONOBA"" VL. MARIJAN ROGIĆ ZV.  ""MAĆO""";ŠOPOT;336;143;143;139;4;61;78
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;005;PODLUG;PODRUČNA ŠKOLA;PODLUG;169;65;65;64;1;43;21
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;006;PERUŠIĆ BENKOVAČKI;PODRUČNA ŠKOLA;PERUŠIĆ BENKOVAČKI;262;124;124;119;5;62;57
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;007;PRISTEG;PODRUČNA ŠKOLA;PRISTEG;488;136;136;133;3;71;62
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;008;DOBRA VODA;ZGRADA PODRUČNE ŠKOLE;DOBRA VODA;78;27;27;25;2;12;13
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;009;RADOŠINOVCI;PODRUČNA ŠKOLA;RADOŠINOVCI;195;96;96;96;0;56;40
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;010;VUKŠIĆ;PODRUČNA ŠKOLA;VUKŠIĆ;602;249;249;247;2;142;105
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;011;BULIĆ;PODRUČNA ŠKOLA;BULIĆ;130;57;57;55;2;42;13
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;012;LEPURI;ZGRADA ŽELJEZNIČKE POSTAJE;LEPURI;297;75;75;74;1;41;33
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;013;PODGRAĐE;DRUŠTVENI DOM;PODGRAĐE;88;56;56;55;1;40;15
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;014;LISIČIĆ;PODRUČNA ŠKOLA;LISIČIĆ;240;140;140;136;4;72;64
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;015;RODALJICE;PODRUČNA ŠKOLA;RODALJICE;187;28;28;28;0;22;6
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;016;BJELINA;"BIVŠA PRODAVAONICA ""PROMET""";BJELINA, BJELINA 150;206;38;38;38;0;26;12
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;017;BRUŠKA;PODRUČNA ŠKOLA;BRUŠKA;118;52;52;52;0;40;12
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;018;MEDVIĐA;MJESNI ODBOR (BIVŠA ŽUPNA KUĆA);MEDVIĐA;153;37;37;37;0;26;11
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;019;POPOVIĆI;PODRUČNA ŠKOLA;POPOVIĆI;217;118;118;116;2;44;72
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;020;KORLAT;PODRUČNA ŠKOLA;KORLAT;378;178;178;176;2;165;11
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;021;SMILČIĆ;PROSTORIJE MJESNOG ODBORA SMILČIĆ;SMILČIĆ;1037;173;173;170;3;97;73
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;022;NADIN;PODRUČNA ŠKOLA;NADIN;487;191;191;183;8;118;65
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;023;RAŠTEVIĆ;PODRUČNA ŠKOLA RAŠTEVIĆ;RAŠTEVIĆ;479;167;167;163;4;115;48
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;024;TINJ;PODRUČNA ŠKOLA TINJ;TINJ;700;336;334;330;4;149;181
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;025;PROVIĆ;PROSTORIJE MJESNOG ODBORA;PROVIĆ;90;40;40;40;0;18;22
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;026;ISLAM GRČKI;MJESNI ODBOR;ISLAM GRČKI;660;57;57;56;1;32;24
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;027;MIRANJE;OBITELJSKA KUĆA VINKA VUKANČIĆA;MIRANJE;462;92;92;91;1;77;14
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;028;KULA ATLAGIĆ;PROSTORIJE BIVŠE ZADRUGE;KULA ATLAGIĆ;382;41;41;41;0;17;24
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;029;DONJI KARIN;TRGOVINA VLASNIŠTVO SLAVKO JABLAN (KARIN PLAŽA);DONJI KARIN;351;20;20;20;0;11;9
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;030;BUKOVIĆ;PODRUČNA ŠKOLA;BUKOVIĆ;676;167;167;164;3;112;52
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;031;ZAPUŽANE;"ZGRADA TVORNICE ""MINERAL-IGM""";ZAPUŽANE;191;10;10;10;0;3;7
