Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;BOŽIDAR LONGIN;IVICA ŽUVELA
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;001;BENKOVAC 1;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;1392;440;440;427;13;183;244
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;002;BENKOVAC 2;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;1477;457;457;445;12;191;254
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;003;BENKOVAÈKO SELO;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;813;244;244;233;11;125;108
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;004;ŠOPOT;"OBJEKT ""KONOBA"" VL. MARIJAN ROGIÆ ZV.  ""MAÆO""";ŠOPOT;336;143;143;134;9;81;53
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;005;PODLUG;PODRUÈNA ŠKOLA;PODLUG;169;65;65;65;0;45;20
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;006;PERUŠIÆ BENKOVAÈKI;PODRUÈNA ŠKOLA;PERUŠIÆ BENKOVAÈKI;262;124;124;118;6;58;60
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;007;PRISTEG;PODRUÈNA ŠKOLA;PRISTEG;488;136;136;136;0;69;67
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;008;DOBRA VODA;ZGRADA PODRUÈNE ŠKOLE;DOBRA VODA;78;27;27;22;5;11;11
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;009;RADOŠINOVCI;PODRUÈNA ŠKOLA;RADOŠINOVCI;195;96;96;91;5;53;38
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;010;VUKŠIÆ;PODRUÈNA ŠKOLA;VUKŠIÆ;602;249;249;242;7;141;101
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;011;BULIÆ;PODRUÈNA ŠKOLA;BULIÆ;130;57;57;55;2;38;17
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;012;LEPURI;ZGRADA ŽELJEZNIÈKE POSTAJE;LEPURI;297;75;75;72;3;39;33
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;013;PODGRAÐE;DRUŠTVENI DOM;PODGRAÐE;88;56;56;50;6;36;14
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;014;LISIÈIÆ;PODRUÈNA ŠKOLA;LISIÈIÆ;240;140;140;135;5;104;31
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;015;RODALJICE;PODRUÈNA ŠKOLA;RODALJICE;187;28;28;25;3;15;10
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;016;BJELINA;"BIVŠA PRODAVAONICA ""PROMET""";BJELINA, BJELINA 150;206;38;38;37;1;24;13
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;017;BRUŠKA;PODRUÈNA ŠKOLA;BRUŠKA;118;52;52;50;2;35;15
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;018;MEDVIÐA;MJESNI ODBOR (BIVŠA ŽUPNA KUÆA);MEDVIÐA;153;37;37;36;1;24;12
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;019;POPOVIÆI;PODRUÈNA ŠKOLA;POPOVIÆI;217;118;118;110;8;64;46
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;020;KORLAT;PODRUÈNA ŠKOLA;KORLAT;378;178;178;168;10;131;37
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;021;SMILÈIÆ;PROSTORIJE MJESNOG ODBORA SMILÈIÆ;SMILÈIÆ;1037;173;173;169;4;99;70
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;022;NADIN;PODRUÈNA ŠKOLA;NADIN;487;191;191;186;5;128;58
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;023;RAŠTEVIÆ;PODRUÈNA ŠKOLA RAŠTEVIÆ;RAŠTEVIÆ;479;167;167;159;8;103;56
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;024;TINJ;PODRUÈNA ŠKOLA TINJ;TINJ;700;336;334;324;10;168;156
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;025;PROVIÆ;PROSTORIJE MJESNOG ODBORA;PROVIÆ;90;40;40;39;1;21;18
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;026;ISLAM GRÈKI;MJESNI ODBOR;ISLAM GRÈKI;660;56;56;55;1;23;32
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;027;MIRANJE;OBITELJSKA KUÆA VINKA VUKANÈIÆA;MIRANJE;462;92;92;92;0;71;21
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;028;KULA ATLAGIÆ;PROSTORIJE BIVŠE ZADRUGE;KULA ATLAGIÆ;382;41;41;39;2;13;26
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;029;DONJI KARIN;TRGOVINA VLASNIŠTVO SLAVKO JABLAN (KARIN PLAŽA);DONJI KARIN;351;20;20;20;0;12;8
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;030;BUKOVIÆ;PODRUÈNA ŠKOLA;BUKOVIÆ;676;167;167;161;6;88;73
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;031;ZAPUŽANE;"ZGRADA TVORNICE ""MINERAL-IGM""";ZAPUŽANE;191;10;10;10;0;3;7
13;ZADARSKA ŽUPANIJA;grad;BIOGRAD NA MORU;001;BIOGRAD NA MORU;ZAVIÈAJNI MUZEJ BIOGRAD NA MORU;OBALA KRALJA PETRA KREŠIMIRA IV 22, BIOGRAD NA MORU;1066;248;248;244;4;123;121
13;ZADARSKA ŽUPANIJA;grad;BIOGRAD NA MORU;002;BIOGRAD NA MORU;SREDNJA ŠKOLA BIOGRAD NA MORU, UÈIONICA BROJ 1;AUGUSTA ŠENOE 29, BIOGRAD NA MORU;1192;239;239;238;1;113;125
13;ZADARSKA ŽUPANIJA;grad;BIOGRAD NA MORU;003;BIOGRAD NA MORU;SREDNJA ŠKOLA BIOGRAD NA MORU, UÈIONICA BROJ 4;AUGUSTA ŠENOE 29, BIOGRAD NA MORU;899;165;165;161;4;103;58
13;ZADARSKA ŽUPANIJA;grad;BIOGRAD NA MORU;004;BIOGRAD NA MORU;OSNOVNA ŠKOLA BIOGRAD NA MORU, UÈIONICA U PRIZEMLJU;DR. FRANJE TUÐMANA 27, BIOGRAD NA MORU;1052;247;247;244;3;124;120
13;ZADARSKA ŽUPANIJA;grad;BIOGRAD NA MORU;005;BIOGRAD NA MORU;PODUZETNIÈKI INKUBATOR GRADA BIOGRADA NA MORU;BUKOVAÈKA ULICA 23, BIOGRAD NA MORU;1172;324;324;321;3;254;67
13;ZADARSKA ŽUPANIJA;grad;NIN;001;GRBE;MJESNI ODBOR;GRBE;183;44;44;44;0;24;20
