Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ŽELJKO FILIPOVIĆ;MATE ŽDERO
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;001;DONJA OBREŠKA;PUČKI DOM;DONJA OBREŠKA BB;94;65;65;64;1;59;5
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;002;GORNJA OBREŠKA;PUČKI DOM;GORNJA OBREŠKA BB;96;40;40;40;0;29;11
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;003;STARA MARČA;PUČKI DOM;STARA MARČA BB;121;32;32;29;3;18;11
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;004;BEŠLINEC;PUČKI DOM;BEŠLINEC BB;317;135;135;133;2;77;56
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;005;KRIŽCI;PUČKI DOM;KRIŽCI BB;177;77;77;74;3;50;24
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;006;ČEMERNICA LONJSKA;PUČKI DOM;ČEMERNICA LONJSKA BB;206;114;114;112;2;77;35
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;007;KLOŠTAR I;PUČKI DOM  (PRIZEMLJE);TRG SVETOG IVANA BB, KLOŠTAR IVANIĆ;788;227;227;214;13;130;84
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;008;KLOŠTAR II;PUČKI DOM ( 1 KAT);TRG SVETOG IVANA BB, KLOŠTAR IVANIĆ;1096;344;344;324;20;201;123
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;009;LIPOVEC LONJSKI;PUČKI DOM;LIPOVEC LONJSKI BB;287;159;159;158;1;83;75
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;010;ŠČAPOVEC;PUČKI DOM;ŠČAPOVEC BB;139;63;63;62;1;38;24
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;011;KLOŠTAR III;OSNOVNA ŠKOLA KLOŠTAR IVANIĆ;ŠKOLSKA 20, KLOŠTAR IVANIĆ;885;335;335;324;11;211;113
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;012;KLOŠTAR IV;OSNOVNA ŠKOLA KLOŠTAR IVANIĆ;ŠKOLSKA 20, KLOŠTAR IVANIĆ;471;126;126;121;5;51;70
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;013;PREDAVEC;PUČKI DOM;DUBRAVAČKA 37, PREDAVEC;204;88;88;85;3;67;18
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;014;SOBOČANI;PUČKI DOM;GRANIČARSKA 15, SOBOČANI;429;122;122;119;3;88;31
