Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;NIKOLA KOŽAR;MARTIN MARTIĆ
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;001;PRESEKA;ZGRADA OPĆINE;PRESEKA 57;79;47;47;47;0;25;22
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;002;SLATINA;MJESNI DOM;SLATINA BB;89;56;56;56;0;34;22
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;003;KAMENICA;OBITELJSKA KUĆA MARIJA GUDIĆA;KAMENICA 12A;55;21;21;21;0;6;15
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;004;POGANČEC;MJESNI DOM;POGANČEC BB;67;51;51;51;0;47;4
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;005;ŠELOVEC;MJESNI DOM;ŠELOVEC BB;125;50;50;50;0;12;38
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;006;VINKOVEC;MJESNI DOM;VINKOVEC BB;141;74;74;74;0;28;46
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;007;KRUŠLJEVEC;OBITELJSKA KUĆA GUČANIN BOŽICE;KRUŠLJEVEC 30;47;26;26;26;0;11;15
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;008;GORNJAKI;OBITELJSKA KUĆA HABIJANEC SLAVKA;GORNJAKI 13;36;23;23;23;0;9;14
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;009;LEDINA;MJESNI DOM;LEDINA BB;134;68;68;68;0;29;39
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;010;KRALJEV VRH-STRMEC;VATROGASNI DOM;KRALJEV VRH 11;84;68;68;64;4;27;37
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;011;ŽABNJAK;OBITELJSKA KUĆA BERNARDICE KIŠUR;ŽABNJAK 26;46;17;17;17;0;6;11
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;012;DONJA VELIKA;KUĆA LEŠČIĆ ĐURE;DONJA VELIKA 26;48;26;26;26;0;12;14
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;013;SREDNJA VELIKA;OBITELJSKA KUĆA  HRGOVAN DAVORA;SREDNJA VELIKA 13A;32;17;17;17;0;12;5
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;014;GORNJA VELIKA;OBITELJSKA KUĆA STJEPANA ZAREPA;GORNJA VELIKA 12;47;34;34;34;0;14;20
