Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;NENAD PANIAN;IVAN GERECI
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;001;DUGO SELO - ZAPAD I;OSNOVNA ŠKOLA IVAN BENKOVIĆ;DUGO SELO, HRVATSKOG PREPORODA 68;806;289;289;287;2;180;107
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;002;DUGO SELO - ZAPAD II;ZGRADA GLAZBENE ŠKOLE;DUGO SELO, ZAGREBAČKA ULICA 24;685;243;242;238;4;131;107
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;003;DUGO SELO - ZAPAD III;ZGRADA GLAZBENE ŠKOLE;DUGO SELO, ZAGREBAČKA ULICA 24;788;307;307;304;3;207;97
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;004;DUGO SELO - ZAPAD IV;ZGRADA GLAZBENE ŠKOLE;DUGO SELO, ZAGREBAČKA ULICA 24;767;280;279;277;2;181;96
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;005;DUGO SELO - JUG I;OSNOVNA ŠKOLA IVAN BENKOVIĆ;DUGO SELO, HRVATSKOG PREPORODA 68;1006;301;300;298;2;166;132
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;006;DUGO SELO - JUG II;GRADSKA VIJEĆNICA GRADA DUGOG SELA;DUGO SELO, JOSIPA ZORIĆA 1;819;257;257;253;4;163;90
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;007;DUGO SELO - JUG III;OSNOVNA ŠKOLA IVAN BENKOVIĆ;DUGO SELO, HRVATSKOG PREPORODA 68;860;256;256;250;6;174;76
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;008;DUGO SELO - SJEVER I;ZGRADA PUČKOG OTVORENOG UČILIŠTA-PRIZEMLJE;DUGO SELO, JOSIPA ZORIĆA 21 A;677;259;258;252;6;165;87
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;009;DUGO SELO - SJEVER II;ZGRADA PUČKOG OTVORENOG UČILIŠTA-PRIZEMLJE;DUGO SELO, JOSIPA ZORIĆA 21 A;737;261;261;250;11;140;110
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;010;DUGO SELO - SJEVER III;SREDNJA ŠKOLA DUGO SELO;DUGO SELO, STJEPANA FERENČAKA 25;577;207;207;202;5;132;70
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;011;DUGO SELO - SJEVER IV;SREDNJA ŠKOLA DUGO SELO;DUGO SELO, STJEPANA FERENČAKA 25;522;202;202;196;6;124;72
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;012;DUGO SELO - ISTOK I;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;730;283;283;274;9;151;123
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;013;DUGO SELO - ISTOK II;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;592;183;183;174;9;91;83
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;014;DUGO SELO - ISTOK III;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;535;213;213;208;5;141;67
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;015;DUGO SELO - ISTOK IV;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;688;247;247;245;2;154;91
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;016;DUGO SELO - ISTOK V;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;687;249;249;243;6;119;124
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;017;DUGO SELO - ISTOK VI;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;583;159;159;147;12;68;79
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;018;LUKARIŠĆE;POSLOVNI PROSTOR VL. KARMEN PAVLIC;LUKARIŠĆE, BJELOVARSKA 17;977;366;366;356;10;187;169
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;019;KOZINŠČAK I;"UGOSTITELJSKI OBRT ""LIVNO"" VL. MLADENKA NUJIĆ";KOZINŠČAK, KOZINSKA 31;603;207;207;202;5;93;109
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;020;KOZINŠČAK II;OBITELJSKA KUĆA VL. DUŠAN ŽIVKOVIĆ;KOZINŠČAK, ULICA TOME KAPITANA 6;620;226;226;225;1;102;123
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;021;VELIKA OSTRNA I;VATROGASNI DOM VELIKA OSTRNA;VELIKA OSTRNA, OMLADINSKA BB;605;200;198;194;4;52;142
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;022;VELIKA OSTRNA II;VATROGASNI DOM VELIKA OSTRNA;VELIKA OSTRNA, OMLADINSKA BB;578;204;204;202;2;111;91
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;023;MALA OSTRNA;POSLOVNI PROSTOR VL. MARICA MUŠKON;MALA OSTRNA, ZAGREBAČKA 14;295;96;96;94;2;54;40
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;024;LEPROVICA;DRUŠTVENI DOM LEPROVICA;LEPROVICA, ZAGREBAČKA 49;212;87;87;87;0;56;31
