Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVOJE KOŠĆEC;EVA JENDRIŠ ŠKRLJAK
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;001;SVETI IVAN ZELINA I;SV. IVAN ZELINA;TRG A. STARČEVIĆA 1;1021;442;442;423;19;260;163
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;002;SV. IVAN ZELINA II;SV. IVAN ZELINA;TRG A. STARČEVIĆA 12;788;309;308;303;5;194;109
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;003;SV.IVAN ZELINA III;SV.IVAN ZELINA-KUĆA ŠPINDERK MARIJE;V.NAZORA 23;613;288;288;276;12;186;90
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;004;DONJA TOPLIČICA;DRUŠTVENI DOM;DONJA TOPLIČICA 4;54;31;31;31;0;24;7
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;005;GORNJA TOPLIČICA;DRUŠTVENI DOM;GORNJA TOPLIČICA 21;154;70;70;69;1;52;17
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;006;BIŠKUPEC ZELINSKI;DRUŠTVENI DOM;ZELINGRADSKA 39, BIŠKUPEC ZELINSKI;876;354;354;345;9;190;155
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;007;VELIKA GORA;DRUŠTVENI DOM;VELIKA GORA 2 A;183;83;83;82;1;59;23
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;008;GORNJE PSARJEVO;DRUŠTVENI DOM;GORNJE PSARJEVO 16;299;105;105;102;3;76;26
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;009;DONJE PSARJEVO;DRUŠTVENI DOM;DONJE PSARJEVO 12 B;236;93;93;91;2;64;27
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;010;BLAŽEVDOL;DRUŠTVENI DOM;ULICA FUČKANI 12, BLAŽEVDOL;339;147;147;137;10;92;45
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;011;SELNICA PSARJEVAČKA;DRUŠTVENI DOM;SELNICA PSARJEVAČKA 10;200;69;69;69;0;28;41
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;012;CURKOVEC;DRUŠTVENI DOM;CURKOVEC 12;68;30;30;30;0;4;26
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;013;DONJA ZELINA;DRUŠTVENI DOM;DONJOZELINSKA 52, DONJA ZELINA;744;247;247;241;6;110;131
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;014;BLAŠKOVEC;DRUŠTVENI DOM;BLAŠKOVEČKA 75, BLAŠKOVEC;485;126;126;118;8;54;64
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;015;NESPEŠ;URED MJESNOG ODBORA;NESPEŠ  5;299;113;113;112;1;64;48
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;016;BUNJAK;DRUŠTVENI DOM;BUNJAK 23;124;35;35;32;3;19;13
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;017;GORNJA DRENOVA;DRUŠTVENI DOM;GORNJA DRENOVA 40/B;274;141;141;136;5;61;75
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;018;DONJA DRENOVA;DRUŠTVENI DOM;DONJA DRENOVA 50;291;108;108;98;10;49;49
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;019;HRNJANEC;DRUŠTVENI DOM;NOVOSELI 15, HRNJANEC;382;110;110;104;6;55;49
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;020;SVETA HELENA;DRUŠTVENI DOM;SV. HELENA 54/A;473;147;147;144;3;87;57
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;021;BANJE SELO;DRUŠTVENI DOM;BANJE SELO 48;116;30;30;30;0;14;16
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;022;LAKTEC;DRUŠTVENI DOM;LAKTEC 10;136;63;63;62;1;42;20
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;023;GORIČANEC;DRUŠTVENI DOM;GORIČANEC 1 B;146;47;47;46;1;29;17
