Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;ŽELJKO STANEC;PETRA ŠKROBOT
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;001;BOBOVICA;VATROGASNI DOM BOBOVICA;BOBOVICA;227;122;122;122;0;56;66
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;002;BRASLOVJE;DRUŠTVENI DOM BRASLOVJE;BRASLOVJE;290;152;152;150;2;103;47
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;003;BREGANA;OSNOVNA ŠKOLA MILANA LANGA;ULICA MILANA LANGA 2;1299;585;585;579;6;209;370
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;004;BREGANA;OSNOVNA ŠKOLA MILANA LANGA;ULICA MILANA LANGA 2;791;340;340;336;4;138;198
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;005;BREGANICA I VIŠNJEVEC PODVRŠKI;KUÆA MARIJANA KUMERA;BREGANICA 6;53;38;38;38;0;19;19
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;006;BREGANICA I VIŠNJEVEC PODVRŠKI;KUÆA STJEPANA BERIBAKA;VIŠNJEVEC PODVRŠKI, VIŠNJEVEC PODVRŠKI  4;31;19;19;19;0;9;10
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;007;BUDINJAK;PROSTORIJE EKO-CENTRA BUDINJAK;BUDINJAK;59;14;14;14;0;12;2
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;008;BUDINJAK;PROSTORIJE STARE ŠKOLE GRABAR;GRABAR;59;8;8;7;1;7;0
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;009;BUDINJAK;VATROGASNI DOM GORNJA VAS;GORNJA VAS;31;6;6;6;0;1;5
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;010;CELINE SAMOBORSKE;DRUŠTVENI DOM CELINE;CELINE SAMOBORSKE;258;161;161;160;1;89;71
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;011;CERJE SAMOBORSKO;DRUŠTVENI DOM CERJE;CERJE SAMOBORSKO;317;153;153;151;2;85;66
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;012;DOMASLOVEC;SPORTSKI CENTAR NK MLADOST;DOMASLOVEC, DOMASLOVEÈKA 102;838;374;374;372;2;157;215
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;013;DREŽNIK PODOKIÆKI;DRUŠTVENI DOM DREŽNIK PODOKIÆKI;DREŽNIK PODOKIÆKI;214;103;103;101;2;79;22
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;014;DUBRAVA SAMOBORSKA;KUÆA STJEPANA RUNTASA;DUBRAVA SAMOBORSKA 34;222;96;96;96;0;54;42
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;015;FARKAŠEVEC SAMOBORSKI;ŠKOLA U FARKAŠEVCU SAMOBORSKOM;FARKAŠEVEC SAMOBORSKI;380;214;214;213;1;90;123
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;016;GALGOVO;DRUŠTVENI DOM GALGOVO;GALGOVO,BOGOVIÆEVA 2;728;345;345;337;8;212;125
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;017;GRADNA;DRUŠTVENI DOM GRADNA;GRADNA;483;237;237;234;3;75;159
