Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAMIR DEKANIĆ;JOSIP DABRO
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;001;ILOK;GRADSKO POGLAVARSTVO ILOK;TRG N.ILOČKOG 13;1093;551;550;523;27;278;245
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;002;ILOK;DOM UMIROVLJENIKA ILOK;KOŠEVI BR. 7;1025;565;565;539;26;280;259
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;003;ILOK;"UPRAVNA ZGRADA ""AGRO ILOKA""";TRG ŽRTAVA DOMOVINSKOG RATA 1/1;1086;504;503;478;25;242;236
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;004;ILOK;SLOVAČKI DOM ILOK;I.G.KOVAČIĆA 85;632;237;237;230;7;117;113
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;005;BAPSKA;OSNOVNA ŠKOLA BAPSKA;STJEPANA RADIĆA 11;743;373;373;366;7;234;132
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;006;ŠARENGRAD;STARA ŠKOLA ŠARENGRAD;VUKOVARSKA BB;444;235;235;220;15;110;110
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;007;MOHOVO;STARA ŠKOLA MOHOVO;SV. NIKOLE TAVELIĆA 3;185;110;110;106;4;77;29
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;OTOK;001;OTOK;UČILIŠTE OTOK;B.JELAČIĆA 22;879;406;406;400;6;188;212
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;OTOK;002;OTOK;OPĆA POLJOPRIVREDNA ZADRUGA OTOK;B.JELAČIĆA 17;903;400;400;394;6;210;184
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;OTOK;003;OTOK;DOM ZDRAVLJA OTOK, AMBULANTA OTOK;K.P.KREŠIMIRA IV BR. 1;1060;400;400;390;10;217;173
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;OTOK;004;OTOK;DNEVNI BORAVAK ZA STARIJE, OTOK;V.NAZORA 1;885;365;365;360;5;156;204
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;OTOK;005;KOMLETINCI;ZGRADA MJESNOG ODBORA - KOMLETINCI;B.RADIĆA 19;695;290;290;280;10;171;109
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;OTOK;006;KOMLETINCI;"OŠ ""V.NAZOR"" KOMLETINCI";B.RADIĆA 17;592;238;238;233;5;140;93
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;001;VINKOVCI;"MJESNI ODBOR ""LENIJE"" VINKOVCI";H.V.HRVATINIĆA 10;1037;393;393;378;15;235;143
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;002;VINKOVCI;SREDNJA STRUKOVNA ŠKOLA;STANKA VRAZA 15;794;296;296;287;9;181;106
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;003;VINKOVCI;SREDNJA STRUKOVNA ŠKOLA;STANKA VRAZA 15;1103;517;517;507;10;309;198
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;004;VINKOVCI;"II.MJESNI ODBOR ""S.RADIĆ"" VINKOVCI";M. GUPCA 21A;1035;409;409;395;14;231;164
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;005;VINKOVCI;"DJEČJI VRTIĆ ""NAŠA RADOST""";P.MIŠKINE 69;662;195;195;192;3;106;86
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;006;VINKOVCI;"DJEČJI VRTIĆ ""EDEN""";ERVENIČKA 1;1029;292;292;288;4;178;110
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;007;VINKOVCI;CRVENI KRIŽ;TRG BANA J.ŠOKČEVIĆA 2;510;164;164;158;6;95;63
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;008;VINKOVCI;ZAVOD ZA ZAPOŠLJAVANJE VINKOVCI;J.DALMATINCA 27;688;261;261;246;15;162;84
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;009;VINKOVCI;"III MJESNI ODBOR ""CENTAR"" VINKOVCI";GLAGOLJAŠKA 13;1019;361;361;351;10;217;134
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;010;VINKOVCI;GRADSKA UPRAVA GRADA VINKOVACA;BANA J.JELAČIĆA 1;799;254;254;245;9;141;104
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;011;VINKOVCI;"IV.MJESNI ODBOR ""KOLODVOR""";KRALJA ZVONIMIRA 101;834;273;273;263;10;150;113
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;012;VINKOVCI;UDRUŽENJE UMIROVLJENIKA;TRG J. RUNJANINA 11;804;287;287;278;9;175;103
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;013;VINKOVCI;UPRAVA ZA CESTE VUKOVARSKO-SRIJEMSKE ŽUPANIJE,VINKOVCI;JOSIPA KOZARCA 10;950;314;314;303;11;171;132
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;014;VINKOVCI;"V. MJESNI ODBOR ""DVANAEST REDARSTVENIKA"" VINKOVCI";12 REDARSTVENIKA 1A;1033;313;313;305;8;164;141
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;015;VINKOVCI;"DJEČJI VRTIĆ ""PČELICA""";DVANAEST REDARSTVENIKA 20;738;186;186;179;7;110;69
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;016;VINKOVCI;DJEČJI VRTIĆ EDEN PODRUŽNICA SRCE MARIJINO;ŠKOLSKA 35;660;175;175;167;8;76;91
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;017;VINKOVCI;"VI. MJESNI ODBOR ""VINKOVAČKO NOVO SELO"" VINKOVCI";ŠKOLSKA 42;811;259;259;257;2;127;130
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;018;VINKOVCI;"VI. MJESNI ODBOR ""VINKOVAČKO NOVO SELO"" VINKOVCI";ŠKOLSKA 42;903;237;237;234;3;141;93
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;019;VINKOVCI;"O.Š. ""BARTOLA KAŠIĆA""";B.KAŠIĆA 48;1081;332;332;324;8;187;137
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;020;VINKOVCI;PLINARA ISTOČNE SLAVONIJE (PIS);OHRIDSKA 17;720;196;196;185;11;110;75
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;021;VINKOVCI;O.Š.  A.G. MATOŠA VINKOVCI;OHRIDSKA 21;827;257;257;245;12;142;103
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;022;VINKOVCI;"DJEČJI VRTIĆ ""STRIBOR""";J.J.STROSSMAYERA 7;568;195;195;186;9;100;86
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;023;VINKOVCI;"VII. MJESNI ODBOR ""LAPOVCI"" VINKOVCI";MATICE HRVATSKE 8;1007;309;309;293;16;187;106
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;024;VINKOVCI;"POSLOVNI PROSTOR (DJEČJA IGRAONICA ""KREATIVNI SVIJET"")";FRANA KRSTE FRANKOPANA 6 (BIVŠA DRVARSKA);731;277;277;259;18;162;97
