Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ĐORĐE GVOZDIĆ;MILAN UZELAC
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;001;GOSPIĆ;PUČKO OTVORENO UČILIŠTE DR ANTE STARČEVIĆA;ULICA DR. FRANJE TUĐMANA BR. 5, GOSPIĆ;30;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;002;GOSPIĆ;ZGRADA HRVATSKE POŠTE U GOSPIĆU;KANIŠKA ULICA BR. 53, GOSPIĆ;28;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;003;GOSPIĆ;ZGRADA DOMA ZDRAVLJA U GOSPIĆU;ULICA 118. BRIGADE HRVATSKE VOJSKE 3, GOSPIĆ;144;2;2;2;0;0;2
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;004;GOSPIĆ;ZGRADA GIMNAZIJE U GOSPIĆU;BUDAČKA ULICA BR. 24, GOSPIĆ;21;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;005;GOSPIĆ;"ZGRADA ""USLUGE"" D.O.O. U GOSPIĆU";BUŽIMSKA ULICA 10;35;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;006;GOSPIĆ;ČITAONICA KANIŽA;KANIŽA GOSPIĆKA;7;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;007;GOSPIĆ;ČITAONICA ŽABICA;ŽABICA, GOSPIĆ;2;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;008;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE LIČKI NOVI;LIČKI NOVI;5;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;009;GOSPIĆ;ZGRADA HRVATSKIH CESTA U PODOŠTRI;PODOŠTRA;2;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;010;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE BILAJ;BILAJ;5;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;011;GOSPIĆ;OBITELJSKA KUĆA MILANA GENDE RIBNIK;RIBNIK 31/1;2;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;012;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE TRNOVAC;TRNOVAC;4;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;013;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE BRUŠANE;BRUŠANE;0;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;014;GOSPIĆ;ČITAONICA BUDAK;BUDAK;1;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;015;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE MUŠALUK;MUŠALUK;1;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;016;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE LIČKI OSIK;LIČKI OSIK (NASELJE);91;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;017;GOSPIĆ;KUĆA DRAGANA ŠOPA, LIČKI OSIK (STARI) BR 64;LIČKI OSIK (STARI);4;0;0;0;0;0;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;018;GOSPIĆ;ZGRADA DRUŠTVENOG DOMA  VREBAC;VREBAC;84;25;25;23;2;6;17
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;019;GOSPIĆ;MJESNI ODBOR MOGORIĆ;MOGORIĆ;76;11;11;11;0;6;5
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;020;GOSPIĆ;MJESNI ODBOR MEDAK;MEDAK;97;31;31;29;2;11;18
