Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;GORAN BUKOVAC;JASNA ILIĆ;NENAD JANKOVIĆ;STJEPAN KOSTELAC;EDY SLADOVIĆ
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;001;OTOČAC - PODRUČNA ŠKOLA HRVATSKO POLJE;PODRUČNA ŠKOLA HRVATSKO POLJE;HRVATSKO POLJE;150;74;74;73;1;6;1;19;28;19
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;002;OTOČAC - PODRUČNA ŠKOLA KOMPOLJE;PODRUČNA ŠKOLA KOMPOLJE;KOMPOLJE;495;246;246;234;12;43;6;6;114;65
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;003;OTOČAC - PODRUČNA ŠKOLA ŠVICA;PODRUČNA ŠKOLA ŠVICA;ŠVICA;404;250;250;239;11;64;8;14;110;43
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;004;OTOČAC - PODRUČNA ŠKOLA LIPOVLJE;PODRUČNA ŠKOLA LIPOVLJE;LIPOVLJE;191;94;94;89;5;32;6;0;27;24
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;005;OTOČAC - PODRUČNA ŠKOLA KUTEREVO;PODRUČNA ŠKOLA KUTEREVO;KUTEREVO;404;233;233;232;1;116;1;1;89;25
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;006;OTOČAC - AUTO-KLUB OTOČAC;AUTO KLUB OTOČAC;OTOČAC, IVE SENJANINA 12;1304;779;778;766;12;331;22;29;210;174
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;007;OTOČAC-OSNOVNA ŠKOLA OTOČAC;OŠ OTOČAC;OTOČAC;568;374;374;368;6;145;11;19;142;51
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;008;OTOČAC-ZGRADA GACKOG PUČKOG  O. UČ. (KAT);ZGRADA GACKOG  PUČKOG O. UČ.(KAT);OTOČAC;834;507;507;501;6;149;13;19;175;145
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;009;OTOČAC - ZGRADA GACKOG PUČKOG O. UČ (PRIZ);ZGRADA GACKOG PUČKOG O. UČ. (PRIZ);OTOČAC;1085;583;582;567;15;182;12;23;223;127
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;010;OTOČAC - LOVAČKI DOM DABAR;LOVAČKI DOM DABAR;DABAR;90;37;37;35;2;5;2;1;20;7
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;011;OTOČAC - DOM PROZOR DONJI;DOM PROZOR DONJI;PROZOR DONJI;404;271;271;266;5;65;5;13;146;37
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;012;OTOČAC - PODRUČNA ŠKOLA PROZOR GORNJI;PODRUČNA ŠKOLA PROZOR GORNJI;PROZOR GORNJI;340;219;219;214;5;68;6;2;110;28
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;013;OTOČAC - PODRUČNA ŠKOLA ČOVIĆI;PODRUČNA ŠKOLA ČOVIĆI;ČOVIĆI;497;305;305;293;12;69;13;3;96;112
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;014;OTOČAC - PODRUČNA ŠKOLA LIČKO LEŠĆE;PODRUČNA ŠKOLA LIČKO LEŠĆE;LIČKO LEŠĆE DONJE;349;204;204;203;1;42;11;1;63;86
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;015;"OTOČAC - HRVATSKI SELJAČKI DOM ""GACKA"" LIČKO LEŠĆE";"HRVATSKI SELJAČKI DOM ""GACKA""";LIČKO LEŠĆE GORNJE;225;160;160;156;4;22;6;0;56;72
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;016;OTOČAC - PODRUČNA ŠKOLA SINAC;PODRUČNA ŠKOLA SINAC;SINAC;459;287;287;279;8;34;69;3;88;85
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;017;OTOČAC - MJESNI DOM RAMLJANI;MJESNI DOM RAMLJANI;RAMLJANI;100;52;52;52;0;12;0;2;26;12
