Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;DUBROVAČKI DEMOKRATSKI SABOR - DDS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAČKA STRANKA - HSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;001;CAVTAT;DOM KULTURE;CAVTAT BB;713;407;407;378;29;25;22;187;52;92
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;002;CAVTAT;OSNOVNA ŠKOLA CAVTAT;STJEPANA RADIĆA 3;768;382;382;363;19;25;22;227;40;49
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;003;CAVTAT;HOTELI CAVTAT D.D., HOTEL EPIDAURUS;CAVTAT, OD ŽALA 1;424;237;237;225;12;15;15;161;20;14
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;004;ZVEKOVICA;OMLADINSKI DOM NA  ZVEKOVICI;ZVEKOVICA BB;542;290;290;276;14;7;37;182;21;29
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;005;ČILIPI;"OSNOVNA ŠKOLA ""ČILIPI""";ČILIPI BB;812;465;465;422;43;25;34;257;80;26
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;006;DUBRAVKA;"DOM ""BUTKOVINA"" DUBRAVKA";DUBRAVKA BB;351;218;218;213;5;2;29;131;29;22
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;007;GABRILE;"OŠ ""GABRILE""";GABRILE BB;181;119;119;110;9;2;8;83;14;3
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;008;GRUDA;"OSNOVNA ŠKOLA ""GRUDA""";GRUDA BB;740;488;488;454;34;16;119;223;62;34
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;009;KOMAJI;"DOM KULTURE "" KOMAJI""";KOMAJI BB;211;126;126;116;10;6;3;70;22;15
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;010;LJUTA;"PROSTORIJE NK ""JADRAN"" LJUTA";LJUTA BB;162;95;95;90;5;1;13;55;17;4
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;011;MIHANIĆI;"DOM KULTURE ""MIHANIĆI""";MIHANIĆI BB;129;94;94;92;2;11;8;51;18;4
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;012;MIKULIĆI;"MJESNI ODBOR ""MIKULIĆI""";MIKULIĆI BB;67;49;49;47;2;0;5;24;16;2
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;013;MOČIĆI;"OSNOVNA ŠKOLA ""MOČIĆI""";MOČIĆI BB;348;226;226;215;11;8;18;126;46;17
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;014;MOLUNAT;OSNOVNA ŠKOLA MOLUNAT;MOLUNAT BB;191;111;111;107;4;11;13;64;14;5
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;015;PLOČICE;"ZGRADA BIVŠE ČITAONICE ""PLOČICE""";PLOČICE BB;63;37;37;35;2;1;3;23;6;2
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;016;POLJICE;"OSNOVNA ŠKOLA  ""POLJICE""";POLJICE BB;59;39;39;39;0;2;8;18;10;1
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;017;POPOVIĆI;"OSNOVNA ŠKOLA ""POPOVIĆI""";POPOVIĆI BB;217;140;140;129;11;6;18;90;13;2
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;018;PRIDVORJE;"OMLADINSKI DOM ""PRIDVORJE""";PRIDVORJE BB;200;113;113;106;7;1;3;73;26;3
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;019;LOVORNO;"OSNOVNA ŠKOLA ""LOVORNO""";LOVORNO BB;176;98;98;94;4;3;6;61;20;4
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;020;RADOVČIĆI;"OSNOVNA ŠKOLA ""RADOVČIĆI""";RADOVČIĆI BB;175;117;117;109;8;6;27;55;17;4
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;021;STRAVČA;"OSNOVNA ŠKOLA ""STRAVČA""";STRAVČA BB;47;37;37;36;1;0;0;35;1;0
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;022;USKOPLJE;"BOĆARSKI DOM ""USKOPLJE"" - USKOPLJE";USKOPLJE BB;111;69;69;63;6;4;8;48;2;1
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;023;VITALJINA;"OSNOVNA ŠKOLA ""VITALJINA""";VITALJINA BB;154;82;82;80;2;2;18;44;12;4
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;024;VODOVAĐA;"OSNOVNA ŠKOLA ""VODOVAĐA""";VODOVAĐA BB;264;189;189;181;8;1;12;95;64;9
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;025;DUBA KONAVOSKA;DOM MLADEŽI DUBA KONAVOSKA;DUBA KONAVOSKA BB;63;53;53;51;2;0;2;42;6;1
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;026;KUNA KONAVOSKA;"OSNOVNA ŠKOLA ""KUNA KONAVOSKA""";KUNA KONAVOSKA BB;16;11;11;11;0;0;0;9;2;0
