Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;NEZAVISNA LISTA MLADIH - NLM;KANDIDACIJSKA LISTA GRUPE BIRAČA - DARIO SRŠEN
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;001;BLACE;PROSTORIJE PODRUČNE OSNOVNE ŠKOLE;BLACE;270;172;172;165;7;84;8;73
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;002;DUBOKA;DOM U DUBOKOJ;DUBOKA;113;52;52;49;3;38;2;9
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;003;KLEK;PROSTORIJE TURISTIČKOG NASELJA KLEK;KLEK, TRG PALMI 1 A;214;113;113;110;3;66;9;35
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;004;KOMARNA;PROSTORIJE VILE BILI IVE JERKOVIĆA;KOMARNA, KOMARNA 79;176;102;102;99;3;55;5;39
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;005;MIHALJ;PROSTORIJE BIVŠE TRGOVINE   U MIHALJU;MIHALJ;191;116;116;113;3;78;16;19
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;006;OTOK;PROSTORIJE STAMBENOG OBJEKTA TONĆE PALINIĆA POK.STANKE U OTOKU;OTOK;64;52;52;51;1;33;8;10
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;007;PODGRADINA;OPĆINSKA VIJEĆNICA;PODGRADINA;208;114;114;112;2;54;34;24
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;008;TRN;PROSTORIJE  MJESNOG ODBORA U TRNU;TRN;134;93;93;92;1;60;5;27
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;009;TUŠTEVAC;MJESNI ODBOR;TUŠTEVAC;124;81;81;76;5;63;5;8
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;010;VLAKA;PROSTORIJE MJESNOG ODBORA NA VLACI;VLAKA, A. STEPINCA 102/1;239;165;165;157;8;105;14;38
