Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;KANDIDACIJSKA LISTA GRUPE BIRAČA -  MAŠA GABRIĆ PLEĆAŠ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;MOST;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;001;METKOVIĆ;GRADSKO KULTURNO SREDIŠTE;S. RADIĆA 1;626;377;377;366;11;21;45;170;114;16
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;002;METKOVIĆ;GRADSKO KULTURNO SREDIŠTE;STJEPANA RADIĆA 1;850;469;469;458;11;11;36;214;157;40
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;003;METKOVIĆ;GIMNAZIJA METKOVIĆ;UL.KRALJA ZVONIMIRA 12;1152;654;654;640;14;19;40;331;194;56
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;004;METKOVIĆ;GIMNAZIJA METKOVIĆ;UL.KRALJA ZVONIMIRA 12;711;367;367;354;13;6;24;175;121;28
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;005;METKOVIĆ;DUBRAVICA-MJESNI URED ,DUBRAVICA B.B.;DUBRAVICA B.B.;114;71;71;71;0;0;36;22;11;2
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;006;METKOVIĆ;SREDNJA ŠKOLA METKOVIĆ;UL. KRALJA ZVONIMIRA 12;1113;629;629;616;13;9;26;343;208;30
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;007;METKOVIĆ;ZGRADA POLITIČKIH STRANAKA;UL.KRALJA ZVONIMIRA 20;741;422;422;416;6;12;38;211;131;24
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;008;METKOVIĆ;SREDNJA ŠKOLA METKOVIĆ;UL.KRALJA ZVONIMIRA 12;1231;737;737;714;23;27;65;393;201;28
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;009;METKOVIĆ;SREDNJA ŠKOLA METKOVIĆ;UL.KRALJA ZVONIMIRA 12;1110;646;646;623;23;19;36;409;141;18
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;010;METKOVIĆ;PROSTOR METKOVIĆ D.O.O.;MOSTARSKA 10 (UNKA);849;478;478;462;16;16;34;268;112;32
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;011;METKOVIĆ;ZGRADA PRAVOSUDNIH TIJELA;UL.A.HEBRANGA 9;1096;552;552;540;12;14;31;284;194;17
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;012;METKOVIĆ;ZGRADA PRAVOSUDNIH TIJELA;UL.A.HEBRANGA 9;1204;613;613;592;21;13;50;316;193;20
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;013;METKOVIĆ;"OŠ""DON M.PAVLINOVIĆ""";A.STEPINCA BR.2.;913;500;500;475;25;26;52;245;120;32
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;014;METKOVIĆ;"OŠ""DON M.PAVLINOVIĆA""";A.STEPINCA 2;1179;677;676;654;22;18;62;318;224;32
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;015;VID;DRUŠTVENE PROSTORIJE;VID, LEDENE GOSPE 22;667;416;415;393;22;34;24;210;113;12
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;016;PRUD;PODRUČNA ŠKOLA PRUD;PRUD;428;248;248;243;5;17;22;139;62;3
