Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;TOMISLAV ANČIĆ;GORAN PALIHNIĆ
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;OREBIĆ;001;TRSTENIK;PROSTORIJE MJESNOG ODBORA;TRSTENIK BB;94;58;58;57;1;38;19
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;OREBIĆ;002;PIJAVIČINO;MJESNI ODBOR  PIJAVIČINO - HRVATSKA ČIT.;PIJAVIČINO BB;87;56;56;53;3;26;27
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;OREBIĆ;003;POTOMJE;PROSTORIJE DOMA POTOMJE;POTOMJE BB;187;142;142;136;6;67;69
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;OREBIĆ;004;DONJA BANDA;"PROSTORIJE PZ ""POSTUP"" DONJA BANDA";DONJA BANDA BB;146;86;86;81;5;39;42
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;OREBIĆ;005;KUNA;PROSTORIJE OŠ KUNA;KUNA BB;192;156;156;155;1;53;102
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;OREBIĆ;006;OSKORUŠNO;PROSTORIJE OŠ OSKORUŠNO;OSKORUŠNO BB;94;64;64;60;4;16;44
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;OREBIĆ;007;OREBIĆ;DJEČJI VRTIĆ OREBIĆ;BANA J. JELAČIĆA 8;977;513;513;495;18;315;180
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;OREBIĆ;008;OREBIĆ;ZGRADA OPĆINE;OBALA POMORACA 24;1287;703;703;685;18;333;352
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;OREBIĆ;009;KUĆIŠTE;PROSTORIJE ŠKOLE KUĆIŠTE;KUĆIŠTE;247;140;140;139;1;56;83
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;OREBIĆ;010;VIGANJ;HRVATSKI DOM VIGANJ;VIGANJ;265;166;166;159;7;99;60
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;OREBIĆ;011;LOVIŠTE;PROSTORIJE DOMA;LOVIŠTE;207;122;122;114;8;74;40
