Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;BOŽO LASIĆ;LUCIJA MILJANIĆ MACAN;NIKŠA TROJANOVIĆ;MIHAJLO VOJVODIĆ
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;001;CAVTAT;DOM KULTURE;CAVTAT BB;713;407;407;381;26;265;39;57;20
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;002;CAVTAT;OSNOVNA ŠKOLA CAVTAT;STJEPANA RADIĆA 3;768;382;382;362;20;258;31;52;21
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;003;CAVTAT;HOTELI CAVTAT D.D., HOTEL EPIDAURUS;CAVTAT, OD ŽALA 1;424;237;237;231;6;183;21;19;8
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;004;ZVEKOVICA;OMLADINSKI DOM NA  ZVEKOVICI;ZVEKOVICA BB;542;290;290;277;13;198;53;15;11
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;005;ČILIPI;"OSNOVNA ŠKOLA ""ČILIPI""";ČILIPI BB;812;465;465;431;34;281;56;75;19
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;006;DUBRAVKA;"DOM ""BUTKOVINA"" DUBRAVKA";DUBRAVKA BB;351;218;218;215;3;146;33;33;3
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;007;GABRILE;"OŠ ""GABRILE""";GABRILE BB;181;119;119;114;5;90;9;13;2
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;008;GRUDA;"OSNOVNA ŠKOLA ""GRUDA""";GRUDA BB;740;488;488;457;31;291;85;66;15
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;009;KOMAJI;"DOM KULTURE "" KOMAJI""";KOMAJI BB;211;126;126;118;8;75;16;24;3
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;010;LJUTA;"PROSTORIJE NK ""JADRAN"" LJUTA";LJUTA BB;162;95;95;90;5;68;6;15;1
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;011;MIHANIĆI;"DOM KULTURE ""MIHANIĆI""";MIHANIĆI BB;129;94;94;94;0;57;13;14;10
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;012;MIKULIĆI;"MJESNI ODBOR ""MIKULIĆI""";MIKULIĆI BB;67;49;49;47;2;26;3;17;1
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;013;MOČIĆI;"OSNOVNA ŠKOLA ""MOČIĆI""";MOČIĆI BB;348;226;226;216;10;142;30;38;6
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;014;MOLUNAT;OSNOVNA ŠKOLA MOLUNAT;MOLUNAT BB;191;111;111;108;3;81;8;13;6
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;015;PLOČICE;"ZGRADA BIVŠE ČITAONICE ""PLOČICE""";PLOČICE BB;63;37;37;36;1;24;4;7;1
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;016;POLJICE;"OSNOVNA ŠKOLA  ""POLJICE""";POLJICE BB;59;39;39;38;1;18;7;12;1
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;017;POPOVIĆI;"OSNOVNA ŠKOLA ""POPOVIĆI""";POPOVIĆI BB;217;140;140;131;9;97;16;16;2
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;018;PRIDVORJE;"OMLADINSKI DOM ""PRIDVORJE""";PRIDVORJE BB;200;113;113;107;6;81;9;14;3
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;KONAVLE;019;LOVORNO;"OSNOVNA ŠKOLA ""LOVORNO""";LOVORNO BB;176;98;98;92;6;62;5;22;3
