Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMAGOJ FRANIĆ;MIŠO KRSTIČEVIĆ;KREŠIMIR ŠUNJIĆ
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;001;PLOČE;SREDNJA ŠKOLA FRA A.K.MIOŠIĆA;PLOČE;714;476;476;462;14;20;336;106
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;002;PLOČE;"OŠ ""VLADIMIR NAZOR""";PLOČE;761;472;472;464;8;27;315;122
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;003;PLOČE;DJEČJI VRTIĆ U PLOČAMA;PLOČE;710;456;456;446;10;20;320;106
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;004;PLOČE;MJESNI ODBOR U PLOČAMA;V. NAZORA 45;530;351;351;341;10;12;262;67
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;005;PLOČE;PUČKO UČILIŠTE U PLOČAMA;PLOČE;242;159;159;158;1;5;100;53
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;006;PLOČE;PROSTORIJE GRADA PLOČA;TRG KRALJA TOMISLAVA 23;914;615;615;610;5;29;447;134
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;007;STABLINA;MJESNI ODBOR U STABLINI;STABLINA;763;574;574;560;14;13;353;194
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;008;KOMIN;DOM KULTURE U KOMINU;KOMIN;1004;668;668;642;26;45;222;375
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;009;ROGOTIN;DOM KULTURE U ROGOTINU;ROGOTIN;558;406;406;395;11;3;105;287
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;010;ŠARIĆ STRUGA;DOM KULTURE U ŠARIĆ STRUGI;ŠARIĆ STRUGA;188;131;131;130;1;1;71;58
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;011;BANJA;"""KUĆA POK.JOKE BATINOVIĆA""";PUT VRILA 5, BANJA;152;111;111;111;0;5;78;28
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;012;BAĆINA;DOM KULTURE U BAĆINI;BAĆINA;498;330;330;325;5;41;234;50
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;013;PERAČKO BLATO;DOM KULTURE U PERAČKOM BLATU;PERAČKO BLATO;262;207;207;204;3;13;158;33
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;014;STAŠEVICA;DOM KULTURE-ZGRADA STARE ŠKOLE U STAŠEVICI;STAŠEVICA;458;332;332;325;7;5;200;120
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;015;STAŠEVICA-SPILICE;DOM KULTURE U STAŠEVICI -SPILICE;STAŠEVICA-SPILICE;321;228;228;225;3;2;143;80
