Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  MERI BANDL VALEŠ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAČKA STRANKA - HSS;MOST, DOMOVINSKI POKRET - DP, LOZA NEZAVISNA LISTA - LOZA;NEZAVISNA LISTA STIPE PETRINA - NLSP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;001;BIRAČKO MJESTO 1;ZGRADA KULTURNOG CENTRA U VODICAMA;IVE ČAĆE 8;1119;611;611;600;11;87;238;77;147;51
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;002;BIRAČKO MJESTO 2;"ZGRADA OSNOVNE ŠKOLE ""VODICE"" (UČIONICA BR. I. - PRIZEMLJE)";MIĆIN STANKA BB;1238;578;578;554;24;70;223;74;145;42
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;003;BIRAČKO MJESTO 3;"ZGRADA OSNOVNE ŠKOLE ""VODICE"" (UČIONICA BR. II. - PRIZEMLJE)";MIĆIN STANKA BB;1142;580;580;566;14;65;269;66;128;38
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;004;BIRAČKO MJESTO 4;"ZGRADA OSNOVNE ŠKOLE ""VODICE"" (UČIONICA BR. III. - PRIZEMLJE)";MIĆIN STANKA BB;1227;470;469;457;12;51;190;63;118;35
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;005;BIRAČKO MJESTO 5;"ZGRADA OSNOVNE ŠKOLE ""VODICE"" (UČIONICA BR. IV. - PRIZEMLJE)";MIĆIN STANKA BB;1257;461;461;449;12;22;221;85;92;29
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;006;BIRAČKO MJESTO 6;"ZGRADA OSNOVNE ŠKOLE ""VODICE"" (UČIONICA BR. V. - PRIZEMLJE)";MIĆIN STANKA BB;1327;493;493;482;11;51;171;105;107;48
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;007;BIRAČKO MJESTO 7;PROSTORIJE MJESNOG ODBORA SRIMA;SRIMA;993;387;387;381;6;22;129;53;136;41
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;008;BIRAČKO MJESTO 8;PROSTOR MJESNOG ODBORA PRVIĆ LUKA (EX DVA BUNARA);PRVIĆ LUKA;202;104;104;103;1;5;31;12;20;35
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;009;BIRAČKO MJESTO 9;PROSTOR MJESNOG ODBORA PRVIĆ ŠEPURINE;PRVIĆ ŠEPURINE;289;158;158;156;2;32;60;17;25;22
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;010;BIRAČKO MJESTO 10;OSNOVNA ŠKOLA ČISTA VELIKA;ČISTA VELIKA;427;257;257;253;4;8;186;36;15;8
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;011;BIRAČKO MJESTO 11;EX AMBULANTA U ČISTOJ MALOJ;ČISTA MALA;179;65;65;63;2;2;39;0;5;17
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;012;BIRAČKO MJESTO 12;OSNOVNA ŠKOLA GAĆELEZI;GAĆELEZI;219;97;97;93;4;4;66;14;6;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;013;BIRAČKO MJESTO 13;KUĆA VLASNIKA STIPANA BRUSANA;GRABOVCI 18;80;58;58;57;1;2;45;9;1;0
