Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA SELJAČKA STRANKA - HSS;MOST, DOMOVINSKI POKRET - DP, LOZA NEZAVISNA LISTA - LOZA;NEZAVISNA LISTA MLADIH - NLM;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS, SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;001;BIRAČKO MJESTO 1;GLAZBENA  ŠKOLA U DRNIŠU;V. NAZORA 4;548;256;256;245;11;88;41;29;29;51;7
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;002;BIRAČKO MJESTO 2;SREDNJA ŠKOLA U DRNIŠU;POLJANA 1;709;350;350;335;15;127;35;54;48;66;5
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;003;BIRAČKO MJESTO 3;OSNOVNA ŠKOLA U DRNIŠU;ANTUNA MIHANOVIĆA 4;818;407;407;389;18;163;42;44;60;68;12
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;004;BIRAČKO MJESTO 4;SREDNJA ŠKOLA U DRNIŠU;POLJANA 1;481;212;212;206;6;81;22;23;30;46;4
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;005;BIRAČKO MJESTO 5;OSNOVNA ŠKOLA U DRINOVCIMA;OKO CRKVE 2;161;64;64;64;0;31;9;1;15;6;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;006;BIRAČKO MJESTO 6;KUĆA IVICE STOJANOVIĆA (ŠKITE) U KARALIĆU;KOD TRGOVINE 3;226;141;141;138;3;78;5;12;35;8;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;007;BIRAČKO MJESTO 7;KUĆA DAVORA BAČIĆA U BRIŠTANIMA;BAČIĆI 7;147;95;95;89;6;57;8;3;15;6;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;008;BIRAČKO MJESTO 8;KUĆA ILIJE GALIĆA U BOGATIĆU;KOD ŠKOLE 1;85;57;57;54;3;28;1;3;19;3;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;009;BIRAČKO MJESTO 9;KUĆA DANICE LJUBIĆ U KLJUČU;KLJUČ 23;128;72;72;71;1;62;0;4;2;3;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;010;BIRAČKO MJESTO 10;OSNOVNA  ŠKOLA U KAOČINAMA;KOD ŠKOLE KULUŠIĆI 20;201;115;115;114;1;57;8;6;23;18;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;011;BIRAČKO MJESTO 11;OSNOVNA ŠKOLA U TRBOUNJU;KOD ŠKOLE 4;197;92;92;90;2;38;2;23;20;7;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;012;BIRAČKO MJESTO 12;KUĆA IVICE TARLE U VELUŠIĆU;TARLE 5;78;46;46;44;2;24;6;1;10;3;0
