Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;JOSIP BEGONJA;ANTE GALIĆ;ANĐELKA TOMIĆ
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;001;BIRAČKO MJESTO 1;GLAZBENA  ŠKOLA U DRNIŠU;V. NAZORA 4;548;256;256;235;21;133;44;58
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;002;BIRAČKO MJESTO 2;SREDNJA ŠKOLA U DRNIŠU;POLJANA 1;709;350;350;335;15;159;78;98
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;003;BIRAČKO MJESTO 3;OSNOVNA ŠKOLA U DRNIŠU;ANTUNA MIHANOVIĆA 4;818;407;407;377;30;195;75;107
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;004;BIRAČKO MJESTO 4;SREDNJA ŠKOLA U DRNIŠU;POLJANA 1;481;212;212;201;11;101;36;64
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;005;BIRAČKO MJESTO 5;OSNOVNA ŠKOLA U DRINOVCIMA;OKO CRKVE 2;161;64;64;62;2;38;17;7
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;006;BIRAČKO MJESTO 6;KUĆA IVICE STOJANOVIĆA (ŠKITE) U KARALIĆU;KOD TRGOVINE 3;226;141;141;139;2;69;57;13
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;007;BIRAČKO MJESTO 7;KUĆA DAVORA BAČIĆA U BRIŠTANIMA;BAČIĆI 7;147;95;95;89;6;51;29;9
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;008;BIRAČKO MJESTO 8;KUĆA ILIJE GALIĆA U BOGATIĆU;KOD ŠKOLE 1;85;57;57;55;2;29;23;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;009;BIRAČKO MJESTO 9;KUĆA DANICE LJUBIĆ U KLJUČU;KLJUČ 23;128;72;72;64;8;49;9;6
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;010;BIRAČKO MJESTO 10;OSNOVNA  ŠKOLA U KAOČINAMA;KOD ŠKOLE KULUŠIĆI 20;201;114;114;114;0;58;31;25
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;011;BIRAČKO MJESTO 11;OSNOVNA ŠKOLA U TRBOUNJU;KOD ŠKOLE 4;197;96;96;93;3;46;27;20
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;012;BIRAČKO MJESTO 12;KUĆA IVICE TARLE U VELUŠIĆU;TARLE 5;78;46;46;44;2;21;12;11
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;013;BIRAČKO MJESTO 13;PROSTORIJA ŽELJEZNIČKOG KOLODVORA DRNIŠ U BADNJU, BADANJ;ŽELJEZNIČKA STANICA 6 A;221;92;92;87;5;53;8;26
