Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;NIKOLA BLAŽEVIĆ;ILIJA ČIČAK;MARIJO ĆAĆIĆ;ADRIJANA FRANJKIĆ;ROBERT OKADAR;ANJA ŠIMPRAGA
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;001;BIRAČKO MJESTO 1;"ZGRADA ""HRVATSKIH CESTA"", NADCESTARIJA KNIN";DRNIŠKA CESTA 46, KNIN;120;53;53;49;4;13;0;29;1;2;4
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;002;BIRAČKO MJESTO 2;ZGRADA VELEUČILIŠTA MARKO MARULIĆ;KREŠIMIROVA 30, KNIN;599;305;305;301;4;112;5;117;2;35;30
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;003;BIRAČKO MJESTO 3;ZGRADA VELEUČILIŠTA MARKO MARULIĆ;KREŠIMIROVA 30, KNIN;674;279;279;273;6;121;2;119;4;12;15
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;004;BIRAČKO MJESTO 4;"PROSTORIJE ""UPRAVITELJ KNIN"", (BIVŠA TRŽNICA KNIN D.O.O)";VUKOVARSKA 2, KNIN;692;342;342;336;6;130;10;148;4;15;29
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;005;BIRAČKO MJESTO 5;"PROSTORIJE ""UPRAVITELJ KNIN"" (BIVŠA TRŽNICA D.O.O.)";VUKOVARSKA 2, KNIN;670;319;319;309;10;139;7;128;2;17;16
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;006;BIRAČKO MJESTO 6;ZGRADA OSNOVNE ŠKOLE DOMOVINSKE ZAHVALNOSTI;JOVIĆEVA 2, KNIN;839;401;401;394;7;154;8;183;6;18;25
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;007;BIRAČKO MJESTO 7;ZGRADA OSNOVNE ŠKOLE DOMOVINSKE ZAHVALNOSTI;JOVIĆEVA 2, KNIN;780;372;372;366;6;142;8;174;1;16;25
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;008;BIRAČKO MJESTO 8;PRIVATNA KUĆA ANDRIJE ŠKEGRO;DOMOVINSKOG RATA 33, KOVAČIĆ;950;409;408;393;15;132;7;164;4;13;73
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;009;BIRAČKO MJESTO 9;"ZGRADA HEP-A ""ELEKTRA""";4. GARDIJSKE 48, KNIN;1336;568;568;552;16;221;25;215;10;32;49
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;010;BIRAČKO MJESTO 10;ZGRADA OŠ DR. FRANJE TUĐMANA (BIVŠA II OŠ KNIN);KNEZA IVANIŠA NELIPIĆA 2, KNIN;744;302;302;290;12;125;15;110;5;24;11
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;011;BIRAČKO MJESTO 11;ZGRADA OŠ DR.FRANJE TUĐMANA (BIVŠA II OŠ KNIN);KNEZA IVANIŠA NELIPIĆA 2, KNIN;641;284;284;277;7;95;5;144;0;21;12
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;012;BIRAČKO MJESTO 12;KUĆA VLATKE ČOVIĆ;SURONJINA 15, KNIN;1491;639;639;634;5;237;29;282;9;40;37
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;013;BIRAČKO MJESTO 13;DOM KULTURE U VRPOLJU;FRA ANDRIJE MARIĆA 2, VRPOLJE;603;266;266;258;8;115;5;111;9;8;10
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;014;BIRAČKO MJESTO 14;OSNOVNA ŠKOLA DOMOVINSKE ZAHVALNOSTI, PODRUČNA ŠKOLA GOLUBIĆ;GOLUBIĆ;724;296;295;287;8;88;8;90;43;5;53
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;015;BIRAČKO MJESTO 15;ZGRADA NOVE AMBULANTE;PLAVNO;182;56;56;53;3;15;1;4;0;1;32
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;016;BIRAČKO MJESTO 16;KUĆA ĐURE RADOŠA;CENTAR 34, STRMICA;195;82;82;78;4;1;1;7;0;0;69
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;017;BIRAČKO MJESTO 17;ZGRADA TELEKOMUNIKACIJA-POŠTA;ZADARSKA 1, ŽAGROVIĆ;531;269;269;267;2;65;9;44;5;12;132
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;018;BIRAČKO MJESTO 18;KUĆA ILIJE ORLOVIĆA;LJUBAČ;51;35;35;34;1;2;0;19;0;1;12
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;019;BIRAČKO MJESTO 19;KUĆA VLASNIŠTVA VELJKA TANJGE;OČESTOVO;90;51;51;50;1;4;1;1;0;0;44
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;020;BIRAČKO MJESTO 20;KUĆA RADOJKE MILIVOJEVIĆ;POLAČA;161;81;81;79;2;8;0;9;0;0;62
