Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;MOST, DOMOVINSKI POKRET - DP, LOZA NEZAVISNA LISTA - LOZA
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;UNEŠIĆ;001;BIRAČKO MJESTO 1;"""DOM KULTURE"" U UNEŠIĆU";UNEŠIĆ;250;199;199;194;5;130;64
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;UNEŠIĆ;002;BIRAČKO MJESTO 2;"OSNOVNA ŠKOLA  ""KOPRNO""";KOPRNO;120;93;93;92;1;68;24
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;UNEŠIĆ;003;BIRAČKO MJESTO 3;"OSNOVNA ŠKOLA  ""PLANJANI GORNJI""";PLANJANI GORNJI;110;63;63;62;1;40;22
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;UNEŠIĆ;004;BIRAČKO MJESTO 4;"OSNOVNA ŠKOLA  ""MIRLOVIĆ ZAGORA""";MIRLOVIĆ ZAGORA;373;267;267;261;6;203;58
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;UNEŠIĆ;005;BIRAČKO MJESTO 5;"OSNOVNA ŠKOLA  ""OSTROGAŠICA""";OSTROGAŠICA;73;64;64;64;0;62;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;UNEŠIĆ;006;BIRAČKO MJESTO 6;"""DRUŠTVENI DOM ČVRLJEVO"", ČVRLJEVO";GORNJI BOŽIĆI BB;57;46;46;45;1;27;18
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;UNEŠIĆ;007;BIRAČKO MJESTO 7;"PROSTORIJE ""MJESNOG ODBORA"" - KOD TELEFONSKE CENTRALE U VINOVU GORNJEM";VINOVO GORNJE;22;18;18;18;0;17;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;UNEŠIĆ;008;BIRAČKO MJESTO 8;"OSNOVNA ŠKOLA ""VINOVO DONJE"" U VINOVU DONJEM";VINOVO DONJE;56;22;22;21;1;16;5
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;UNEŠIĆ;009;BIRAČKO MJESTO 9;"OSNOVNA ŠKOLA ""UTORE GORNJE""";UTORE GORNJE;41;36;36;36;0;23;13
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;UNEŠIĆ;010;BIRAČKO MJESTO 10;"PROSTORIJA ""UNEŠĆANKE"" U NEVESTU";NEVEST;102;71;71;69;2;54;15
15;ŠIBENSKO-KNINSKA ŽUPANIJA;općina;UNEŠIĆ;011;BIRAČKO MJESTO 11;"OSNOVNA ŠKOLA ""VISOKA"" U VISOKOJ";VISOKA;35;27;27;26;1;22;4
