Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MIRKO KRZNAR;ANITA KROK
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;001;KONJŠČINA;SREDNJA ŠKOLA KONJŠČINA;MATIJE GUPCA 5;819;609;609;590;19;201;389
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;002;GALOVEC;VATROGASNI DOM GALOVEC;GALOVEC;329;250;250;250;0;112;138
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;003;JERTOVEC;OSNOVNA ŠKOLA KONJŠČINA, PODRUČNA ŠKOLA JERTOVEC;JERTOVEC;567;377;377;374;3;163;211
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;004;PEŠĆENO;DRUŠTVENI DOM;PEŠĆENO BB;122;78;78;76;2;45;31
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;005;BOČADIR;DRUŠTVENI DOM;BOČADIR;188;153;153;152;1;68;84
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;006;TURNIŠĆE;DRUŠTVENI DOM;TURNIŠĆE;239;127;127;119;8;62;57
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;007;KLIMEN;DRUŠTVENI DOM;KLIMEN;104;64;64;62;2;39;23
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;008;GORNJA KONJŠČINA;VATROGASNI DOM;GORNJA KONJŠČINA;171;127;127;125;2;75;50
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;009;DONJA KONJŠČINA;VATROGASNI DOM;DONJA KONJŠČINA;270;200;200;199;1;81;118
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;010;SUŠOBREG;DRUŠTVENI DOM;SUŠOBREG;176;128;128;126;2;81;45
