Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DARKO BAN;ŽELJKO ODAK
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;001;POZNANOVEC;VATROGASNI DOM U POZNANOVCU;POZNANOVEC, ZAGORSKE BRIGADE 34;763;358;358;351;7;242;109
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;002;LUG POZNANOVEČKI;PROSTORIJE MJESNOG ODBORA;POZNANOVEC, ZAGORSKE BRIGADE 20 A;539;245;245;236;9;123;113
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;003;KRIŽANČE;DRUŠTVENI DOM;KRIŽANČE 20B;112;51;51;48;3;25;23
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;004;ŽIDOVINJAK;DRUŠTVENI DOM;ŽIDOVINJAK 9;140;85;85;83;2;42;41
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;005;BEDEKOVČINA;STARA ŠKOLA KOD GRGIĆA;BEDEKOVČINA, STJEPANA RADIĆA 78;555;292;291;286;5;147;139
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;006;BEDEKOVČINA;VATROGASNI DOM BEDEKOVČINA;STJEPANA RADIĆA 76A;753;483;483;481;2;143;338
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;007;BEDEKOVČINA;ZGRADA OPĆINE (DVORANA);BEDEKOVČINA, TRG A. STARČEVIĆA 4;921;518;518;505;13;288;217
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;008;BEDEKOVČINA;PROSTORIJA UDRUGE UMIROVLJENIKA;BEDEKOVČINA, TRG A. STARČEVIĆA 15;556;295;295;287;8;130;157
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;009;KEBEL;VATROGASNI DOM;KEBEL 57 C;322;141;141;140;1;88;52
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;010;OREHOVICA;PODRUČNA ŠKOLA OREHOVICA;OREHOVICA 24;307;127;127;127;0;34;93
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;011;BRESTOVEC OREHOVEČKI;STARA ŠKOLA BRESTOVEC OREHOVIČKI;BRESTOVEC OREHOVIČKI 19;876;414;414;406;8;232;174
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;012;GRABE;DRUŠTVENI DOM GRABE;GRABE 118B;270;130;130;127;3;82;45
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;013;MARTINEC OREHOVIČKI;DRUŠTVENI DOM;MARTINEC OREHOVIČKI 19A;405;232;232;230;2;86;144
