Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;GORDANA JUREKOVIĆ;ZVONKO OČIĆ
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;001;ČRET;VATROGASNI DOM;ČRET 30;605;267;267;262;5;219;43
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;002;GREGUROVEC;PODRUČNA ŠKOLA;GREGUROVEC 12;295;167;167;164;3;91;73
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;003;KRAPINSKE TOPLICE;DOM KULTURE;K.Š.ĐALSKOG 1;169;52;52;52;0;46;6
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;004;JURJEVEC;DRUŠTVENI DOM;JURJEVEC;287;168;168;166;2;117;49
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;005;KLOKOVEC;KUĆA GUDIĆ ANE MARI;KLOKOVEC 212;742;368;368;356;12;299;57
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;006;KRAPINSKE TOPLICE I;DOM KULTURE;K.Š.ĐALSKOG 1;463;199;199;198;1;142;56
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;007;KRAPINSKE TOPLICE II;OSNOVNA ŠKOLA;ZAGREBAČKA 12;804;367;367;356;11;272;84
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;008;MALA ERPENJA I;VATROGASNI DOM;MALA ERPENJA 249;210;99;99;97;2;91;6
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;009;MALA ERPENJA II;DRUŠTVENI DOM;MALA ERPENJA BB;262;124;124;121;3;106;15
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;010;SELNO;DRUŠTVENI DOM;SELNO BB;308;143;143;141;2;118;23
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;011;VRTNJAKOVEC;DRUŠTVENI DOM;VRTNJAKOVEC 33A;393;176;176;175;1;121;54
