Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;STJEPAN KRKLEC;MONIKA POSLONČEC
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;001;PETROVSKO I ROVNO;OSNOVNA ŠKOLA ANTUNA MIHANOVIĆA (UČIONICA BR. 1);PETROVSKO 58 A;265;152;152;147;5;106;41
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;002;BENKOVEC PETROVSKI;OSNOVNA ŠKOLA ANTUNA MIHANOVIĆA, UČIONICA BR. 2;PETROVSKO 58 A;100;54;54;53;1;33;20
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;003;STARA VES PETROVSKA I MALA PAČETINA;GARAŽA KOZINA KRISTIJANA;STARA VES PETROVSKA 43A;206;125;125;122;3;97;25
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;004;PODGAJ PETROVSKI;KUĆA POSLONČEC STJEPANA;PODGAJ PETROVSKI 37;209;131;131;130;1;57;73
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;005;BREZOVICA PETROVSKA;KUĆA LELJAK RUDOLFA;BREZOVICA PETROVSKA 9;86;49;49;49;0;23;26
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;006;PRESEKA PETROVSKA;KUĆA PRESEČKI EDUARDA;PRESEKA PETROVSKA 22;216;121;121;116;5;64;52
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;007;ŠTUPARJE;KUĆA POSLON-FABRIČNI LJUBICE;ŠTUPARJE 38;317;211;211;208;3;174;34
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;008;SVEDRUŽA DONJA;PODRUČNA ŠKOLA U SLATINI (SJEVERNA UČ.);SLATINA SVEDRUŠKA 38;116;65;65;64;1;54;10
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;009;SLATINA SVEDRUŠKA (DIO);KUĆA ORMUŽ BRANKA;SLATINA SVEDRUŠKA 5;193;97;97;96;1;62;34
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;010;SLATINA SVEDRUŠKA (DIO) I SVEDRUŽA GORNJA;PODRUČNA ŠKOLA U SLATINI (JUŽNA UČIONICA);SLATINA SVEDRUŠKA 38;260;146;146;144;2;73;71
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;011;GREDENEC;GARAŽA HRŠAK JOSIPA;GREDENEC 28;71;44;44;43;1;30;13
