Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;001;SOKOLOVAC;DRUŠTVENI DOM;SOKOLOVAC;482;161;161;157;4;22;65;70
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;002;LEPAVINA;PROSTORIJE RJ MEHANIZACIJA I PRIJEVOZ;LEPAVINA 20;303;75;75;73;2;16;43;14
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;003;DONJA VELIKA;VATROGASNI DOM;DONJA VELIKA;132;71;71;71;0;4;67;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;004;HUDOVLJANI;DRUŠTVENI DOM;HUDOVLJANI;167;108;108;107;1;6;96;5
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;005;PEŠČENIK;STARA ŠKOLA;PEŠČENIK;77;36;36;36;0;5;28;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;006;DONJI MASLARAC;DRUŠTVENI DOM;DONJI MASLARAC;118;62;62;60;2;12;47;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;007;MALA MUČNA;DRUŠTVENI DOM;MALA MUČNA;93;32;32;31;1;8;20;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;008;MALA BRANJSKA;DRUŠTVENI DOM;MALA BRANJSKA;70;20;20;20;0;6;11;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;009;LADISLAV SOKOLOVAČKI;DRUŠTVENI DOM;LADISLAV SOKOLOVAČKI;87;63;63;61;2;1;59;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;010;MILIČANI;DRUŠTVENI DOM;MILIČANI;257;70;70;67;3;12;43;12
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;011;TRNOVAC SOKOLOVAČKI;DRUŠTVENI DOM;TRNOVAC SOKOLOVAČKI;76;48;48;47;1;7;37;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;012;MALI POGANAC;DRUŠTVENI DOM;MALI POGANAC;225;51;51;51;0;5;30;16
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;013;VELIKA MUČNA;HRVATSKI DOM;VELIKA MUČNA;284;118;118;112;6;8;54;50
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;014;DOMAJI;DRUŠTVENI DOM;DOMAJI;217;89;89;86;3;35;46;5
