Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;VLADO BAKŠAJ;DANIJEL TRIPLAT
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;001;SOKOLOVAC;DRUŠTVENI DOM;SOKOLOVAC;482;161;161;132;29;90;42
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;002;LEPAVINA;PROSTORIJE RJ MEHANIZACIJA I PRIJEVOZ;LEPAVINA 20;303;75;75;74;1;48;26
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;003;DONJA VELIKA;VATROGASNI DOM;DONJA VELIKA;132;71;71;71;0;69;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;004;HUDOVLJANI;DRUŠTVENI DOM;HUDOVLJANI;167;108;108;107;1;104;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;005;PEŠČENIK;STARA ŠKOLA;PEŠČENIK;77;36;36;36;0;31;5
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;006;DONJI MASLARAC;DRUŠTVENI DOM;DONJI MASLARAC;118;62;62;61;1;48;13
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;007;MALA MUČNA;DRUŠTVENI DOM;MALA MUČNA;93;32;32;31;1;22;9
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;008;MALA BRANJSKA;DRUŠTVENI DOM;MALA BRANJSKA;70;20;20;20;0;13;7
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;009;LADISLAV SOKOLOVAČKI;DRUŠTVENI DOM;LADISLAV SOKOLOVAČKI;87;63;63;61;2;59;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;010;MILIČANI;DRUŠTVENI DOM;MILIČANI;257;70;70;69;1;52;17
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;011;TRNOVAC SOKOLOVAČKI;DRUŠTVENI DOM;TRNOVAC SOKOLOVAČKI;76;48;48;47;1;38;9
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;012;MALI POGANAC;DRUŠTVENI DOM;MALI POGANAC;225;51;51;51;0;42;9
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;013;VELIKA MUČNA;HRVATSKI DOM;VELIKA MUČNA;284;118;118;111;7;93;18
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;014;DOMAJI;DRUŠTVENI DOM;DOMAJI;217;89;89;87;2;54;33
