Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;NIKICA ŠTIBIĆ
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;001;RASINJA;DRUŠTVENI DOM;TRG SV. FLORIJANA 16;7;1;1;1;0;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;002;SUBOTICA PODRAVSKA;DRUŠTVENI DOM;TRG MLADOSTI 22;5;0;0;0;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;003;CVETKOVEC;DRUŠTVENI DOM;TRG SVETOG TROJSTVA 14;2;0;0;0;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;004;GORICA;VATROGASNI DOM;GORICA 11;1;0;0;0;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;005;KUZMINEC;VATROGASNI DOM;KUZMINEC 105;0;0;0;0;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;006;KOLEDINEC;DRUŠTVENI DOM;KOLEDINEC 63B;1;0;0;0;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;007;BELANOVO SELO;DRUŠTVENI DOM;BELANOVO SELO 24;19;8;8;8;0;8
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;008;IVANČEC;DRUŠTVENI DOM;IVANČEC 30A;23;8;8;8;0;8
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;009;DUGA RIJEKA;BIVŠA ŠKOLA;DUGA RIJEKA 26;75;44;43;38;5;38
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;010;RIBNJAK;DRUŠTVENI DOM;RIBNJAK 12;28;18;18;17;1;17
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;011;RADELJEVO SELO;DRUŠTVENI DOM;RADELJEVO SELO 31;39;16;16;16;0;16
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;012;PRKOS;BIVŠA ŠKOLA;PRKOS 28;53;24;24;20;4;20
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;013;VELIKI POGANAC;DRUŠTVENI DOM;VELIKI POGANAC 38;108;34;34;31;3;31
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;014;LUDBREŠKI IVANAC;DRUŠTVENI DOM;LUDBREŠKI IVANAC 34;13;7;7;7;0;7
