Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA UMIROVLJENIKA - HSU;NEZAVISNI;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;001;ĐURĐEVAC;DRUŠTVENI DOM PESKI - ULAZ DESNO;ĐURĐEVAC;621;352;350;347;3;36;18;250;43
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;002;ĐURĐEVAC;DRUŠTVENI DOM PESKI - ULAZ LIJEVO;ĐURĐEVAC;751;382;382;375;7;20;6;297;52
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;003;GRKINE;DRUŠTVENI DOM GRKINE;GRKINE;96;41;41;40;1;4;2;28;6
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;004;SEVEROVCI;DRUŠTVENI DOM SEVEROVCI;SEVEROVCI;98;38;38;37;1;0;2;30;5
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;005;ĐURĐEVAC;DRUŠTVENI DOM NOVO SELO;ĐURĐEVAC;799;482;482;464;18;51;20;300;93
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;006;ĐURĐEVAC;ZGRADA INE;ĐURĐEVAC;549;284;284;278;6;22;3;210;43
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;007;SVETA ANA;DRUŠTVENI DOM SVETA ANA;SVETA ANA;86;42;42;40;2;0;1;33;6
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;008;ĐURĐEVAC;DOM KULTURE ĐURĐEVAC - ULAZ LIJEVO;ĐURĐEVAC;624;325;325;322;3;31;7;217;67
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;009;ĐURĐEVAC;DOM KULTURE ĐURĐEVAC- ULAZ DESNO;ĐURĐEVAC;657;360;360;354;6;47;10;235;62
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;010;MIČETINAC;DRUŠTVENI DOM MIČETINAC;MIČETINAC;170;104;104;103;1;15;0;70;18
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;011;ĐURĐEVAC;ZGRADA GRADA ĐURĐEVCA  (STARA VIJEĆNICA);S. RADIĆA 1, ĐURĐEVAC;560;340;339;332;7;44;13;214;61
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;012;ĐURĐEVAC;ZGRADA ZAJEDNICE SPORTSKIH UDRUGA GRADA ĐURĐEVCA;ULICA ANTUNA RADIĆA 4;508;271;271;269;2;11;4;191;63
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;013;ČEPELOVAC;DRUŠTVENI DOM ČEPELOVAC;ČEPELOVAC;280;128;128;119;9;15;11;73;20
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;014;BUDROVAC;DRUŠTVENI DOM BUDROVAC;BUDROVAC;276;129;129;126;3;20;7;70;29
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;015;SIROVA KATALENA;VATROGASNI DOM SIROVA KATALENA;SIROVA KATALENA;216;102;102;102;0;43;6;42;11
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;016;SUHA KATALENA;DRUŠTVENI DOM SUHA KATALENA;SUHA KATALENA;263;125;125;124;1;19;4;96;5
