Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS;HRVATSKA SELJAÈKA STRANKA - HSS, GRAÐANSKO-LIBERALNI SAVEZ - GLAS;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  IVAN MAJDAK;MOST;MREŽA NEZAVISNIH LISTA - MREŽA, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  MARIO RAJN;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;001;KRIŽEVCI;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";ULICA BANA JOSIPA JELAÈIÆA 23;811;391;391;382;9;42;47;7;37;19;16;157;57
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;002;KRIŽEVCI;ŽUPANIJSKA UPRAVA ZA CESTE KRIŽEVCI;ULICA IVANA ZAKMARDIJA DIJANKOVEÈKOG 3;404;195;195;190;5;26;33;4;24;5;14;51;33
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;003;KRIŽEVCI;"""KOMUNALNO PODUZEÆE"" D. D. KRIŽEVCI (DVORANA I. NA KATU)";ULICA DRAGE GRDENIÆA 7;508;296;296;294;2;44;36;4;19;22;15;110;44
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;004;KRIŽEVCI;HRVATSKI DOM  KRIŽEVCI (LIJEVO DVORANA);ULICA ANTUNA GUSTAVA MATOŠA 4;849;359;359;351;8;41;59;7;32;9;12;136;55
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;005;KRIŽEVCI;HRVATSKI DOM KRIŽEVCI (DESNO GALERIJA);ULICA ANTUNA GUSTAVA MATOŠA 4;803;359;359;355;4;40;52;7;31;20;13;121;71
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;006;KRIŽEVCI;AUTO-MOTO KLUB KRIŽEVCI;ZAGREBAÈKA ULICA 33;848;363;363;357;6;44;42;8;35;14;11;152;51
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;007;KRIŽEVCI;HRVATSKI ZAVOD ZA ZAPOŠLJAVANJE - PODRUÈNA SLUŽBA KRIŽEVCI;ULICA KRALJA TOMISLAVA 20;654;312;312;302;10;50;37;11;26;9;12;108;49
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;008;KRIŽEVCI;RADNIK D.D. KRIŽEVCI;ULICA KRALJA TOMISLAVA 45;691;335;335;331;4;54;49;5;18;15;12;114;64
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;009;KRIŽEVCI;HRVATSKE ŠUME - ŠUMARIJA KRIŽEVCI;ULICA KRALJA TOMISLAVA 114;872;430;430;423;7;32;49;5;35;22;6;182;92
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;010;KRIŽEVCI;"GRADSKA KNJIŽNICA ""FRANJO MARKOVIÆ"" - MULTIMEDIJALNI CENTAR";TRG SVETOG FLORIJANA 14;696;368;368;357;11;43;50;10;22;19;13;132;68
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;011;KRIŽEVCI;DOM SV. MARKA KRIŽEVÈANINA, KRIŽEVCI;ULICA FRANJE MARKOVIÆA 33;673;260;260;256;4;26;36;5;23;19;11;102;34
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;012;KRIŽEVCI;VRTLARIJA KOMUNALNOG PODUZEÆA KRIŽEVCI (DRUŠTVENE PROSTORIJE);ULICA IVANA LEPUŠIÆA 1;608;236;236;230;6;26;37;9;16;6;5;97;34
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;013;KRIŽEVCI;VATROGASNI DOM KRIŽEVCI;ULICA FRANJE RAÈKOGA 2;609;318;318;313;5;50;36;2;28;10;10;116;61
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;014;KRIŽEVCI;"OSNOVNA ŠKOLA ""LJUDEVITA MODECA"" KRIŽEVCI";ULICA FRANJE RAÈKOGA 3;831;364;364;359;5;63;43;11;38;18;9;126;51
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;015;MALI POTOÈEC;VATROGASNI DOM MALI POTOÈEC;MALI POTOÈEC;158;77;77;72;5;11;4;2;18;1;0;23;13
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;016;APATOVEC;VATROGASNI DOM APATOVEC;APATOVEC;276;65;65;63;2;20;7;5;11;1;2;11;6
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;017;BOJNIKOVEC;VATROGASNI DOM BOJNIKOVEC;BOJNIKOVEC;173;94;94;94;0;15;14;6;2;0;1;47;9
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;018;BRCKOVÈINA;DRUŠTVENI DOM BRCKOVÈINA;BRCKOVÈINA;260;97;97;95;2;16;9;5;11;8;3;26;17
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;019;BUKOVJE KRIŽEVAÈKO;VATROGASNI DOM BUKOVJE KRIŽEVAÈKO;BUKOVJE KRIŽEVAÈKO;240;94;94;93;1;9;18;2;6;1;1;50;6
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;020;CAREVDAR;DRUŠTVENI DOM CAREVDAR;CAREVDAR;361;172;172;163;9;24;9;4;5;1;3;96;21
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;021;NOVI BOŠNJANI;DRUŠTVENI DOM NOVI BOŠNJANI;NOVI BOŠNJANI;63;28;28;28;0;8;6;0;0;0;0;14;0
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;022;STARI BOŠNJANI;DRUŠTVENI DOM STARI BOŠNJANI;STARI BOŠNJANI;75;37;37;37;0;4;9;1;0;0;1;21;1
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;023;DONJI CUBINEC;DRUŠTVENI DOM DONJI CUBINEC;DONJI CUBINEC;204;99;99;98;1;10;8;6;6;5;5;35;23
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;024;CUBINEC;VATROGASNI DOM CUBINEC;CUBINEC;240;102;102;100;2;19;36;5;6;4;1;22;7
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;025;DIJANKOVEC;VATROGASNI DOM DIJANKOVEC;DIJANKOVEC;126;62;62;58;4;21;11;3;0;1;1;14;7
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;026;SREDNJI DUBOVEC;VATROGASNI DOM SREDNJI DUBOVEC;SREDNJI DUBOVEC;166;78;78;77;1;17;10;10;1;0;0;34;5
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;027;ÐURÐIC;VATROGASNI DOM ÐURÐIC;ÐURÐIC;326;127;127;124;3;44;10;5;6;1;3;45;10
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;028;LEMEŠ KRIŽEVAÈKI;DRUŠTVENI DOM LEMEŠ KRIŽEVAÈKI;LEMEŠ KRIŽEVAÈKI;155;89;89;88;1;8;9;1;5;5;2;56;2
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;029;ERDOVEC;VATROGASNI DOM ERDOVEC;ERDOVEC;162;79;79;74;5;3;4;4;1;1;1;56;4
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;030;DONJA GLOGOVNICA;PODRUÈNA ŠKOLA DONJA GLOGOVNICA;DONJA GLOGOVNICA;347;123;123;118;5;56;19;5;15;1;0;18;4
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;031;GRAÈINA;VATROGASNI DOM GRAÈINA;GRAÈINA;152;77;77;77;0;6;17;5;7;2;2;34;4
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;032;IVANEC KRIŽEVAÈKI;VATROGASNI DOM IVANEC KRIŽEVAÈKI;IVANEC KRIŽEVAÈKI;250;88;88;85;3;38;17;5;9;2;1;7;6
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;033;KLOŠTAR VOJAKOVAÈKI;PODRUÈNA ŠKOLA KLOŠTAR VOJAKOVAÈKI;KLOŠTAR VOJAKOVAÈKI;303;83;83;83;0;29;12;6;0;7;1;21;7
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;034;MAJUREC;VATROGASNI DOM MAJUREC;MAJUREC;351;148;148;145;3;26;27;8;13;5;3;45;18
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;035;NOVAKI RAVENSKI;VATROGASNI DOM NOVAKI RAVENSKI;NOVAKI RAVENSKI;134;61;61;58;3;8;14;2;1;14;1;12;6
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;036;OSIJEK VOJAKOVAÈKI;DRUŠTVENI DOM OSIJEK VOJAKOVAÈKI;OSIJEK VOJAKOVAÈKI;133;58;58;57;1;4;2;1;5;1;1;31;12
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;037;PAVLOVEC RAVENSKI;VATROGASNI DOM PAVLOVEC RAVENSKI;PAVLOVEC RAVENSKI;108;47;47;47;0;3;10;0;5;0;0;27;2
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;038;POLJANA KRIŽEVAÈKA;DRUŠTVENI DOM POLJANA KRIŽEVAÈKA;POLJANA KRIŽEVAÈKA;275;126;126;122;4;12;7;13;8;5;2;54;21
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;039;PODGAJEC;DRUŠTVENI DOM PODGAJEC;PODGAJEC;172;83;83;80;3;19;23;0;2;3;0;19;14
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;040;SVETA HELENA;VATROGASNI DOM SVETA HELENA;SVETA HELENA;234;138;138;138;0;42;1;37;11;3;1;27;16
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;041;SVETI MARTIN;DRUŠTVENI DOM SVETI MARTIN;SVETI MARTIN;230;96;96;96;0;10;8;8;4;4;2;49;11
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;042;ŠPIRANEC;VATROGASNI DOM ŠPIRANEC;ŠPIRANEC;140;71;71;69;2;8;4;1;2;2;1;16;35
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;043;VEÆESLAVEC;DRUŠTVENI DOM VEÆESLAVEC;VEÆESLAVEC;97;27;27;26;1;7;0;0;0;0;0;18;1
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;044;POVELIÆ;VATROGASNI DOM POVELIÆ;POVELIÆ;57;32;32;32;0;8;6;3;0;0;0;14;1
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;045;RUŠEVAC;VATROGASNI DOM RUŠEVAC;RUŠEVAC;126;64;64;64;0;15;0;1;0;0;0;42;6
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;046;VELIKI POTOÈEC;VATROGASNI DOM VELIKI POTOÈEC;VELIKI POTOÈEC;315;165;165;160;5;8;5;4;108;3;3;22;7
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;047;VELIKI RAVEN;PODRUÈNA ŠKOLA VELIKI RAVEN;VELIKI RAVEN;206;74;74;71;3;3;8;3;1;2;3;25;26
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;048;VELIKE SESVETE;DRUŠTVENI DOM VELIKE SESVETE;VELIKE SESVETE;96;31;31;30;1;4;0;0;0;0;0;22;4
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;049;VOJAKOVAC;PODRUÈNA ŠKOLA VOJAKOVAC;VOJAKOVAC;388;104;104;102;2;5;8;4;8;2;2;62;11
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;050;ŽIBRINOVEC;DRUŠTVENI DOM ŽIBRINOVEC;ŽIBRINOVEC;95;45;45;45;0;2;2;13;6;1;1;19;1
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KRIŽEVCI;051;LEMEŠ;VATROGASNI DOM LEMEŠ;LEMEŠ;84;33;33;33;0;2;1;1;0;0;1;26;2
