Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  NENAD BOŠNJAK;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;KANDIDACIJSKA LISTA GRUPE BIRAČA -  KRUNOSLAV MEDAČ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;001;BREZOVLJANI;DRUŠTVENI DOM BREZOVLJANI;BREZOVLJANI 121;241;126;126;124;2;47;53;6;18
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;002;CEPIDLAK;VATROGASNI DOM CEPIDLAK;CEPIDLAK 130;121;54;54;53;1;35;14;3;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;003;CIRKVENA;DOM KULTURE CIRKVENA;TRG SLOBODE 1;402;165;165;159;6;81;37;4;37
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;004;HRSOVO;VATROGASNI DOM HRSOVO;HRSOVO 69;200;100;100;100;0;69;15;5;11
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;005;KENĐELOVEC;DRUŠTVENI DOM KENĐELOVEC;KENĐELOVEC 93;141;87;87;85;2;55;21;2;7
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;006;LADINEC;VATROGASNI DOM LADINEC;LADINEC 28;193;52;52;51;1;30;5;1;15
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;007;MARKOVAC KRIŽEVAČKI;DRUŠTVENI DOM MARKOVAC KRIŽEVAČKI;MARKOVAC KRIŽEVAČKI 21;116;68;68;68;0;56;7;0;5
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;008;NOVI GLOG;VATROGASNI DOM NOVI GLOG;NOVI GLOG 34;268;88;88;87;1;65;11;0;11
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;009;RAŠĆANI;KUĆA LASIĆ STJEPANA;RAŠĆANI 24;86;25;25;22;3;18;3;1;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;010;SVETI IVAN ŽABNO;KINO SALA;TRG KARLA LUKAŠA 1;490;240;240;232;8;109;63;3;57
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;011;SVETI IVAN ŽABNO;OPĆINSKA VIJEĆNICA;TRG KARLA LUKAŠA 11;524;254;254;249;5;137;28;7;77
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;012;SVETI PETAR ČVRSTEC;"PODRUČNA ŠKOLA ""GRIGOR VITEZ""";PURGA 53;300;71;71;71;0;49;10;7;5
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;013;SVETI PETAR ČVRSTEC;DRUŠTVENI DOM ŠTEFANCI-IŠTOKI;ŠTEFANCI-IŠTOKI 12;169;48;48;45;3;29;8;6;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;014;ŠKRINJARI;KUĆA GORDANE MILOŠ;ŠKRINJARI 86;155;52;52;51;1;31;12;0;8
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;015;TREMA;VATROGASNI DOM TREMA - BUDILOVO;BUDILOVO 68;150;41;41;40;1;16;17;5;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;016;TREMA;VATROGASNI DOM TREMA - DVORIŠĆE;DVORIŠĆE 112;161;87;87;87;0;40;6;38;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;017;TREMA;DRUŠTVENI DOM TREMA - GORNJE SELO;GORNJE SELO 55;166;82;82;82;0;62;10;5;5
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;018;TREMA;"PODRUČNA ŠKOLA ""GRIGOR VITEZ""";GRUBIŠEVO 17;80;36;36;36;0;25;1;6;4
