Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MIRJANA HANŽEKOVIĆ;MLADEN KEŠER;DARKO KOREN;ŽELJKO LACKOVIĆ;ZDRAVKO MATOTAN
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;001;ĐURĐEVAC;DRUŠTVENI DOM PESKI - ULAZ DESNO;ĐURĐEVAC;621;355;355;352;3;3;20;24;301;4
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;002;ĐURĐEVAC;DRUŠTVENI DOM PESKI - ULAZ LIJEVO;ĐURĐEVAC;751;382;382;377;5;2;15;16;342;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;003;GRKINE;DRUŠTVENI DOM GRKINE;GRKINE;96;41;41;41;0;2;4;5;30;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;004;SEVEROVCI;DRUŠTVENI DOM SEVEROVCI;SEVEROVCI;98;38;38;38;0;0;1;1;36;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;005;ĐURĐEVAC;DRUŠTVENI DOM NOVO SELO;ĐURĐEVAC;799;482;482;469;13;6;39;44;375;5
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;006;ĐURĐEVAC;ZGRADA INE;ĐURĐEVAC;549;284;284;280;4;3;10;15;250;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;007;SVETA ANA;DRUŠTVENI DOM SVETA ANA;SVETA ANA;86;43;43;42;1;0;1;2;39;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;008;ĐURĐEVAC;DOM KULTURE ĐURĐEVAC - ULAZ LIJEVO;ĐURĐEVAC;624;325;325;319;6;1;24;23;268;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;009;ĐURĐEVAC;DOM KULTURE ĐURĐEVAC- ULAZ DESNO;ĐURĐEVAC;657;360;360;356;4;5;20;36;291;4
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;010;MIČETINAC;DRUŠTVENI DOM MIČETINAC;MIČETINAC;170;104;104;104;0;0;12;18;74;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;011;ĐURĐEVAC;ZGRADA GRADA ĐURĐEVCA  (STARA VIJEĆNICA);S. RADIĆA 1, ĐURĐEVAC;560;340;339;334;5;3;30;35;265;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;012;ĐURĐEVAC;ZGRADA ZAJEDNICE SPORTSKIH UDRUGA GRADA ĐURĐEVCA;ULICA ANTUNA RADIĆA 4;508;271;271;267;4;2;24;15;225;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;013;ČEPELOVAC;DRUŠTVENI DOM ČEPELOVAC;ČEPELOVAC;280;128;128;124;4;3;10;6;103;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;014;BUDROVAC;DRUŠTVENI DOM BUDROVAC;BUDROVAC;276;129;129;127;2;2;14;16;94;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;015;SIROVA KATALENA;VATROGASNI DOM SIROVA KATALENA;SIROVA KATALENA;216;102;102;101;1;6;9;38;48;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;ĐURĐEVAC;016;SUHA KATALENA;DRUŠTVENI DOM SUHA KATALENA;SUHA KATALENA;263;125;125;124;1;0;1;18;105;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;001;REKA;DRUŠTVENI DOM REKA;MAŽURANIĆEV TRG 18;1227;373;373;363;10;36;149;111;51;16
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;002;STARIGRAD;PODRUČNA ŠKOLA STARIGRAD (1);KREŠIMIROVA ULICA 30;975;350;350;337;13;30;114;95;59;39
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;003;STARIGRAD;PODRUČNA ŠKOLA STARIGRAD (2);KREŠIMIROVA ULICA 30;1049;298;298;291;7;25;93;91;50;32
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;004;DRAGANOVEC;DRUŠTVENI DOM DRAGANOVEC;DRAGANOVEC;429;146;146;143;3;7;50;32;25;29
