Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;NENAD BOŠNJAK;KRUNOSLAV MEDAÈ
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;001;BREZOVLJANI;DRUŠTVENI DOM BREZOVLJANI;BREZOVLJANI 121;241;126;126;116;10;100;16
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;002;CEPIDLAK;VATROGASNI DOM CEPIDLAK;CEPIDLAK 130;121;54;54;53;1;49;4
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;003;CIRKVENA;DOM KULTURE CIRKVENA;TRG SLOBODE 1;402;165;165;158;7;135;23
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;004;HRSOVO;VATROGASNI DOM HRSOVO;HRSOVO 69;200;100;100;99;1;88;11
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;005;KENÐELOVEC;DRUŠTVENI DOM KENÐELOVEC;KENÐELOVEC 93;141;87;87;85;2;78;7
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;006;LADINEC;VATROGASNI DOM LADINEC;LADINEC 28;193;52;52;52;0;51;1
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;007;MARKOVAC KRIŽEVAÈKI;DRUŠTVENI DOM MARKOVAC KRIŽEVAÈKI;MARKOVAC KRIŽEVAÈKI 21;116;68;68;66;2;62;4
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;008;NOVI GLOG;VATROGASNI DOM NOVI GLOG;NOVI GLOG 34;268;88;88;88;0;82;6
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;009;RAŠÆANI;KUÆA LASIÆ STJEPANA;RAŠÆANI 24;86;25;25;23;2;19;4
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;010;SVETI IVAN ŽABNO;KINO SALA;TRG KARLA LUKAŠA 1;490;240;240;234;6;217;17
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;011;SVETI IVAN ŽABNO;OPÆINSKA VIJEÆNICA;TRG KARLA LUKAŠA 11;524;254;254;251;3;240;11
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;012;SVETI PETAR ÈVRSTEC;"PODRUÈNA ŠKOLA ""GRIGOR VITEZ""";PURGA 53;300;71;71;71;0;64;7
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;013;SVETI PETAR ÈVRSTEC;DRUŠTVENI DOM ŠTEFANCI-IŠTOKI;ŠTEFANCI-IŠTOKI 12;169;48;48;46;2;36;10
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;014;ŠKRINJARI;KUÆA GORDANE MILOŠ;ŠKRINJARI 86;155;52;52;50;2;49;1
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;015;TREMA;VATROGASNI DOM TREMA - BUDILOVO;BUDILOVO 68;150;41;41;39;2;36;3
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;016;TREMA;VATROGASNI DOM TREMA - DVORIŠÆE;DVORIŠÆE 112;161;87;87;87;0;45;42
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;017;TREMA;DRUŠTVENI DOM TREMA - GORNJE SELO;GORNJE SELO 55;166;82;82;82;0;78;4
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI IVAN ŽABNO;018;TREMA;"PODRUÈNA ŠKOLA ""GRIGOR VITEZ""";GRUBIŠEVO 17;80;36;36;34;2;29;5
