Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MIŠEL JAKŠIĆ;FRANJO MARKOVIĆ;DAVOR MILAKOVIĆ;IVICA SUVALJ;JOSIP VEČENAJ
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;001;REKA;DRUŠTVENI DOM REKA;MAŽURANIĆEV TRG 18;1227;373;373;366;7;257;44;35;20;10
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;002;STARIGRAD;PODRUČNA ŠKOLA STARIGRAD (1);KREŠIMIROVA ULICA 30;975;339;339;329;10;234;20;15;35;25
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;003;STARIGRAD;PODRUČNA ŠKOLA STARIGRAD (2);KREŠIMIROVA ULICA 30;1049;298;298;291;7;184;33;18;39;17
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;004;DRAGANOVEC;DRUŠTVENI DOM DRAGANOVEC;DRAGANOVEC;429;146;146;144;2;92;20;6;10;16
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;005;BAKOVČICA;PODRUČNA ŠKOLA BAKOVČICA;ŠKOLSKA 35;267;109;109;108;1;77;13;3;7;8
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;006;JAGNJEDOVEC;PROSTORIJE MJESNOG ODBORA JAGNJEDOVEC;JAGNJEDOVEC;265;115;115;113;2;56;43;4;5;5
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;007;ŠTAGLINEC;DRUŠTVENI DOM ŠTAGLINEC;ŠTAGLINEC;401;168;168;165;3;110;35;1;10;9
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;008;HEREŠIN;DRUŠTVENI DOM HEREŠIN;HEREŠIN;610;246;246;235;11;90;19;3;111;12
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;009;KOPRIVNICA;AUTO-KLUB (1) KOPRIVNICA;STAROGRADSKA ULICA 45;837;344;344;325;19;181;48;22;41;33
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;010;KOPRIVNICA;AUTO-KLUB (2) KOPRIVNICA;STAROGRADSKA ULICA 45;783;310;310;300;10;199;24;4;50;23
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;011;KOPRIVNICA;PUČKO OTVORENO UČILIŠTE - DOMOLJUB;STAROGRADSKA ULICA 1;526;207;207;195;12;111;27;4;29;24
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;012;KOPRIVNICA;ELEKTRA KOPRIVNICA;HRVATSKE DRŽAVNOSTI 32;481;201;201;197;4;116;38;2;27;14
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;013;KOPRIVNICA;"GKP ""KOMUNALAC"" KOPRIVNICA";MOSNA ULICA 15;441;169;169;165;4;104;16;10;23;12
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;014;KOPRIVNICA;GRAD KOPRIVNICA, VJENČAONICA;ZRINSKI TRG 1;341;154;154;151;3;83;19;2;25;22
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;015;KOPRIVNICA;"OSNOVNA ŠKOLA ""BRAĆA RADIĆ""  (1) KOPRIVNICA";MIKLINOVEC 6A;823;365;365;357;8;190;44;9;76;38
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;016;KOPRIVNICA;"OSNOVNA ŠKOLA ""BRAĆA RADIĆ"" (2) KOPRIVNICA";MIKLINOVEC 6A;1178;583;583;562;21;314;65;11;108;64
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;017;KOPRIVNICA;DRUŠTVENI DOM MIKLINOVEC;MIKLINOVEC 99 A;1013;401;401;392;9;209;36;13;96;38
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;018;KOPRIVNICA;UDRUGA UMIROVLJENIKA KOPRIVNICA;FRANA GALOVIĆA 4;664;288;288;280;8;169;48;8;29;26
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KOPRIVNICA;019;KOPRIVNICA;SREDNJA ŠKOLA KOPRIVNICA;TRG SLOBODE 7;951;437;437;426;11;248;71;16;41;50
