Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MARIJAN CEPETIĆ;MIRKO PEROK
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;VIRJE;001;VIRJE;VJERONAUČNA DVORANA;ULICA LJUDEVITA GAJA 11, VIRJE;438;203;203;194;9;91;103
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;VIRJE;002;VIRJE;NOVI DRUŠTVENI DOM VIRJE, VELIKA DVORANA;TRG DR. FRANJE TUĐMANA BB, VIRJE;448;171;171;162;9;87;75
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;VIRJE;003;VIRJE;VATROGASNI DOM;ULICA FRANA LUGARIĆA 13, VIRJE;351;149;149;145;4;66;79
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;VIRJE;004;VIRJE;GALERIJA TIŠLJAR;ĐURE SUDETE 12, VIRJE;634;266;266;253;13;151;102
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;VIRJE;005;VIRJE;BIVŠA ZGRADA OPĆINE VIRJE;TRG STJEPANA RADIĆA 7, VIRJE;686;297;297;287;10;153;134
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;VIRJE;006;MIHOLJANEC;DRUŠTVENI DOM MIHOLJANEC;ULICA ANTUNA MIHANOVIĆA;231;93;93;89;4;38;51
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;VIRJE;007;ŠEMOVCI;ZGRADA MJESNOG ODBORA ŠEMOVCI;ULICA STJEPANA RADIĆA;405;199;199;197;2;28;169
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;VIRJE;008;HAMPOVICA;VATROGASNI DOM HAMPOVICA;ULICA ŠIMUNA PANDURA, HAMPOVICA;183;61;61;61;0;30;31
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;VIRJE;009;RAKITNICA;VATROGASNI DOM RAKITNICA;RAKITNICA;91;49;49;46;3;18;28
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;VIRJE;010;DONJE ZDJELICE;VATROGASNI DOM DONJE ZDJELICE;DONJE ZDJELICE;64;26;26;26;0;3;23
