Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DRAŽEN ČUKLIĆ;FRANJO POLJAK
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI PETAR OREHOVEC;001;HIŽANOVEC;PODRUČNA ŠKOLA HIŽANOVEC;HIŽANOVEC 18;273;150;150;144;6;92;52
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI PETAR OREHOVEC;002;VINAREC;DRUŠTVENI DOM U NASELJU VINAREC;VINAREC 101;132;93;93;92;1;40;52
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI PETAR OREHOVEC;003;SVETI  PETAR  OREHOVEC;OSNOVNA ŠKOLA SVETI PETAR OREHOVEC;SVETI PETAR OREHOVEC 90;479;277;277;267;10;172;95
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI PETAR OREHOVEC;004;MEĐA;DRUŠTVENI DOM U NASELJU MEĐA;MEĐA 82;145;74;74;73;1;32;41
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI PETAR OREHOVEC;005;ZAISTOVEC;VATROGASNI  DOM U NASELJU  ZAISTOVEC;BREGI 66;206;110;110;110;0;21;89
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI PETAR OREHOVEC;006;GORNJI  FODROVEC;PODRUČNA ŠKOLA FODROVEC;GORNJI FODROVEC 26;273;140;140;139;1;28;111
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI PETAR OREHOVEC;007;MOKRICE MIHOLEČKE;DRUŠTVENI  DOM MOKRICE MIHOLEČKE;MOKRICE MIHOLEČKE 34;283;199;199;199;0;6;193
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI PETAR OREHOVEC;008;MIHOLEC;VATROGASNI DOM MIHOLEC;MIHOLEC 50;430;200;200;195;5;44;151
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI PETAR OREHOVEC;009;GREGUROVEC;PODRUČNA ŠKOLA GREGUROVEC;GREGUROVEC 65;263;133;133;129;4;43;86
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI PETAR OREHOVEC;010;KAPELA  RAVENSKA;VATROGASNI DOM U NASELJU KAPELA RAVENSKA;KAPELA RAVENSKA 33;116;60;60;58;2;19;39
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI PETAR OREHOVEC;011;DEDINA;DRUŠTVENI DOM U NASELJU DEDINA;BLAGAJI 3;162;75;75;73;2;42;31
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI PETAR OREHOVEC;012;BOČKOVEC;DRUŠTVENI DOM U NASELJU BOČKOVEC;BOČKOVEC 60;338;151;151;149;2;106;43
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI PETAR OREHOVEC;013;SELANEC;DOM DRUŠTVA SPORTSKE REKREACIJE SELANEC;SELANEC 90;199;100;100;100;0;73;27
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI PETAR OREHOVEC;014;GUŠČEROVEC;VATROGASNI  DOM U NASELJU GUŠČEROVEC;GUŠČEROVEC 23;204;67;67;65;2;28;37
