Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MATO DEVČIĆ;GORAN GREGUREK;MARKO KATANOVIĆ;IVAN MAJDAK;MARIO RAJN;MIROSLAV STRUČIĆ;IVICA ŠVAGELJ;MLADEN TENODI
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;001;KRIŽEVCI;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";ULICA BANA JOSIPA JELAČIĆA 23;811;404;404;398;6;30;14;48;36;199;4;50;17
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;002;KRIŽEVCI;ŽUPANIJSKA UPRAVA ZA CESTE KRIŽEVCI;ULICA IVANA ZAKMARDIJA DIJANKOVEČKOG 3;404;195;195;192;3;26;10;23;27;68;4;32;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;003;KRIŽEVCI;"""KOMUNALNO PODUZEĆE"" D. D. KRIŽEVCI (DVORANA I. NA KATU)";ULICA DRAGE GRDENIĆA 7;508;297;297;295;2;43;9;36;20;136;0;35;16
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;004;KRIŽEVCI;HRVATSKI DOM  KRIŽEVCI (LIJEVO DVORANA);ULICA ANTUNA GUSTAVA MATOŠA 4;849;359;359;355;4;38;10;44;33;154;2;66;8
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;005;KRIŽEVCI;HRVATSKI DOM KRIŽEVCI (DESNO GALERIJA);ULICA ANTUNA GUSTAVA MATOŠA 4;803;359;358;351;7;34;10;54;34;147;6;56;10
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;006;KRIŽEVCI;AUTO-MOTO KLUB KRIŽEVCI;ZAGREBAČKA ULICA 33;848;363;363;359;4;41;8;41;43;159;8;50;9
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;007;KRIŽEVCI;HRVATSKI ZAVOD ZA ZAPOŠLJAVANJE - PODRUČNA SLUŽBA KRIŽEVCI;ULICA KRALJA TOMISLAVA 20;654;312;312;301;11;42;11;40;30;130;8;31;9
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;008;KRIŽEVCI;RADNIK D.D. KRIŽEVCI;ULICA KRALJA TOMISLAVA 45;691;336;336;331;5;49;9;49;25;144;4;42;9
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;009;KRIŽEVCI;HRVATSKE ŠUME - ŠUMARIJA KRIŽEVCI;ULICA KRALJA TOMISLAVA 114;872;431;431;426;5;30;5;62;29;226;5;50;19
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;010;KRIŽEVCI;"GRADSKA KNJIŽNICA ""FRANJO MARKOVIĆ"" - MULTIMEDIJALNI CENTAR";TRG SVETOG FLORIJANA 14;696;368;368;356;12;41;14;50;29;154;3;53;12
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;011;KRIŽEVCI;DOM SV. MARKA KRIŽEVČANINA, KRIŽEVCI;ULICA FRANJE MARKOVIĆA 33;673;260;260;256;4;26;5;27;24;118;7;34;15
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;012;KRIŽEVCI;VRTLARIJA KOMUNALNOG PODUZEĆA KRIŽEVCI (DRUŠTVENE PROSTORIJE);ULICA IVANA LEPUŠIĆA 1;608;236;236;230;6;18;5;24;23;117;7;31;5
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;013;KRIŽEVCI;VATROGASNI DOM KRIŽEVCI;ULICA FRANJE RAČKOGA 2;609;318;318;315;3;53;9;46;25;140;0;33;9
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;014;KRIŽEVCI;"OSNOVNA ŠKOLA ""LJUDEVITA MODECA"" KRIŽEVCI";ULICA FRANJE RAČKOGA 3;831;374;374;367;7;68;6;38;44;159;6;36;10
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;015;MALI POTOČEC;VATROGASNI DOM MALI POTOČEC;MALI POTOČEC;158;77;77;76;1;10;0;14;21;25;1;4;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;016;APATOVEC;VATROGASNI DOM APATOVEC;APATOVEC;276;65;65;64;1;23;0;4;11;11;5;9;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;017;BOJNIKOVEC;VATROGASNI DOM BOJNIKOVEC;BOJNIKOVEC;173;94;94;93;1;6;3;9;4;53;3;14;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;018;BRCKOVČINA;DRUŠTVENI DOM BRCKOVČINA;BRCKOVČINA;260;97;97;95;2;12;2;16;16;32;3;9;5
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;019;BUKOVJE KRIŽEVAČKO;VATROGASNI DOM BUKOVJE KRIŽEVAČKO;BUKOVJE KRIŽEVAČKO;240;94;94;93;1;10;1;5;7;52;2;16;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;020;CAREVDAR;DRUŠTVENI DOM CAREVDAR;CAREVDAR;361;172;172;163;9;23;1;14;7;101;3;12;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;021;NOVI BOŠNJANI;DRUŠTVENI DOM NOVI BOŠNJANI;NOVI BOŠNJANI;63;28;28;27;1;7;0;0;0;15;0;5;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;022;STARI BOŠNJANI;DRUŠTVENI DOM STARI BOŠNJANI;STARI BOŠNJANI;75;37;37;36;1;3;0;1;1;22;0;9;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;023;DONJI CUBINEC;DRUŠTVENI DOM DONJI CUBINEC;DONJI CUBINEC;204;100;100;100;0;8;1;24;7;46;2;7;5
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;024;CUBINEC;VATROGASNI DOM CUBINEC;CUBINEC;240;102;102;99;3;16;2;4;7;30;4;34;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;025;DIJANKOVEC;VATROGASNI DOM DIJANKOVEC;DIJANKOVEC;126;62;62;59;3;19;2;9;1;17;2;9;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;026;SREDNJI DUBOVEC;VATROGASNI DOM SREDNJI DUBOVEC;SREDNJI DUBOVEC;166;78;78;78;0;12;0;2;3;40;12;9;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;027;ĐURĐIC;VATROGASNI DOM ĐURĐIC;ĐURĐIC;326;127;127;124;3;42;3;9;5;51;4;10;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;028;LEMEŠ KRIŽEVAČKI;DRUŠTVENI DOM LEMEŠ KRIŽEVAČKI;LEMEŠ KRIŽEVAČKI;155;89;89;89;0;9;0;1;4;63;0;9;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;029;ERDOVEC;VATROGASNI DOM ERDOVEC;ERDOVEC;162;79;79;78;1;3;0;1;1;68;1;4;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;030;DONJA GLOGOVNICA;PODRUČNA ŠKOLA DONJA GLOGOVNICA;DONJA GLOGOVNICA;347;123;123;118;5;55;1;4;14;21;5;17;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;031;GRAČINA;VATROGASNI DOM GRAČINA;GRAČINA;152;77;77;77;0;6;0;4;11;32;5;19;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;032;IVANEC KRIŽEVAČKI;VATROGASNI DOM IVANEC KRIŽEVAČKI;IVANEC KRIŽEVAČKI;250;91;91;88;3;36;0;5;10;12;4;18;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;033;KLOŠTAR VOJAKOVAČKI;PODRUČNA ŠKOLA KLOŠTAR VOJAKOVAČKI;KLOŠTAR VOJAKOVAČKI;303;83;83;83;0;32;1;8;0;29;4;7;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;grad;KRIŽEVCI;034;MAJUREC;VATROGASNI DOM MAJUREC;MAJUREC;351;148;148;146;2;24;2;15;15;53;3;29;5
