Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  PAŠKO BONJA;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAČKA STRANKA - HSS, SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS
13;ZADARSKA ŽUPANIJA;općina;SALI;001;SALI;"OSNOVNA ŠKOLA ""PETAR LORINI""";SALI;776;456;456;445;11;206;104;135
13;ZADARSKA ŽUPANIJA;općina;SALI;002;ZAGLAV;OSNOVNA ŠKOLA ZAGLAV;ZAGLAV;219;132;132;127;5;68;17;42
13;ZADARSKA ŽUPANIJA;općina;SALI;003;ŽMAN;OSNOVNA ŠKOLA ŽMAN;ŽMAN;258;133;133;128;5;14;12;102
13;ZADARSKA ŽUPANIJA;općina;SALI;004;LUKA;TURISTIČKO DRUŠTVO LUKA;LUKA;150;69;69;65;4;29;15;21
13;ZADARSKA ŽUPANIJA;općina;SALI;005;SAVAR;MJESNI ODBOR SAVAR;SAVAR;83;30;30;30;0;11;9;10
13;ZADARSKA ŽUPANIJA;općina;SALI;006;BRBINJ;DRUŠTVENI DOM BRBINJ;BRBINJ;140;42;42;42;0;10;17;15
13;ZADARSKA ŽUPANIJA;općina;SALI;007;DRAGOVE;OSNOVNA ŠKOLA DRAGOVE;DRAGOVE;73;26;26;26;0;12;10;4
13;ZADARSKA ŽUPANIJA;općina;SALI;008;BOŽAVA;OSNOVNA ŠKOLA BOŽAVA;BOŽAVA;177;95;95;88;7;22;20;46
13;ZADARSKA ŽUPANIJA;općina;SALI;009;SOLINE;OSNOVNA ŠKOLA SOLINE;SOLINE;103;39;39;36;3;14;2;20
13;ZADARSKA ŽUPANIJA;općina;SALI;010;VELI RAT;DRUŠTVENI DOM VELI RAT;VELI RAT;122;48;48;47;1;3;23;21
13;ZADARSKA ŽUPANIJA;općina;SALI;011;VERUNIĆ;MJESNI ODBOR VERUNIĆ;VERUNIĆ;72;42;42;42;0;11;10;21
13;ZADARSKA ŽUPANIJA;općina;SALI;012;ZVERINAC;MJESNI ODBOR ZVERINAC;ZVERINAC;78;44;44;44;0;15;18;11
