Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DEMOKRATSKA STRANKA UMIROVLJENIKA - DSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA PRAVA - HSP, STRANKA UMIROVLJENIKA - SU, NARODNA STRANKA - REFORMISTI - REFORMISTI;HRVATSKA STRANKA PRAVA DR. ANTE STARÈEVIÆ U STEÈAJU - HSP AS;MOST;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, AKCIJA MLADIH - AM, HRVATSKA SELJAÈKA STRANKA - HSS, CENTAR, GRAÐANSKO-LIBERALNI SAVEZ - GLAS;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  IVICA ŽUVELA
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;001;BENKOVAC 1;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;1390;528;528;493;35;11;45;223;11;32;55;1;115
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;002;BENKOVAC 2;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;1476;543;542;512;30;18;102;182;10;26;60;4;110
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;003;BENKOVAÈKO SELO;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;811;252;252;235;17;10;27;122;5;19;10;0;42
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;004;ŠOPOT;"OBJEKT ""KONOBA"" VL. MARIJAN ROGIÆ ZV.  ""MAÆO""";ŠOPOT;336;154;154;144;10;4;15;79;8;8;7;0;23
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;005;PODLUG;PODRUÈNA ŠKOLA;PODLUG;169;65;65;62;3;1;3;44;0;3;3;0;8
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;006;PERUŠIÆ BENKOVAÈKI;PODRUÈNA ŠKOLA;PERUŠIÆ BENKOVAÈKI;262;133;133;124;9;3;20;59;6;17;4;0;15
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;007;PRISTEG;PODRUÈNA ŠKOLA;PRISTEG;489;149;149;143;6;0;15;71;7;12;9;1;28
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;008;DOBRA VODA;ZGRADA PODRUÈNE ŠKOLE;DOBRA VODA;78;34;34;28;6;2;7;12;3;2;0;0;2
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;009;RADOŠINOVCI;PODRUÈNA ŠKOLA;RADOŠINOVCI;195;107;107;102;5;3;19;54;2;6;5;1;12
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;010;VUKŠIÆ;PODRUÈNA ŠKOLA;VUKŠIÆ;602;302;302;283;19;16;29;141;8;17;8;10;54
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;011;BULIÆ;PODRUÈNA ŠKOLA;BULIÆ;130;75;75;71;4;1;8;34;2;3;1;4;18
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;012;LEPURI;ZGRADA ŽELJEZNIÈKE POSTAJE;LEPURI;297;89;88;81;7;3;14;36;1;8;9;1;9
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;013;PODGRAÐE;DRUŠTVENI DOM;PODGRAÐE;88;51;51;45;6;0;3;33;0;2;0;0;7
