Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAMIR BILOGLAV;BRANKO DUKIĆ;ENIO MEŠTROVIĆ;MARIO SKELIN;RADE ŠKARICA;MARKO VUČETIĆ
13;ZADARSKA ŽUPANIJA;grad;ZADAR;001;ARBANASI;MJESNI ODBOR ARBANASI;TRG GOSPE LORETSKE 1;898;343;343;331;12;12;175;56;6;15;67
13;ZADARSKA ŽUPANIJA;grad;ZADAR;002;ARBANASI;MJESNI ODBOR ARBANASI - PROSTORIJA VRTIĆA;TRG GOSPE LORETSKE 1;1037;459;459;446;13;13;236;86;1;14;96
13;ZADARSKA ŽUPANIJA;grad;ZADAR;003;BILI BRIG;GRADSKA KNJIŽNICA;PUT PUDARICE 15;1325;504;504;495;9;18;192;124;10;10;141
13;ZADARSKA ŽUPANIJA;grad;ZADAR;004;BILI BRIG;"OSNOVNA ŠKOLA  ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1179;542;542;535;7;37;191;160;2;9;136
13;ZADARSKA ŽUPANIJA;grad;ZADAR;005;BILI BRIG;"OSNOVNA ŠKOLA ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1202;483;483;472;11;17;170;123;10;8;144
13;ZADARSKA ŽUPANIJA;grad;ZADAR;006;BILI BRIG;"OSNOVNA ŠKOLA ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1195;428;426;409;17;25;220;88;5;6;65
13;ZADARSKA ŽUPANIJA;grad;ZADAR;007;BILI BRIG;"OSNOVNA ŠKOLA ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1215;446;446;443;3;16;223;104;10;10;80
13;ZADARSKA ŽUPANIJA;grad;ZADAR;008;BOKANJAC;MJESNI ODBOR BOKANJAC;TRG SV. ŠIME I TADIJE 1;1267;550;550;538;12;23;194;218;3;21;79
13;ZADARSKA ŽUPANIJA;grad;ZADAR;009;BRGULJE;MJESNI ODBOR BRGULJE;BRGULJE;80;47;47;46;1;2;19;5;1;5;14
13;ZADARSKA ŽUPANIJA;grad;ZADAR;010;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIČIĆA BENJE""";ASJE PETRIČIĆ 7;1137;472;472;465;7;29;143;99;5;19;170
13;ZADARSKA ŽUPANIJA;grad;ZADAR;011;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIČIĆA BENJE""";ASJE PETRIČIĆ 7;1153;470;470;462;8;25;149;101;1;18;168
13;ZADARSKA ŽUPANIJA;grad;ZADAR;012;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIČIĆA BENJE""";ASJE PETRIČIĆ 7;1228;517;515;503;12;28;140;138;5;10;182
13;ZADARSKA ŽUPANIJA;grad;ZADAR;013;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIČIĆA BENJE""";ASJE PETRIČIĆ 7;1344;486;486;477;9;32;179;104;1;22;139
13;ZADARSKA ŽUPANIJA;grad;ZADAR;014;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIČIĆA BENJE""";ASJE PETRIČIĆ 7;1301;430;430;427;3;25;131;114;6;19;132
13;ZADARSKA ŽUPANIJA;grad;ZADAR;015;CRNO;OSNOVNA ŠKOLA U CRNOM;CRNO, CRNO 169;563;242;242;238;4;1;144;58;1;3;31
13;ZADARSKA ŽUPANIJA;grad;ZADAR;016;CRVENE KUĆE;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIĆA 47;936;313;313;307;6;12;135;76;3;18;63
13;ZADARSKA ŽUPANIJA;grad;ZADAR;017;CRVENE KUĆE;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIĆA 47;1167;469;469;462;7;28;238;108;1;20;67
13;ZADARSKA ŽUPANIJA;grad;ZADAR;018;DIKLO;OSNOVNA ŠKOLA  DIKLO;ŠPALETINA 1;834;341;341;337;4;18;103;84;5;10;117
13;ZADARSKA ŽUPANIJA;grad;ZADAR;019;DIKLO;OSNOVNA ŠKOLA DIKLO;ŠPALETINA 1;816;305;305;303;2;14;112;79;2;14;82
13;ZADARSKA ŽUPANIJA;grad;ZADAR;020;DRAČEVAC ZADARSKI;TRG ISPRED CRKVE UZNESENJA BLAŽENE DJEVICE MARIJE U DRAČEVCU;DRAČEVAC;201;103;103;98;5;2;53;30;1;3;9
13;ZADARSKA ŽUPANIJA;grad;ZADAR;021;IST;OSNOVNA ŠKOLA ZADARSKI OTOCI;IST;228;89;89;85;4;11;31;8;1;3;31
13;ZADARSKA ŽUPANIJA;grad;ZADAR;022;JAZINE I;MJESNI ODBOR JAZINE I;KRALJA S. DRŽISLAVA 10;901;396;396;383;13;29;94;80;5;23;152
13;ZADARSKA ŽUPANIJA;grad;ZADAR;023;JAZINE I;MJESNI ODBOR JAZINE I;KRALJA S. DRŽISLAVA 10;1028;431;431;425;6;11;147;109;4;23;131
13;ZADARSKA ŽUPANIJA;grad;ZADAR;024;JAZINE I;SREDNJOŠKOLSKI ĐAČKI DOM U ZADRU;OBALA KNEZA BRANIMIRA 10 A;693;287;287;283;4;18;86;51;2;11;115
13;ZADARSKA ŽUPANIJA;grad;ZADAR;025;JAZINE II;MJESNI ODBOR JAZINE II;MOLATSKA 11 A;1076;413;413;405;8;11;167;87;3;9;128
13;ZADARSKA ŽUPANIJA;grad;ZADAR;026;JAZINE II;MJESNI ODBOR JAZINE II;MOLATSKA 11 A;979;356;356;351;5;18;113;113;7;17;83
13;ZADARSKA ŽUPANIJA;grad;ZADAR;027;JAZINE II;MJESNI ODBOR JAZINE II;MOLATSKA 11 A;812;304;304;299;5;15;102;60;3;11;108
13;ZADARSKA ŽUPANIJA;grad;ZADAR;028;KOŽINO;OSNOVNA ŠKOLA U KOŽINU;KOŽINO, PUT ZGONA 1;741;302;302;297;5;14;116;90;3;11;63
13;ZADARSKA ŽUPANIJA;grad;ZADAR;029;MALI IŽ;PROSTORIJE MJESNOG ODBORA ISPOD AMBULANTE;MALI IŽ;276;103;103;98;5;2;20;21;1;5;49
13;ZADARSKA ŽUPANIJA;grad;ZADAR;030;MASLINA;OSNOVNA ŠKOLA BARTULA KAŠIĆA;BRIBIRSKI PRILAZ 2;1144;482;482;472;10;11;136;129;3;22;171
13;ZADARSKA ŽUPANIJA;grad;ZADAR;031;MASLINA;OSNOVNA ŠKOLA BARTULA KAŠIĆA;BRIBIRSKI PRILAZ 2;947;383;382;379;3;9;132;108;0;11;119
13;ZADARSKA ŽUPANIJA;grad;ZADAR;032;MASLINA;OSNOVNA ŠKOLA BARTULA KAŠIĆA;BRIBIRSKI PRILAZ 2;988;411;411;400;11;33;126;109;3;18;111
13;ZADARSKA ŽUPANIJA;grad;ZADAR;033;MOLAT;DOM KULTURE MOLAT;MOLAT;155;69;69;68;1;4;24;9;0;6;25
13;ZADARSKA ŽUPANIJA;grad;ZADAR;034;NOVI BOKANJAC;MJESNI ODBOR NOVI BOKANJAC;GRGURA BUDISLAVIĆA 99;1434;625;625;614;11;25;230;195;3;23;138
13;ZADARSKA ŽUPANIJA;grad;ZADAR;035;OLIB;MJESNI ODBOR OLIB;OLIB;192;70;70;67;3;4;41;7;0;3;12
13;ZADARSKA ŽUPANIJA;grad;ZADAR;036;PETRČANE;OSNOVNA ŠKOLA PETRČANE;PETRČANE, ULICA V 3;666;259;259;250;9;21;104;57;0;14;54
13;ZADARSKA ŽUPANIJA;grad;ZADAR;037;PLOČE;MJESNI ODBOR PLOČE;PLOČE;825;328;328;318;10;14;166;81;2;10;45
13;ZADARSKA ŽUPANIJA;grad;ZADAR;038;PLOVANIJA;MJESNI ODBOR PLOVANIJA;IVE KERDIĆA B.B.;1129;474;473;462;11;29;194;109;1;36;93
13;ZADARSKA ŽUPANIJA;grad;ZADAR;039;PLOVANIJA;MJESNI ODBOR PLOVANIJA;IVE KERDIĆA B.B.;1178;425;424;415;9;24;199;104;3;14;71
13;ZADARSKA ŽUPANIJA;grad;ZADAR;040;POLUOTOK;"OSNOVNA ŠKOLA ""PETAR PRERADOVIĆ"" ZADAR";TRG PETRA PRERADOVIĆA 1;1017;419;419;411;8;17;148;67;9;19;151
13;ZADARSKA ŽUPANIJA;grad;ZADAR;041;POLUOTOK;MJESNI ODBOR POLUOTOK;N. MATAFARE 2 A;1118;444;444;437;7;25;122;90;5;16;179
13;ZADARSKA ŽUPANIJA;grad;ZADAR;042;POLUOTOK;"OSNOVNA ŠKOLA ""PETAR PRERADOVIĆ"" ZADAR";TRG PETRA PRERADOVIĆA 1;1041;427;427;417;10;9;145;76;5;7;175
13;ZADARSKA ŽUPANIJA;grad;ZADAR;043;PREMUDA;PROSTORIJE OSNOVNE ŠKOLE (U PRIZEMLJU);PREMUDA;112;44;44;42;2;2;8;15;3;3;11
13;ZADARSKA ŽUPANIJA;grad;ZADAR;044;PUNTAMIKA;EKONOMSKO-BIROTEHNIČKA I TRGOVAČKA ŠKOLA ZADAR;A.G. MATOŠA 40;1241;483;483;472;11;23;204;101;4;19;121
13;ZADARSKA ŽUPANIJA;grad;ZADAR;045;PUNTAMIKA;EKONOMSKO-BIROTEHNIČKA I TRGOVAČKA ŠKOLA ZADAR;A. G. MATOŠA 40;1184;416;416;407;9;26;137;113;2;25;104
13;ZADARSKA ŽUPANIJA;grad;ZADAR;046;PUNTAMIKA;EKONOMSKO-BIROTEHNIČKA I TRGOVAČKA ŠKOLA ZADAR;A. G. MATOŠA 40;1237;500;500;486;14;35;152;122;10;18;149
13;ZADARSKA ŽUPANIJA;grad;ZADAR;047;RAVA;OSNOVNA ŠKOLA RAVA;RAVA;116;69;69;66;3;2;35;5;2;3;19
13;ZADARSKA ŽUPANIJA;grad;ZADAR;048;RIČINA;MJESNI ODBOR RIČINE;JOSIPA JOVIĆA 1;941;350;350;342;8;17;154;77;2;3;89
13;ZADARSKA ŽUPANIJA;grad;ZADAR;049;RIČINA;MJESNI ODBOR RIČINE;JOSIPA JOVIĆA 1;1107;382;382;377;5;19;160;90;1;15;92
13;ZADARSKA ŽUPANIJA;grad;ZADAR;050;RIČINA;MJESNI ODBOR RIČINE;JOSIPA JOVIĆA 1;949;367;367;355;12;9;160;71;8;17;90
13;ZADARSKA ŽUPANIJA;grad;ZADAR;051;SILBA;OSNOVNA ŠKOLA ZADARSKI OTOCI;SILBA;411;173;173;170;3;14;65;24;3;9;55
13;ZADARSKA ŽUPANIJA;grad;ZADAR;052;SINJORETOVO;MJESNI ODBOR SINJORETOVO;ULICA PALIH RODOLJUBA 2;1115;373;373;371;2;22;200;82;4;16;47
13;ZADARSKA ŽUPANIJA;grad;ZADAR;053;SINJORETOVO;MJESNI ODBOR SINJORETOVO;ULICA PALIH RODOLJUBA 2;1013;280;280;272;8;15;120;71;1;5;60
13;ZADARSKA ŽUPANIJA;grad;ZADAR;054;SMILJEVAC;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIĆA 47;1172;541;541;519;22;48;196;145;4;22;104
13;ZADARSKA ŽUPANIJA;grad;ZADAR;055;SMILJEVAC;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIĆA 47;943;324;324;319;5;19;132;83;3;13;69
13;ZADARSKA ŽUPANIJA;grad;ZADAR;056;SMILJEVAC;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIĆA 47;1224;428;428;421;7;33;178;126;2;13;69
13;ZADARSKA ŽUPANIJA;grad;ZADAR;057;STANOVI;OSNOVNA ŠKOLA STANOVI;ULICA RINE ARAS BB;1231;530;530;512;18;25;295;86;4;13;89
13;ZADARSKA ŽUPANIJA;grad;ZADAR;058;STANOVI;OSNOVNA ŠKOLA STANOVI;ULICA RINE ARAS BB;971;398;398;392;6;8;215;87;1;13;68
13;ZADARSKA ŽUPANIJA;grad;ZADAR;059;STANOVI;OSNOVNA ŠKOLA STANOVI;ULICA RINE ARAS BB;1306;538;538;528;10;27;265;105;4;13;114
13;ZADARSKA ŽUPANIJA;grad;ZADAR;060;VELI IŽ;OSNOVNA ŠKOLA U VELOM IŽU;VELI IŽ;433;169;169;164;5;7;82;16;2;4;53
13;ZADARSKA ŽUPANIJA;grad;ZADAR;061;VIDIKOVAC;MJESNI ODBOR VIDIKOVAC;ULICA MILE GOJSALIĆ 12;779;277;277;261;16;19;91;76;4;7;64
13;ZADARSKA ŽUPANIJA;grad;ZADAR;062;VIDIKOVAC;MJESNI ODBOR VIDIKOVAC;ULICA MILE GOJSALIĆ 12;1044;382;382;380;2;18;184;97;0;18;63
