Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  DENIS BARIÆ;DEMOKRATSKA STRANKA UMIROVLJENIKA - DSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA PRAVA - HSP, STRANKA UMIROVLJENIKA - SU, NARODNA STRANKA - REFORMISTI - REFORMISTI;HRVATSKA STRANKA PRAVA DR. ANTE STARÈEVIÆ U STEÈAJU - HSP AS;HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, GENERACIJA OBNOVE - GO;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  ENIO MEŠTROVIÆ;MOST;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, AKCIJA MLADIH - AM, HRVATSKA SELJAÈKA STRANKA - HSS, CENTAR, GRAÐANSKO-LIBERALNI SAVEZ - GLAS;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ;STRANKA ZA ZADAR! - ZZ!
13;ZADARSKA ŽUPANIJA;grad;ZADAR;001;ARBANASI;MJESNI ODBOR ARBANASI;TRG GOSPE LORETSKE 1;898;343;343;331;12;6;8;7;158;1;3;53;12;55;1;27
13;ZADARSKA ŽUPANIJA;grad;ZADAR;002;ARBANASI;MJESNI ODBOR ARBANASI - PROSTORIJA VRTIÆA;TRG GOSPE LORETSKE 1;1037;459;459;448;11;3;4;24;203;5;2;62;13;81;0;51
13;ZADARSKA ŽUPANIJA;grad;ZADAR;003;BILI BRIG;GRADSKA KNJIŽNICA;PUT PUDARICE 15;1325;504;504;494;10;6;7;24;167;3;2;111;17;145;1;11
13;ZADARSKA ŽUPANIJA;grad;ZADAR;004;BILI BRIG;"OSNOVNA ŠKOLA  ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1179;542;542;532;10;9;4;29;180;4;9;144;21;124;1;7
13;ZADARSKA ŽUPANIJA;grad;ZADAR;005;BILI BRIG;"OSNOVNA ŠKOLA ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1202;482;482;465;17;9;18;19;140;7;7;108;18;133;1;5
13;ZADARSKA ŽUPANIJA;grad;ZADAR;006;BILI BRIG;"OSNOVNA ŠKOLA ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1195;428;428;409;19;4;12;23;207;3;4;75;18;53;2;8
13;ZADARSKA ŽUPANIJA;grad;ZADAR;007;BILI BRIG;"OSNOVNA ŠKOLA ""ZADARSKI OTOCI""";ŠIBENSKA 12A;1215;441;441;431;10;1;10;26;194;9;6;85;14;79;1;6
13;ZADARSKA ŽUPANIJA;grad;ZADAR;008;BOKANJAC;MJESNI ODBOR BOKANJAC;TRG SV. ŠIME I TADIJE 1;1267;550;550;535;15;6;6;26;175;4;2;211;19;76;0;10
13;ZADARSKA ŽUPANIJA;grad;ZADAR;009;BRGULJE;MJESNI ODBOR BRGULJE;BRGULJE;80;47;47;46;1;7;1;2;16;3;0;3;3;9;0;2
13;ZADARSKA ŽUPANIJA;grad;ZADAR;010;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIÈIÆA BENJE""";ASJE PETRIÈIÆ 7;1137;472;472;463;9;7;7;33;111;8;3;100;23;152;3;16
13;ZADARSKA ŽUPANIJA;grad;ZADAR;011;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIÈIÆA BENJE""";ASJE PETRIÈIÆ 7;1153;470;470;457;13;10;9;28;128;3;6;98;28;138;1;8
13;ZADARSKA ŽUPANIJA;grad;ZADAR;012;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIÈIÆA BENJE""";ASJE PETRIÈIÆ 7;1228;516;516;505;11;10;13;22;128;1;3;142;17;156;2;11
13;ZADARSKA ŽUPANIJA;grad;ZADAR;013;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIÈIÆA BENJE""";ASJE PETRIÈIÆ 7;1344;486;486;477;9;4;7;33;156;2;9;105;34;123;1;3
13;ZADARSKA ŽUPANIJA;grad;ZADAR;014;BRODARICA;"OSNOVNA ŠKOLA ""ŠIMUNA KOŽIÈIÆA BENJE""";ASJE PETRIÈIÆ 7;1301;430;430;422;8;4;12;33;106;2;10;107;26;111;2;9
13;ZADARSKA ŽUPANIJA;grad;ZADAR;015;CRNO;OSNOVNA ŠKOLA U CRNOM;CRNO, CRNO 169;563;240;240;235;5;1;1;3;137;1;0;52;2;34;0;4
13;ZADARSKA ŽUPANIJA;grad;ZADAR;016;CRVENE KUÆE;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIÆA 47;936;313;313;306;7;1;6;16;123;3;1;77;18;55;2;4
13;ZADARSKA ŽUPANIJA;grad;ZADAR;017;CRVENE KUÆE;OSNOVNA ŠKOLA SMILJEVAC;ULICA IVANA LUCIÆA 47;1167;469;469;457;12;1;3;29;217;4;5;99;22;61;2;14
13;ZADARSKA ŽUPANIJA;grad;ZADAR;018;DIKLO;OSNOVNA ŠKOLA  DIKLO;ŠPALETINA 1;834;341;341;336;5;1;11;19;92;0;5;73;21;104;1;9
13;ZADARSKA ŽUPANIJA;grad;ZADAR;019;DIKLO;OSNOVNA ŠKOLA DIKLO;ŠPALETINA 1;816;305;305;302;3;3;3;9;101;3;5;67;21;75;1;14
