Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;PAŠKO BONJA;ZORAN MOROVIĆ
13;ZADARSKA ŽUPANIJA;općina;SALI;001;SALI;"OSNOVNA ŠKOLA ""PETAR LORINI""";SALI;776;456;456;439;17;252;187
13;ZADARSKA ŽUPANIJA;općina;SALI;002;ZAGLAV;OSNOVNA ŠKOLA ZAGLAV;ZAGLAV;219;132;132;126;6;80;46
13;ZADARSKA ŽUPANIJA;općina;SALI;003;ŽMAN;OSNOVNA ŠKOLA ŽMAN;ŽMAN;258;133;133;131;2;18;113
13;ZADARSKA ŽUPANIJA;općina;SALI;004;LUKA;TURISTIČKO DRUŠTVO LUKA;LUKA;150;69;69;65;4;34;31
13;ZADARSKA ŽUPANIJA;općina;SALI;005;SAVAR;MJESNI ODBOR SAVAR;SAVAR;83;30;30;30;0;15;15
13;ZADARSKA ŽUPANIJA;općina;SALI;006;BRBINJ;DRUŠTVENI DOM BRBINJ;BRBINJ;140;42;42;42;0;17;25
13;ZADARSKA ŽUPANIJA;općina;SALI;007;DRAGOVE;OSNOVNA ŠKOLA DRAGOVE;DRAGOVE;73;26;26;26;0;19;7
13;ZADARSKA ŽUPANIJA;općina;SALI;008;BOŽAVA;OSNOVNA ŠKOLA BOŽAVA;BOŽAVA;177;95;95;86;9;27;59
13;ZADARSKA ŽUPANIJA;općina;SALI;009;SOLINE;OSNOVNA ŠKOLA SOLINE;SOLINE;103;39;39;36;3;16;20
13;ZADARSKA ŽUPANIJA;općina;SALI;010;VELI RAT;DRUŠTVENI DOM VELI RAT;VELI RAT;122;48;48;47;1;7;40
13;ZADARSKA ŽUPANIJA;općina;SALI;011;VERUNIĆ;MJESNI ODBOR VERUNIĆ;VERUNIĆ;72;42;42;40;2;17;23
13;ZADARSKA ŽUPANIJA;općina;SALI;012;ZVERINAC;MJESNI ODBOR ZVERINAC;ZVERINAC;78;44;44;42;2;23;19
