Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;LORIS PERŠURIÆ;VLADIMIR SLADONJA;MAURIZIO ZENNARO
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;001;BADERNA - MOMPADERNO;ZGRADA ŠKOLE;BADERNA;556;246;246;243;3;194;22;27
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;002;ŽBANDAJ;DRUŠTVENI DOM-PODUZETNIÈKI INKUBATOR U ŽBANDAJU;ŽBANDAJ 34A,ŽBANDAJ;1363;476;476;469;7;397;21;51
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;003;FUŠKULIN-FOSCOLINO;NOVI DRUŠTVENI DOM U FUŠKULINU;FUŠKULIN;644;343;343;339;4;256;37;46
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;004;POREÈ - PARENZO;DRUŠTVENA PROSTORIJA;TRG KNEZA BRANIMIRA 2, POREÈ;943;446;446;437;9;331;53;53
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;005;VELI MAJ;ZGRADA ŠKOLE;VELI MAJ, POREÈ;1435;551;551;533;18;373;74;86
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;006;POREÈ - PARENZO;PROSTORIJE MJESNOG ODBORA;CRESKA 36, POREÈ;1206;505;503;490;13;353;61;76
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;007;MUŠALEŽ;PROSTORIJA MJESNOG ODBORA;MUŠALEŽ;549;193;193;186;7;144;16;26
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;008;VARVARI;ZGRADA ŠKOLE;VARVARI;852;311;311;306;5;261;19;26
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;009;POREÈ - PARENZO;VATROGASNI DOM;POREÈ;823;394;394;384;10;275;73;36
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;010;POREÈ - PARENZO;OSNOVNA ŠKOLA FINIDA;ROVINJSKA  12, POREÈ;1159;472;472;461;11;353;45;63
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;011;POREÈ - PARENZO;"SPORTSKA DVORANA ""PALESTRA""";NIKOLE TESLE 16, POREÈ;933;450;450;446;4;324;64;58
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;012;POREÈ - PARENZO;ZGRADA HRVATSKE ELEKTROPRIVREDE;MATE VLAŠIÆA 2, POREÈ;1088;456;456;443;13;337;47;59
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;013;POREÈ - PARENZO;MALA SALA PUÈKOG OTVORENOG UÈILIŠTA;ALDA NEGRIJA 5, POREÈ;1162;486;486;477;9;369;48;60
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;014;POREÈ - PARENZO;"DJEÈJI VRTIÆ ""RADOST""";RADE KONÈARA 7, POREÈ;538;239;239;232;7;167;27;38
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;015;NOVA VAS;ZGRADA OSNOVNE ŠKOLE;VIŠNJANSKA 32, NOVA VAS;1276;497;497;481;16;373;42;66
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;016;KUKCI;PROSTORIJA BOÆALIŠTA;JASENOVA 6/A, KUKCI;1123;395;395;380;15;295;37;48
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;017;ÈERVAR - PORAT;PROSTORIJE MJESNOG ODBORA;PARK UÈKA 2,ÈERVAR-PORAT;519;202;202;198;4;167;6;25
