Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;ZLATKO DEVEDŽIÆ;MIRKO JURKIÆ;GORAN MATIÆ;ELENA PUH BELCI;DUŠICA RADOJÈIÆ;SANJA RADOLOVIÆ;MAJA ŠARIÆ;FILIP ZORIÈIÆ
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;001;PULA-POLA, BIRAÈKO MJESTO 1.;"OŠ ""TONE PERUŠKO""";POLJANA SVETOG MARTINA 6, PULA-POLA;981;365;365;353;12;5;21;10;123;55;66;1;72
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;002;PULA-POLA, BIRAÈKO MJESTO 2.;"OŠ ""TONE PERUŠKO""";POLJANA SVETOG MARTINA 6, PULA-POLA;721;253;253;247;6;4;17;6;83;42;47;1;47
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;003;PULA-POLA, BIRAÈKO MJESTO 3.;"OŠ ""ŠIJANA""";43. ISTARSKE DIVIZIJE 5, PULA-POLA;1158;445;445;441;4;8;24;19;145;91;92;4;58
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;004;PULA-POLA, BIRAÈKO MJESTO 4.;"OŠ  ""ŠIJANA""";43. ISTARSKE DIVIZIJE 5, PULA-POLA;784;315;315;307;8;4;16;8;125;46;52;0;56
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;005;PULA-POLA, BIRAÈKO MJESTO 5.;"OŠ ""ŠIJANA""";43.ISTARSKE DIVIZIJE 5, PULA-POLA;777;352;352;346;6;3;16;10;141;37;65;4;70
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;006;PULA-POLA, BIRAÈKO MJESTO 6.;"OŠ ""ŠIJANA""";43. ISTARSKE DIVIZIJE 5, PULA-POLA;985;297;296;287;9;7;12;12;116;39;46;3;52
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;007;PULA-POLA, BIRAÈKO MJESTO 7.;"PROSTORIJE MO ""ŠIJANA""";KOPARSKA 46, PULA-POLA;1004;357;357;349;8;7;21;18;124;60;53;10;56
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;008;PULA-POLA, BIRAÈKO MJESTO 8.;"PROSTORIJE MO ""KAŠTANJER""";KAŠTANJER 10, PULA-POLA;1074;395;395;385;10;5;18;7;122;61;86;8;78
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;009;PULA-POLA, BIRAÈKO MJESTO 9.;"PROSTORIJE MO ""KAŠTANJER""";ULICA KAŠTANJER 8, PULA-POLA;1365;464;464;449;15;7;37;5;174;69;61;1;95
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;010;PULA-POLA, BIRAÈKO MJESTO 10.;"PROSTORIJE MO ""BUSOLER""";ŠIŠANSKA CESTA 25A, PULA-POLA;1019;411;411;404;7;8;21;11;138;70;57;8;91
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;011;PULA-POLA, BIRAÈKO MJESTO 11.;"PROSTORIJE  MO ""BUSOLER""";ŠIŠANSKA CESTA 106, PULA-POLA;1243;433;433;423;10;11;43;15;142;50;76;16;70
