Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;JESSICA ACQUAVITA;VALMER CUSMA
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;001;BUJE-BUIE;"OSNOVNA ŠKOLA ""MATE BALOTA"" BUJE-SCUOLA ELEMENTARE ""MATE BALOTA"" BUIE";ŠKOLSKI BRIJEG BB;207;69;69;69;0;56;13
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;002;BUJE-BUIE;"OSNOVNA ŠKOLA ""MATE BALOTA"" BUJE-SCUOLA ELEMENTARE ""MATE BALOTA"" BUIE";ŠKOLSKI BRIJEG BB;298;130;130;126;4;85;41
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;003;KAŠTEL-CASTELVENERE;OSNOVNA ŠKOLA KAŠTEL-SCUOLA ELEMENTARE CASTELVENERE;KAŠTEL BB;215;88;88;86;2;75;11
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;004;KRASICA-CRASSIZA;DRUŠTVENI DOM-CENTRO SOCIALE;KRASICA BB;123;79;79;76;3;57;19
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;005;KRŠETE-CARSETTE;OSNOVNA ŠKOLA KRŠETE-SCUOLA ELEMENTARE CARSETTE;KRŠETE BB;94;23;23;23;0;12;11
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;006;MARUŠIÆI-MARUSSICI;DRUŠTVENI DOM MARUŠIÆI-CENTRO SOCIALE MARUSSICI;MARUŠIÆI BB;60;27;27;27;0;25;2
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;007;MOMJAN-MOMIANO;OSNOVNA ŠKOLA MOMJAN-SCUOLA ELEMENTARE MOMIANO;MOMJAN BB;192;90;90;86;4;61;25
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;008;TRIBAN-TRIBANO;DRUŠTVENI DOM-CENTRO SOCIALE;TRIBAN BB;81;55;55;53;2;42;11
18;ISTARSKA ŽUPANIJA;grad;BUZET;001;BUZET - ISTOK;NARODNI DOM;II ISTARSKE BRIGADE 2, BUZET;7;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;BUZET;002;BUZET - ZAPAD;NARODNI DOM;2. ISTARSKE BRIGADE 2, BUZET;2;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;BUZET;003;BUZET - STARI GRAD;ZAVIÈAJNI MUZEJ;ULICA RAŠPORSKIH KAPETANA 2, BUZET;2;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;BUZET;004;KRUŠVARI;DRUŠTVENI DOM KRUŠVARI;KRUŠVARI 1, KRUŠVARI;3;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;BUZET;005;HUM;"DRUŠTVENI DOM ""POLAÈA""";HUM;2;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;BUZET;006;ROÈ;DRUŠTVENI DOM ROÈ;ROÈ;9;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;BUZET;007;ROÈKO POLJE;ZGRADA ŠKOLE ROÈKO POLJE;ROÈKO POLJE;1;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;BUZET;008;SOVINJAK;DRUŠTVENI DOM SOVINJAK;SOVINJAK 11, SOVINJAK;0;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;BUZET;009;SOVIŠÆINA;PRIVATNA KUÆA U VLASNIŠTVU ÐULIJANA KRTA;PUHI 54, PUHI;1;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;BUZET;010;SVETI IVAN;PROSTOR BARAKE DRUŠTVENOG DOMA;SVETI IVAN 22, BUZET;4;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;BUZET;011;SVETI MARTIN;DRUŠTVENI DOM;SVETI MARTIN 51, BUZET;7;1;1;1;0;1;0
18;ISTARSKA ŽUPANIJA;grad;BUZET;012;SVI SVETI;DRUŠTVENI DOM PRODANI;PRODANI;10;1;1;1;0;0;1
18;ISTARSKA ŽUPANIJA;grad;BUZET;013;ŠTRPED;DRUŠTVENI DOM SVETI DUH;ŠTRPED;2;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;BUZET;014;ŠKULJARI;DRUŠTVENI DOM ŠKULJARI;ŠKULJARI;1;1;1;1;0;1;0
18;ISTARSKA ŽUPANIJA;grad;BUZET;015;VELI MLUN;DRUŠTVENI DOM;VELI MLUN 28, VELI MLUN;2;0;0;0;0;0;0
18;ISTARSKA ŽUPANIJA;grad;BUZET;016;VRH;DRUŠTVENI DOM VRH;VRH;1;0;0;0;0;0;0
