Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, STRANKA UMIROVLJENIKA - SU;ISTARSKI DEMOKRATSKI SABOR - IDS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;001;ROVINJ;DOM KULTURE;TRG M.TITA 3;808;199;199;195;4;24;16;102;53
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;002;ROVINJ;"OŠ ""VLADMIR NAZOR""";E.DE AMICIS 31;815;241;240;229;11;24;9;148;48
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;003;ROVINJ;"OŠ ""VLADIMIR NAZOR""";E.DE AMICIS 31;921;296;295;284;11;30;12;173;69
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;004;ROVINJ;"STRUKOVNA ŠKOLA ""E.KUMIÈIÆA""";CARDUCCI 13;794;284;284;267;17;19;20;172;56
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;005;ROVINJ;"OŠ ""J:DOBRILE""";S.PAULETIÆA 8;977;390;390;371;19;39;14;196;122
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;006;ROVINJ;"OŠ ""J:DOBRILE""";S.PAULETIÆA 8;1061;399;398;390;8;27;22;229;112
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;007;ROVINJ;DJEÈJI VRTIÆ NEVEN, PODRUÈNO ODJELJENJE VALBRUNA;G.PRIVILEGGIO-PASCIA 2;1223;494;494;481;13;42;29;258;152
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;008;ROVINJ;DJEÈJI VRTIÆ NEVEN, PODRUÈNO ODJELJENJE VALBRUNA;G.PRIVILEGGIO-PASCIA 2;1364;404;403;392;11;38;47;206;101
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;009;ROVINJ;"TOŠ ""BERNARDO BENUSSI""";OMLADINSKA 20;1689;571;571;551;20;63;47;341;100
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;010;ROVINJ;PJ ELEKTRA;VIJENAC B.LORENZETTO BB;1334;481;478;452;26;47;25;282;98
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;011;ROVINJ;DJEÈJI VRTIÆ NEVEN, PODRUÈNO ODJELJENJE MONDELACO;ROIA 1;1121;418;418;405;13;44;30;230;101
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;012;ROVINJSKO SELO;DOM KULTURE;TRG MATKA LAGINJE 2;1227;420;420;406;14;43;28;257;78
