Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;ISTARSKI DEMOKRATSKI SABOR - IDS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;MOŽEMO! - POLITIČKA PLATFORMA;KANDIDACIJSKA LISTA GRUPE BIRAČA -  ŽELJKO MRAK;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
18;ISTARSKA ŽUPANIJA;grad;PAZIN;001;BERAM;ZGRADA STARE ŠKOLE;BERAM;385;177;177;170;7;15;65;44;30;16
18;ISTARSKA ŽUPANIJA;grad;PAZIN;002;GRDOSELO;ZGRADA STARE ŠKOLE;GRDOSELO;113;69;69;64;5;3;34;18;1;8
18;ISTARSKA ŽUPANIJA;grad;PAZIN;003;HEKI;ZGRADA STARE ŠKOLE;HEKI;554;229;229;223;6;21;89;62;32;19
18;ISTARSKA ŽUPANIJA;grad;PAZIN;004;KAŠĆERGA;ZGRADA MJESNOG ODBORA;KAŠĆERGA;191;89;89;81;8;6;47;11;14;3
18;ISTARSKA ŽUPANIJA;grad;PAZIN;005;KRŠIKLA;ZGRADA DRUŠTVENIH PROSTORIJA;KRŠIKLA;92;46;46;45;1;3;32;6;1;3
18;ISTARSKA ŽUPANIJA;grad;PAZIN;006;LINDAR;ZGRADA STARE ŠKOLE;LINDAR;413;227;227;224;3;18;115;72;7;12
18;ISTARSKA ŽUPANIJA;grad;PAZIN;007;PAZIN - BURAJ;PROSTORIJE ŠAHOVSKOG KLUBA U STAMBENO POSLOVNOJ ZGRADI;STARI TRG 6;758;318;318;304;14;35;101;139;7;22
18;ISTARSKA ŽUPANIJA;grad;PAZIN;008;PAZIN - CENTAR;AUTO - KLUB;DRUŽBA ĆIRILA I METODA 3, PAZIN;779;384;384;370;14;28;143;145;11;43
18;ISTARSKA ŽUPANIJA;grad;PAZIN;009;PAZIN - DRŠĆEVKA;SPOMEN DOM;ŠETALIŠTE PAZINSKE GIMN. 3A, PAZIN;822;437;437;419;18;33;152;164;8;62
18;ISTARSKA ŽUPANIJA;grad;PAZIN;010;PAZIN-DUBRAVICA;"PROSTORIJE ""DRUŠTVO NAŠA DJECA PAZIN""";154. BRIGADE HRVATSKE VOJSKE 4, PAZIN;484;222;222;218;4;10;78;77;18;35
18;ISTARSKA ŽUPANIJA;grad;PAZIN;011;STARI PAZIN NOVO NASELJE;STARI PAZIN;JOSIPA VOLTIĆA BB, PAZIN;856;441;441;425;16;30;167;156;28;44
18;ISTARSKA ŽUPANIJA;grad;PAZIN;012;STARI PAZIN - ROGOVIĆI;AUTOKUĆA ETRADEX;STANCIJA PATAJ 45B;532;251;251;242;9;18;105;76;19;24
18;ISTARSKA ŽUPANIJA;grad;PAZIN;013;TRVIŽ;DRUŠTVENI DOM;KATUN TRVIŠKI;654;309;309;298;11;19;77;63;122;17
18;ISTARSKA ŽUPANIJA;grad;PAZIN;014;ZABREŽANI;ZGRADA STARE ŠKOLE;ZABREŽANI;295;124;124;122;2;16;57;28;6;15
18;ISTARSKA ŽUPANIJA;grad;PAZIN;015;ZAMASK;DRUŠTVENI DOM;ZAMASK;85;32;32;32;0;3;19;6;3;1
18;ISTARSKA ŽUPANIJA;grad;PAZIN;016;ZAREČJE;DRUŠTVENI DOM;ZAREČJE;257;140;140;138;2;14;64;42;7;11
