Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;NENAD BORŠIÆ;VALTER GLAVIÈIÆ;VALDI GOBO;ŠIME MARTINOVIÆ;TANJA PEJIÆ
18;ISTARSKA ŽUPANIJA;grad;LABIN;001;RABAC;"DJEÈJI VRTIÆ ""PJERINA VERBANAC""";JADRANSKA BB, RABAC;524;218;218;212;6;26;143;24;6;13
18;ISTARSKA ŽUPANIJA;grad;LABIN;002;RABAC;"DJEÈJI VRTIÆ ""PJERINA VERBANAC""";JADRANSKA  BB RABAC;773;310;309;301;8;29;202;28;7;35
18;ISTARSKA ŽUPANIJA;grad;LABIN;003;RIPENDA;"LOVAÈKI DOM ""KAMENJARKA""";RIPENDA;215;90;90;88;2;9;65;9;3;2
18;ISTARSKA ŽUPANIJA;grad;LABIN;004;KAPELICA;DRUŠTVENE PROSTORIJE;KAPELICA BR. 57, LABIN;869;356;356;347;9;30;233;40;13;31
18;ISTARSKA ŽUPANIJA;grad;LABIN;005;ROGOÈANA;"PROSTORIJE UDRUGE ZA MLADE ""ALFA ALBONA""/BIVŠI KLUB UMIROVLJENIKA/";KALIÆ 2, LABIN;185;98;98;96;2;8;75;4;2;7
18;ISTARSKA ŽUPANIJA;grad;LABIN;006;LABIN - STARI GRAD;PROSTORIJE ZAJEDNICE TALIJANA LABIN;J. RAKOVCA 4, LABIN;1119;443;443;433;10;33;278;54;12;56
18;ISTARSKA ŽUPANIJA;grad;LABIN;007;LABIN;"ŠKOLA ""LIÈE FARAGUNA"" 1";LABIN;477;186;186;182;4;14;119;16;13;20
18;ISTARSKA ŽUPANIJA;grad;LABIN;008;LABIN;"ŠKOLA ""LIÈE FARAGUNA"" 2";LABIN;416;162;162;155;7;23;92;15;7;18
18;ISTARSKA ŽUPANIJA;grad;LABIN;009;LABIN;"OSNOVNA ŠKOLA ""IVO LOLA RIBAR""";TRG LABINSKIH RUDARA BB, LABIN;652;231;231;221;10;34;126;32;9;20
18;ISTARSKA ŽUPANIJA;grad;LABIN;010;LABIN;PROSTORIJE MJESNOG ODBORA;TRG LABINSKIH RUDARA BB, LABIN;880;294;294;290;4;31;187;28;13;31
18;ISTARSKA ŽUPANIJA;grad;LABIN;011;LABIN - KATURE;"DJEÈJI VRTIÆ ""PJERINA VERBANAC"" 1";LABIN;487;176;176;173;3;14;102;18;6;33
18;ISTARSKA ŽUPANIJA;grad;LABIN;012;LABIN - KATURE;"DJEÈJI VRTIÆ ""PJERINA VERBANAC"" 2";LABIN;951;355;355;343;12;29;201;47;19;47
18;ISTARSKA ŽUPANIJA;grad;LABIN;013;LABIN - KATURE;PROSTORIJE KLUBA UMIROVLJENIKA;ISTARSKA 13, LABIN;699;320;320;316;4;29;194;26;19;48
18;ISTARSKA ŽUPANIJA;grad;LABIN;014;LABIN - VINEŽ;DOM KULTURE VINEŽ LABIN;LABIN;1112;445;445;432;13;30;272;33;44;53
18;ISTARSKA ŽUPANIJA;grad;LABIN;015;LABIN - STARCI;PROSTORIJE HEP-A;LABIN,PULSKA 1;554;257;257;250;7;16;168;27;8;31
18;ISTARSKA ŽUPANIJA;grad;LABIN;016;LABIN - VINEŽ;"PODRUÈNA OŠ ""IVO LOLA RIBAR""";VINEŽ;177;79;79;79;0;3;60;5;3;8
