Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA UMIROVLJENIKA - HSU;ISTARSKA STRANKA UMIROVLJENIKA - PARTITO ISTRIANO DEI PENSIONATI - ISU - PIP;ISTARSKI DEMOKRATSKI SABOR - IDS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;KANDIDACIJSKA LISTA GRUPE BIRAČA -  MAURIZIO ZENNARO
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;001;BADERNA - MOMPADERNO;ZGRADA ŠKOLE;BADERNA;556;246;246;241;5;16;13;4;11;153;21;23
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;002;ŽBANDAJ;DRUŠTVENI DOM-PODUZETNIČKI INKUBATOR U ŽBANDAJU;ŽBANDAJ 34A,ŽBANDAJ;1363;476;476;471;5;11;16;9;26;329;37;43
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;003;FUŠKULIN-FOSCOLINO;NOVI DRUŠTVENI DOM U FUŠKULINU;FUŠKULIN;644;343;343;340;3;17;16;9;15;203;35;45
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;004;POREČ - PARENZO;DRUŠTVENA PROSTORIJA;TRG KNEZA BRANIMIRA 2, POREČ;943;446;446;438;8;5;10;16;57;230;61;59
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;005;VELI MAJ;ZGRADA ŠKOLE;VELI MAJ, POREČ;1435;551;551;538;13;16;20;20;51;290;74;67
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;006;POREČ - PARENZO;PROSTORIJE MJESNOG ODBORA;CRESKA 36, POREČ;1206;505;504;495;9;25;14;30;75;241;61;49
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;007;MUŠALEŽ;PROSTORIJA MJESNOG ODBORA;MUŠALEŽ;549;193;193;189;4;12;13;11;18;103;17;15
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;008;VARVARI;ZGRADA ŠKOLE;VARVARI;852;311;311;303;8;22;6;3;13;209;22;28
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;009;POREČ - PARENZO;VATROGASNI DOM;POREČ;823;394;394;382;12;14;14;8;36;187;81;42
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;010;POREČ - PARENZO;OSNOVNA ŠKOLA FINIDA;ROVINJSKA  12, POREČ;1159;472;471;461;10;17;25;13;37;254;41;74
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;011;POREČ - PARENZO;"SPORTSKA DVORANA ""PALESTRA""";NIKOLE TESLE 16, POREČ;933;450;450;438;12;11;9;17;62;226;62;51
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;012;POREČ - PARENZO;ZGRADA HRVATSKE ELEKTROPRIVREDE;MATE VLAŠIĆA 2, POREČ;1088;456;455;448;7;8;12;6;65;236;57;64
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;013;POREČ - PARENZO;MALA SALA PUČKOG OTVORENOG UČILIŠTA;ALDA NEGRIJA 5, POREČ;1162;486;486;474;12;16;20;13;40;275;46;64
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;014;POREČ - PARENZO;"DJEČJI VRTIĆ ""RADOST""";RADE KONČARA 7, POREČ;538;239;239;231;8;2;7;9;31;117;29;36
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;015;NOVA VAS;ZGRADA OSNOVNE ŠKOLE;VIŠNJANSKA 32, NOVA VAS;1276;497;497;485;12;17;13;16;27;317;35;60
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;016;KUKCI;PROSTORIJA BOĆALIŠTA;JASENOVA 6/A, KUKCI;1123;395;395;385;10;18;20;12;29;219;38;49
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;017;ČERVAR - PORAT;PROSTORIJE MJESNOG ODBORA;PARK UČKA 2,ČERVAR-PORAT;519;202;202;199;3;13;15;2;5;140;9;15
