Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;AKCIJA MLADIH - AM, ALTERNATIVA 101 - ALTERNATIVA;DEMOKRATI, HRVATSKA SELJAČKA STRANKA - HSS, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;ISTARSKI DEMOKRATSKI SABOR - IDS, ISTARSKA STRANKA UMIROVLJENIKA - PARTITO ISTRIANO DEI PENSIONATI - ISU - PIP, ZELENI SAVEZ - ZELENI;MOST;MOŽEMO! - POLITIČKA PLATFORMA, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH, NOVA LJEVICA - NL;RADNIČKA FRONTA - RF;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;STRANKA UMIROVLJENIKA - SU, ŽIVI ZID, ISTARSKI DEMOKRATI - DEMOCRATICI ISTRIANI - ID - DI
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;001;BUJE-BUIE;"OSNOVNA ŠKOLA ""MATE BALOTA"" BUJE-SCUOLA ELEMENTARE ""MATE BALOTA"" BUIE";ŠKOLSKI BRIJEG BB;843;348;348;333;15;12;4;5;36;26;154;8;14;6;62;6
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;002;BUJE-BUIE;"OSNOVNA ŠKOLA ""MATE BALOTA"" BUJE-SCUOLA ELEMENTARE ""MATE BALOTA"" BUIE";ŠKOLSKI BRIJEG BB;1375;597;597;564;33;25;9;9;89;41;242;19;22;11;85;12
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;003;KAŠTEL-CASTELVENERE;OSNOVNA ŠKOLA KAŠTEL-SCUOLA ELEMENTARE CASTELVENERE;KAŠTEL BB;1019;340;340;333;7;11;3;7;43;9;177;10;14;9;39;11
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;004;KRASICA-CRASSIZA;DRUŠTVENI DOM-CENTRO SOCIALE;KRASICA BB;227;126;126;123;3;4;3;0;3;3;83;0;3;2;21;1
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;005;KRŠETE-CARSETTE;OSNOVNA ŠKOLA KRŠETE-SCUOLA ELEMENTARE CARSETTE;KRŠETE BB;298;100;100;96;4;3;2;2;10;6;56;3;2;2;7;3
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;006;MARUŠIĆI-MARUSSICI;DRUŠTVENI DOM MARUŠIĆI-CENTRO SOCIALE MARUSSICI;MARUŠIĆI BB;134;80;80;79;1;5;0;0;5;2;47;0;2;0;15;3
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;007;MOMJAN-MOMIANO;OSNOVNA ŠKOLA MOMJAN-SCUOLA ELEMENTARE MOMIANO;MOMJAN BB;395;174;174;166;8;3;3;2;19;5;100;5;2;4;18;5
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;008;TRIBAN-TRIBANO;DRUŠTVENI DOM-CENTRO SOCIALE;TRIBAN BB;189;104;104;97;7;4;1;2;5;7;50;4;1;2;18;3
18;ISTARSKA ŽUPANIJA;grad;BUZET;001;BUZET - ISTOK;NARODNI DOM;II ISTARSKE BRIGADE 2, BUZET;1025;624;624;592;32;39;11;7;46;41;183;28;68;10;141;18
18;ISTARSKA ŽUPANIJA;grad;BUZET;002;BUZET - ZAPAD;NARODNI DOM;2. ISTARSKE BRIGADE 2, BUZET;558;336;336;326;10;21;6;3;33;13;103;11;32;5;90;9
18;ISTARSKA ŽUPANIJA;grad;BUZET;003;BUZET - STARI GRAD;ZAVIČAJNI MUZEJ;ULICA RAŠPORSKIH KAPETANA 2, BUZET;320;165;165;163;2;12;8;3;17;5;67;4;9;2;32;4
18;ISTARSKA ŽUPANIJA;grad;BUZET;004;KRUŠVARI;DRUŠTVENI DOM KRUŠVARI;KRUŠVARI 1, KRUŠVARI;233;128;128;126;2;12;5;3;3;11;57;5;5;0;21;4
18;ISTARSKA ŽUPANIJA;grad;BUZET;005;HUM;"DRUŠTVENI DOM ""POLAČA""";HUM;125;68;68;64;4;7;0;2;4;5;24;1;3;2;14;2
18;ISTARSKA ŽUPANIJA;grad;BUZET;006;ROČ;DRUŠTVENI DOM ROČ;ROČ;398;210;210;201;9;18;7;0;18;9;75;6;16;5;37;10
18;ISTARSKA ŽUPANIJA;grad;BUZET;007;ROČKO POLJE;ZGRADA ŠKOLE ROČKO POLJE;ROČKO POLJE;144;92;92;91;1;1;1;0;10;6;45;1;3;3;18;3
18;ISTARSKA ŽUPANIJA;grad;BUZET;008;SOVINJAK;DRUŠTVENI DOM SOVINJAK;SOVINJAK 11, SOVINJAK;159;90;90;84;6;4;1;1;10;3;42;4;4;1;11;3
18;ISTARSKA ŽUPANIJA;grad;BUZET;009;SOVIŠĆINA;PRIVATNA KUĆA U VLASNIŠTVU ĐULIJANA KRTA;PUHI 54, PUHI;94;35;35;33;2;0;1;0;2;0;23;0;1;0;5;1
18;ISTARSKA ŽUPANIJA;grad;BUZET;010;SVETI IVAN;PROSTOR BARAKE DRUŠTVENOG DOMA;SVETI IVAN 22, BUZET;303;183;183;179;4;8;3;4;27;9;66;7;12;1;38;4
18;ISTARSKA ŽUPANIJA;grad;BUZET;011;SVETI MARTIN;DRUŠTVENI DOM;SVETI MARTIN 51, BUZET;420;246;246;237;9;13;9;2;16;12;90;10;19;3;58;5
18;ISTARSKA ŽUPANIJA;grad;BUZET;012;SVI SVETI;DRUŠTVENI DOM PRODANI;PRODANI;304;189;189;174;15;6;6;5;15;19;70;5;4;2;34;8
