Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DANIJEL FERIÆ;IRENA HRSTIÆ;BORIS MILETIÆ;DIVNA RADOLOVIÆ ROSANDA
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;001;BUJE-BUIE;"OSNOVNA ŠKOLA ""MATE BALOTA"" BUJE-SCUOLA ELEMENTARE ""MATE BALOTA"" BUIE";ŠKOLSKI BRIJEG BB;843;348;348;333;15;91;54;171;17
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;002;BUJE-BUIE;"OSNOVNA ŠKOLA ""MATE BALOTA"" BUJE-SCUOLA ELEMENTARE ""MATE BALOTA"" BUIE";ŠKOLSKI BRIJEG BB;1375;597;596;561;35;124;125;288;24
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;003;KAŠTEL-CASTELVENERE;OSNOVNA ŠKOLA KAŠTEL-SCUOLA ELEMENTARE CASTELVENERE;KAŠTEL BB;1019;340;340;331;9;64;49;206;12
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;004;KRASICA-CRASSIZA;DRUŠTVENI DOM-CENTRO SOCIALE;KRASICA BB;227;126;126;123;3;24;10;85;4
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;005;KRŠETE-CARSETTE;OSNOVNA ŠKOLA KRŠETE-SCUOLA ELEMENTARE CARSETTE;KRŠETE BB;298;100;100;97;3;22;11;60;4
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;006;MARUŠIÆI-MARUSSICI;DRUŠTVENI DOM MARUŠIÆI-CENTRO SOCIALE MARUSSICI;MARUŠIÆI BB;134;80;80;80;0;20;9;51;0
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;007;MOMJAN-MOMIANO;OSNOVNA ŠKOLA MOMJAN-SCUOLA ELEMENTARE MOMIANO;MOMJAN BB;395;174;174;164;10;35;24;93;12
18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;008;TRIBAN-TRIBANO;DRUŠTVENI DOM-CENTRO SOCIALE;TRIBAN BB;189;104;104;99;5;31;10;55;3
18;ISTARSKA ŽUPANIJA;grad;BUZET;001;BUZET - ISTOK;NARODNI DOM;II ISTARSKE BRIGADE 2, BUZET;1025;624;624;575;49;213;99;209;54
18;ISTARSKA ŽUPANIJA;grad;BUZET;002;BUZET - ZAPAD;NARODNI DOM;2. ISTARSKE BRIGADE 2, BUZET;558;336;336;323;13;112;60;113;38
18;ISTARSKA ŽUPANIJA;grad;BUZET;003;BUZET - STARI GRAD;ZAVIÈAJNI MUZEJ;ULICA RAŠPORSKIH KAPETANA 2, BUZET;320;165;165;162;3;46;21;80;15
18;ISTARSKA ŽUPANIJA;grad;BUZET;004;KRUŠVARI;DRUŠTVENI DOM KRUŠVARI;KRUŠVARI 1, KRUŠVARI;233;128;128;123;5;34;16;60;13
18;ISTARSKA ŽUPANIJA;grad;BUZET;005;HUM;"DRUŠTVENI DOM ""POLAÈA""";HUM;125;68;68;65;3;14;7;36;8
18;ISTARSKA ŽUPANIJA;grad;BUZET;006;ROÈ;DRUŠTVENI DOM ROÈ;ROÈ;398;210;210;197;13;65;23;82;27
18;ISTARSKA ŽUPANIJA;grad;BUZET;007;ROÈKO POLJE;ZGRADA ŠKOLE ROÈKO POLJE;ROÈKO POLJE;144;92;92;91;1;23;11;51;6
18;ISTARSKA ŽUPANIJA;grad;BUZET;008;SOVINJAK;DRUŠTVENI DOM SOVINJAK;SOVINJAK 11, SOVINJAK;159;90;90;86;4;26;16;41;3
18;ISTARSKA ŽUPANIJA;grad;BUZET;009;SOVIŠÆINA;PRIVATNA KUÆA U VLASNIŠTVU ÐULIJANA KRTA;PUHI 54, PUHI;94;35;35;32;3;8;5;18;1
18;ISTARSKA ŽUPANIJA;grad;BUZET;010;SVETI IVAN;PROSTOR BARAKE DRUŠTVENOG DOMA;SVETI IVAN 22, BUZET;303;183;183;176;7;57;37;71;11
18;ISTARSKA ŽUPANIJA;grad;BUZET;011;SVETI MARTIN;DRUŠTVENI DOM;SVETI MARTIN 51, BUZET;420;246;246;233;13;86;28;89;30
18;ISTARSKA ŽUPANIJA;grad;BUZET;012;SVI SVETI;DRUŠTVENI DOM PRODANI;PRODANI;304;189;189;174;15;48;32;77;17
18;ISTARSKA ŽUPANIJA;grad;BUZET;013;ŠTRPED;DRUŠTVENI DOM SVETI DUH;ŠTRPED;315;198;198;186;12;52;31;87;16
18;ISTARSKA ŽUPANIJA;grad;BUZET;014;ŠKULJARI;DRUŠTVENI DOM ŠKULJARI;ŠKULJARI;125;79;79;71;8;29;10;22;10
18;ISTARSKA ŽUPANIJA;grad;BUZET;015;VELI MLUN;DRUŠTVENI DOM;VELI MLUN 28, VELI MLUN;109;63;63;60;3;16;10;28;6
18;ISTARSKA ŽUPANIJA;grad;BUZET;016;VRH;DRUŠTVENI DOM VRH;VRH;440;249;249;240;9;61;46;109;24
18;ISTARSKA ŽUPANIJA;grad;LABIN;001;RABAC;"DJEÈJI VRTIÆ ""PJERINA VERBANAC""";JADRANSKA BB, RABAC;524;218;218;214;4;35;30;143;6
18;ISTARSKA ŽUPANIJA;grad;LABIN;002;RABAC;"DJEÈJI VRTIÆ ""PJERINA VERBANAC""";JADRANSKA  BB RABAC;773;310;310;303;7;63;37;180;23
18;ISTARSKA ŽUPANIJA;grad;LABIN;003;RIPENDA;"LOVAÈKI DOM ""KAMENJARKA""";RIPENDA;215;90;90;89;1;10;7;62;10
