Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA UMIROVLJENIKA - HSU;ISTARSKA STRANKA UMIROVLJENIKA - PARTITO ISTRIANO DEI PENSIONATI - ISU - PIP;ISTARSKI DEMOKRATSKI SABOR - IDS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  MAURIZIO ZENNARO
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;001;BADERNA - MOMPADERNO;ZGRADA ŠKOLE;BADERNA;556;246;246;241;5;16;13;4;11;153;21;23
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;002;ŽBANDAJ;DRUŠTVENI DOM-PODUZETNIÈKI INKUBATOR U ŽBANDAJU;ŽBANDAJ 34A,ŽBANDAJ;1363;476;476;471;5;11;16;9;26;329;37;43
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;003;FUŠKULIN-FOSCOLINO;NOVI DRUŠTVENI DOM U FUŠKULINU;FUŠKULIN;644;343;343;340;3;17;16;9;15;203;35;45
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;004;POREÈ - PARENZO;DRUŠTVENA PROSTORIJA;TRG KNEZA BRANIMIRA 2, POREÈ;943;446;446;438;8;5;10;16;57;230;61;59
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;005;VELI MAJ;ZGRADA ŠKOLE;VELI MAJ, POREÈ;1435;551;551;538;13;16;20;20;51;290;74;67
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;006;POREÈ - PARENZO;PROSTORIJE MJESNOG ODBORA;CRESKA 36, POREÈ;1206;505;504;495;9;25;14;30;75;241;61;49
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;007;MUŠALEŽ;PROSTORIJA MJESNOG ODBORA;MUŠALEŽ;549;193;193;189;4;12;13;11;18;103;17;15
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;008;VARVARI;ZGRADA ŠKOLE;VARVARI;852;311;311;303;8;22;6;3;13;209;22;28
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;009;POREÈ - PARENZO;VATROGASNI DOM;POREÈ;823;394;394;382;12;14;14;8;36;187;81;42
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;010;POREÈ - PARENZO;OSNOVNA ŠKOLA FINIDA;ROVINJSKA  12, POREÈ;1159;472;471;461;10;17;25;13;37;254;41;74
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;011;POREÈ - PARENZO;"SPORTSKA DVORANA ""PALESTRA""";NIKOLE TESLE 16, POREÈ;933;450;450;438;12;11;9;17;62;226;62;51
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;012;POREÈ - PARENZO;ZGRADA HRVATSKE ELEKTROPRIVREDE;MATE VLAŠIÆA 2, POREÈ;1088;456;455;448;7;8;12;6;65;236;57;64
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;013;POREÈ - PARENZO;MALA SALA PUÈKOG OTVORENOG UÈILIŠTA;ALDA NEGRIJA 5, POREÈ;1162;486;486;474;12;16;20;13;40;275;46;64
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;014;POREÈ - PARENZO;"DJEÈJI VRTIÆ ""RADOST""";RADE KONÈARA 7, POREÈ;538;239;239;231;8;2;7;9;31;117;29;36
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;015;NOVA VAS;ZGRADA OSNOVNE ŠKOLE;VIŠNJANSKA 32, NOVA VAS;1276;497;497;485;12;17;13;16;27;317;35;60
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;016;KUKCI;PROSTORIJA BOÆALIŠTA;JASENOVA 6/A, KUKCI;1123;395;395;385;10;18;20;12;29;219;38;49
18;ISTARSKA ŽUPANIJA;grad;POREÈ - PARENZO;017;ÈERVAR - PORAT;PROSTORIJE MJESNOG ODBORA;PARK UÈKA 2,ÈERVAR-PORAT;519;202;202;199;3;13;15;2;5;140;9;15
