Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;BORIS DEMARK;SUZANA JAŠIÆ;RENATO KRULÈIÆ
18;ISTARSKA ŽUPANIJA;grad;PAZIN;001;BERAM;ZGRADA STARE ŠKOLE;BERAM;385;177;177;167;10;22;51;94
18;ISTARSKA ŽUPANIJA;grad;PAZIN;002;GRDOSELO;ZGRADA STARE ŠKOLE;GRDOSELO;113;69;69;64;5;7;15;42
18;ISTARSKA ŽUPANIJA;grad;PAZIN;003;HEKI;ZGRADA STARE ŠKOLE;HEKI;554;229;229;213;16;24;76;113
18;ISTARSKA ŽUPANIJA;grad;PAZIN;004;KAŠÆERGA;ZGRADA MJESNOG ODBORA;KAŠÆERGA;191;89;89;84;5;9;13;62
18;ISTARSKA ŽUPANIJA;grad;PAZIN;005;KRŠIKLA;ZGRADA DRUŠTVENIH PROSTORIJA;KRŠIKLA;92;46;46;45;1;1;6;38
18;ISTARSKA ŽUPANIJA;grad;PAZIN;006;LINDAR;ZGRADA STARE ŠKOLE;LINDAR;413;227;227;220;7;15;72;133
18;ISTARSKA ŽUPANIJA;grad;PAZIN;007;PAZIN - BURAJ;PROSTORIJE ŠAHOVSKOG KLUBA U STAMBENO POSLOVNOJ ZGRADI;STARI TRG 6;758;318;318;307;11;23;152;132
18;ISTARSKA ŽUPANIJA;grad;PAZIN;008;PAZIN - CENTAR;AUTO - KLUB;DRUŽBA ÆIRILA I METODA 3, PAZIN;779;385;385;369;16;42;159;168
18;ISTARSKA ŽUPANIJA;grad;PAZIN;009;PAZIN - DRŠÆEVKA;SPOMEN DOM;ŠETALIŠTE PAZINSKE GIMN. 3A, PAZIN;822;437;437;416;21;57;165;194
18;ISTARSKA ŽUPANIJA;grad;PAZIN;010;PAZIN-DUBRAVICA;"PROSTORIJE ""DRUŠTVO NAŠA DJECA PAZIN""";154. BRIGADE HRVATSKE VOJSKE 4, PAZIN;484;222;222;213;9;40;84;89
18;ISTARSKA ŽUPANIJA;grad;PAZIN;011;STARI PAZIN NOVO NASELJE;STARI PAZIN;JOSIPA VOLTIÆA BB, PAZIN;856;441;441;418;23;48;168;202
18;ISTARSKA ŽUPANIJA;grad;PAZIN;012;STARI PAZIN - ROGOVIÆI;AUTOKUÆA ETRADEX;STANCIJA PATAJ 45B;532;251;251;236;15;36;88;112
18;ISTARSKA ŽUPANIJA;grad;PAZIN;013;TRVIŽ;DRUŠTVENI DOM;KATUN TRVIŠKI;654;309;309;284;25;35;111;138
18;ISTARSKA ŽUPANIJA;grad;PAZIN;014;ZABREŽANI;ZGRADA STARE ŠKOLE;ZABREŽANI;295;124;124;114;10;14;35;65
18;ISTARSKA ŽUPANIJA;grad;PAZIN;015;ZAMASK;DRUŠTVENI DOM;ZAMASK;85;32;32;30;2;0;5;25
18;ISTARSKA ŽUPANIJA;grad;PAZIN;016;ZAREÈJE;DRUŠTVENI DOM;ZAREÈJE;257;140;140;134;6;15;50;69
