Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;VILI BASSANESE;SANJA BOSNIÆ;SUNITA PRODAN BENOLIÆ;CHRISTINA ROSIÆ ROTA
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;001;BABIÆI-BABICI;DRUŠTVENI DOM BABIÆI;BABIÆI BB;840;300;300;289;11;193;19;61;16
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;002;JURICANI-GIURIZZANI;PODRUÈNA ŠKOLA JURICANI;JURICANI 2;803;284;284;274;10;193;18;55;8
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;003;PETROVIJA-PETROVIA;PODRUÈNA ŠKOLA PETROVIJA;UMAŠKA ULICA 14;696;280;280;276;4;190;13;59;14
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;004;SEGET-SEGHETTO;"""DVORAC"" SEGET";SEGET 12;703;247;247;241;6;170;8;50;13
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;005;BAŠANIJA-BASSANIA;DRUŠTVENI DOM BAŠANIJA;BAŠANIJA BB;1099;354;354;346;8;222;21;57;46
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;006;MURINE-MORNO;PODRUÈNA ŠKOLA MURINE;PRVA ULICA 3;925;317;317;301;16;204;18;48;31
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;007;SVETA MARIJA NA KRASU-MADONNA DEL CARSO;DRUŠTVENI DOM SV.MARIJA NA KRASU;SVETA MARIJA NA KRASU BB;867;300;300;292;8;165;27;84;16
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;008;UMAG-UMAGO;"OSNOVNA ŠKOLA ""MARIJA I LINA""";ŠKOLSKA 14;1242;456;456;435;21;266;47;87;35
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;009;UMAG-UMAGO;"OSNOVNA ŠKOLA ""MARIJA I LINA""";ŠKOLSKA 14;1012;323;323;315;8;208;22;71;14
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;010;UMAG-UMAGO;"OSNOVNA ŠKOLA ""MARIJA I LINA""";ŠKOLSKA 14;1066;387;387;375;12;273;22;66;14
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;011;UMAG-UMAGO;"OSNOVNA ŠKOLA ""MARIJA I LINA""";ŠKOLSKA 14;1256;432;432;417;15;286;29;85;17
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;012;UMAG-UMAGO;"OSNOVNA ŠKOLA ""MARIJA I LINA""";ŠKOLSKA 14;1267;410;410;396;14;304;26;45;21
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;013;UMAG-UMAGO;"OSNOVNA ŠKOLA ""MARIJA I LINA""";ŠKOLSKA 14;1021;352;352;340;12;237;34;53;16
