Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;BLAŽENKO BOBAN;RANKO OSTOJIÆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;HVAR;001;HVAR;ARSENAL;HVAR, OBALA RIVA 1;1045;576;576;554;22;222;332
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;HVAR;002;HVAR;ARSENAL;HVAR, OBALA RIVA 1;882;470;470;451;19;200;251
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;HVAR;003;HVAR;OSNOVNA ŠKOLA;HVAR, ULICA KROZ BURAK 81;1750;780;780;738;42;365;373
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;HVAR;004;MILNA;DOM SV. TEODORA;MILNA BB;136;92;92;90;2;46;44
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;HVAR;005;BRUSJE;MJESNI ODBOR;BRUSJE, MOLA BONDA 3;178;87;87;85;2;40;45
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;HVAR;006;SV. NEDJELJA;POLJOPRIVREDNA ZADRUGA;SV. NEDJELJA, PJACA DON ANTE MEŽNARA 2;180;77;77;73;4;48;25
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;001;IMOTSKI;"OŠ ""STJEPAN RADIÆ""";IMOTSKI;1349;696;692;652;40;557;95
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;002;IMOTSKI;"OŠ ""STJEPAN RADIÆ""";IMOTSKI;1382;655;654;598;56;487;111
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;003;IMOTSKI;"OŠ ""STJEPAN RADIÆ""";IMOTSKI;1737;897;897;806;91;663;143
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;004;VINJANI GORNJI;"OŠ ""KUKAVICE""";VINJANI GORNJI;624;284;284;263;21;219;44
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;005;VINJANI GORNJI;"OŠ ""KUTLEŠA""";VINJANI GORNJI;285;122;122;113;9;100;13
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;006;VINJANI GORNJI;"OŠ ""LONÈARI""";VINJANI GORNJI;298;132;132;124;8;109;15
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;007;VINJANI DONJI;OŠ DONJI VINJANI (NOVA ŠKOLA);VINJANI DONJI;1460;804;804;741;63;585;156
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;008;VINJANI DONJI;DVORANA KOD SV. ROKA;VINJANI DONJI;279;135;135;132;3;124;8
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;009;GLAVINA DONJA;OŠ  GLAVINA DONJA  (NOVA ŠKOLA);GLAVINA DONJA;1492;823;823;783;40;606;177
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;001;BIRAÈKO MJESTO 1. KAŠTEL SUÆURAC;"KINO ""SV. JURAJ""";DR. A.ALFIREVIÆA 20;1160;179;179;172;7;118;54
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;002;BIRAÈKO MJESTO 2. KAŠTEL SUÆURAC;MJESNI ODBOR;DR. A.ALFIREVIÆA 20;1062;217;217;209;8;115;94
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;003;BIRAÈKO MJESTO 3. KAŠTEL SUÆURAC;"OŠ ""KNEZ MISLAV""";BRAÆE RADIÆ 6;2413;390;390;374;16;270;104
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;004;BIRAÈKO MJESTO 4. KAŠTEL SUÆURAC;"UDRUGA ""PUTALJ"" (STARA ŠKOLA)";MATICE HRVATSKE 1;1232;234;234;225;9;137;88
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;005;BIRAÈKO MJESTO 5. KAŠTEL GOMILICA;MJESNI ODBOR;CESTA DR. FRANJE TUÐMANA 434A;1442;270;270;264;6;182;82
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;006;BIRAÈKO MJESTO 6. KAŠTEL GOMILICA;"Š.C. ""GOŠK ADRIACHEM""";A.B. ŠIMIÆA 21;1399;259;259;247;12;187;60
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;007;BIRAÈKO MJESTO 7.  KAŠTEL GOMILICA;"Š.C. ""GOŠK ADRIACHEM""";A.B. ŠIMIÆA 21;1569;270;270;261;9;189;72
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;008;BIRAÈKO MJESTO 8. KAŠTEL KAMBELOVAC;PROSTORIJE BRATSKE KUÆE;BRCE 23;1620;324;324;311;13;228;83
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;009;BIRAÈKO MJESTO 9. KAŠTEL KAMBELOVAC;PROSTORIJE BRATSKE KUÆE;BRCE 23;1629;267;267;255;12;184;71
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;010;BIRAÈKO MJESTO 10. KAŠTEL KAMBELOVAC;"PROSTORIJE BRATSKE KUÆE - UDRUGA UMIROVLJENIKA ""LAŽANI""";BRCE 23;1475;258;258;249;9;191;58
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;011;BIRAÈKO MJESTO 11. KAŠTEL LUKŠIÆ;"OŠ ""OSTROG""";PUT SV.LOVRE 2;1445;242;242;231;11;180;51
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;012;BIRAÈKO MJESTO 12. KAŠTEL LUKŠIÆ;"OŠ ""OSTROG""";PUT SV. LOVRE 2;1307;202;202;197;5;135;62
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;013;BIRAÈKO MJESTO 13. KAŠTEL LUKŠIÆ;DVORAC VITTURI;BRCE 5;2331;340;337;331;6;230;101
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;014;BIRAÈKO MJESTO 14. KAŠTEL STARI;"OŠ. ""PROF. FILIP LUKAS""";SLAVONSKA 5;2566;444;444;433;11;324;109
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;015;BIRAÈKO MJESTO 15. KAŠTEL STARI;VATROGASNI DOM;IVANA DANILA 19;1673;287;286;274;12;175;99
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;016;BIRAÈKO MJESTO 16. KAŠTEL STARI;"DJEÈJI VRTIÆ ""VIŠNJICA""";RADUN, VELE NJIVE 1;2295;327;327;318;9;275;43
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;017;BIRAÈKO MJESTO 17. KAŠTEL NOVI;GIMNAZIJA;POLINOVAC 8;2232;337;337;324;13;234;90
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;018;BIRAÈKO MJESTO 18. KAŠTEL NOVI;GIMNAZIJA;POLINOVAC 8;2107;315;315;308;7;222;86
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;019;BIRAÈKO MJESTO 19. KAŠTEL NOVI;MJESNI ODBOR RUDINE;PUT MIRA 14;1988;343;343;321;22;267;54
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;020;BIRAÈKO MJESTO 20. KAŠTEL ŠTAFILIÆ;"POLJOPRIVREDNA ŠKOLA ""BRAÆE RADIÆ""";PUT POLJOPRIVREDNIKA 5;1496;217;217;214;3;152;62
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;021;BIRAÈKO MJESTO 21. KAŠTEL ŠTAFILIÆ;POLJOPRIVREDNA ŠKOLA BRAÆE RADIÆ;PUT POLJOPRIVREDNIKA 5;1563;254;254;251;3;153;98
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KOMIŽA;001;KOMIŽA;GALERIJA BORISA MARDEŠIÆA;HRVATSKIH MUÈENIKA 9;736;141;141;137;4;54;83
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KOMIŽA;002;KOMIŽA;"GRADSKA KNJIŽNICA ""RANKO MARINKOVIÆ""";KOMIŠKIH ISELJENIKA 1, KOMIŽA;712;122;122;121;1;55;66
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KOMIŽA;003;PODŠPILJE;"OSNOVNA ŠKOLA ""PODŠPILJE""";PODŠPILJE;129;26;26;24;2;8;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;001;BIRAÈKO MJESTO BR. 1;OŠ PETRA PERICE - MAKARSKA;ZELENKA BB, SOBA BR. I;2100;958;958;920;38;474;446
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;002;BIRAÈKO MJESTO BR. 2;DJEÈJI VRTIÆ;DR. M. UJEVIÆA 5;2043;908;908;876;32;402;474
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;003;BIRAÈKO MJESTO BR. 3;"UDRUGA ""SUNCE""";KRALJA PETRA KREŠIMIRA IV BR.9;2337;966;966;928;38;343;585
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;004;BIRAÈKO MJESTO BR. 4;ZGRADA GRADA MAKARSKE - GRADSKA VIJEÆNICA;MAKARSKA, OBALA KRALJA TOMISLAVA 1;700;320;320;303;17;112;191
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;005;BIRAÈKO MJESTO BR. 5;VATROGASNI DOM;POTOK BROJ 2;2034;923;923;877;46;400;477
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;006;BIRAÈKO MJESTO BR. 6;SREDNJA ŠKOLA FRA A.K. MIOŠIÆA;Z. FRANKOPANSKA BB, SOBA BR. I;1667;719;719;681;38;314;367
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;007;BIRAÈKO MJESTO BR.7;PLANINARSKI DOM VELIKOBRDSKIH LEDARA;VELIKO BRDO KBR. 103;560;290;290;279;11;151;128
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;008;BIRAÈKO MJESTO BR. 8;OŠ PETRA PERICE - MAKARSKA;ZELENKA BB, SOBA BR. II;1836;798;798;758;40;459;299
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;MAKARSKA;009;BIRAÈKO MJESTO BR. 9;SREDNJA ŠKOLA FRA A. K. MIOŠIÆA - MAKARSKA;Z. FRANKOPANSKA BB, SOBA BR. II;1762;688;688;652;36;296;356
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;001;PRIKO I;PROSTORIJE ILIRSKOG SJEMENIŠTA;OMIŠ, GLAGOLJAŠKA 11;1676;309;309;296;13;184;112
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;002;PRIKO II;PROSTORIJE ILIRSKOG SJEMENIŠTA;OMIŠ, GLAGOLJAŠKA 11;1013;261;261;251;10;118;133
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;003;PUNTA - STARI GRAD;MJESNI ODBOR;FOŠAL BROJ 6 - OMIŠ;1123;260;260;253;7;118;135
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;004;MLIJA;SAMOSTAN SESTARA SLUŽAVKI MALOG ISUSA;VANGRAD 5;1473;310;310;292;18;147;145
