Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DALIBOR NINČEVIĆ;VEDRAN DUVNJAK
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;001;CENTAR I;PROSTORIJE ZGRADE GRADSKE UPRAVE GRADA SOLINA;STJEPANA RADIĆA 42, SOLIN;946;456;456;453;3;229;224
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;002;CENTAR II;PROSTORIJE CRVENOG KRIŽA GRADA SOLINA;KRALJA ZVONIMIRA  117 D;579;270;270;263;7;150;113
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;003;CENTAR III;OŠ DON LOVRE KATIĆA;PUT MAJDANA 3, SOLIN;556;230;230;226;4;109;117
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;004;CENTAR IV;OSNOVNA ŠKOLA DON LOVRE KATIĆA;PUT MAJDANA 3, SOLIN;433;194;194;190;4;82;108
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;005;CENTAR V;PROSTORIJE O.Š. DON LOVRE KATIĆA;PUT MAJDANA 3;456;231;231;222;9;107;115
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;006;KUČINE;PROSTORIJE DRUŠTVENOG DOMA KUČINE;DRAGE MARKOVIĆA 35, SOLIN;900;451;451;446;5;175;271
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;007;MRAVINCE I;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";GAJEVA ULICA 45, MRAVINCE;985;465;465;459;6;237;222
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;008;MRAVINCE II;"OSNOVNA ŠKOLA ""KRALJICE JELENE """;GAJEVA ULICA 45, MRAVINCE;467;237;237;233;4;110;123
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;009;PRIKO VODA I;"PROSTORIJA OSNOVE ŠKOLU""KRALJICE JELENE";SOLIN, PUT MIRA 3;895;380;380;378;2;206;172
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;010;PRIKO VODE II;O.Š. KRALJICE JELENE;PUT MIRA 3, SOLIN;1107;418;418;413;5;186;227
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;011;PRIKO VODE III;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";PUT MIRA  3 SOLIN;1159;470;470;463;7;218;245
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;012;PRIKO VODE IV;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";PUT MIRA 3, SOLIN;931;417;417;411;6;201;210
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;013;PRIKO VODE V;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";PUT MIRA 3, SOLIN;910;388;388;375;13;180;195
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;014;PRIKO VODE VI;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";PUT MIRA 3, SOLIN;1005;387;387;379;8;204;175
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;015;VRANJIC;KULTURNI CENTAR DON F. BULIĆA;OBALA POMORACA 77, VRANJIC;950;465;465;455;10;252;203
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;016;RUPOTINA I;OŠ DON LOVRE KATIĆA - PODRUČNA ŠKOLA RUPOTINA;ANTE STARČEVIĆA 143;488;196;196;191;5;92;99
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;017;RUPOTINA II;OŠ DON LOVRE KATIĆA PODRUČNA ŠKOLA RUPOTINA;ANTE STARČEVIĆA 143;784;392;392;384;8;188;196
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;018;RUPOTINA III;DJEČJI VRTIĆ VJEVERICA;ANTE STARČEVIĆA 125;827;451;450;442;8;233;209
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;019;SREDNJA STRANA I;PROSTORIJE MO SREDNJA STRANA;BRAĆE RADIĆA 65;884;553;553;548;5;342;206
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;020;SREDNJA STRANA II;DJEČJI VRTIĆ CVRČAK (TRATINČICA);DON LOVRE KATIĆA 50;1156;566;565;553;12;242;311
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;021;SREDNJA STRANA III;"PROSTORIJE DJEČJEG VRTIĆA ""CVRČAK"" (TRATINČICA)";DON LOVRE KATIĆA 50;1061;572;572;565;7;304;261
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;022;SREDNJA STRANA IV;DJEČJI VRTIĆ CVRČAK (TRATINČICA);DON LOVRE KATIĆA 50;919;532;530;518;12;336;182
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;023;SV. KAJO I;OŠ VJEKOSLAV PARAĆ;DUDINI 17;417;208;208;206;2;113;93
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;024;SV. KAJO II;OŠ VJEKOSLAV PARAĆ;DUDINI 17;864;415;415;409;6;204;205
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;025;SVETI KAJO III;"O.Š. ""VJEKOSLAV PARAĆ""";DUDINI 17;984;423;423;410;13;203;207
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;026;SV.KAJO IV;"O.Š. "" VJEKOSLAV PARAĆ""";DUDINI 17;838;352;351;349;2;153;196
