Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IVAN ŠIPIĆ;IVAN BUGARIN
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;001;BIRAČKO MJESTO 1. BUDIMIRI;OŠ BUDIMIRI;BUDIMIRI;112;67;67;64;3;36;28
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;002;BIRAČKO MJESTO 2. UGLJANE;O.Š. UGLJANE;UGLJANE;311;162;162;158;4;93;65
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;003;BIRAČKO MJESTO 3. NOVA SELA;OŠ NOVA SELA (STARA ŠKOLA);NOVA SELA;103;76;76;73;3;56;17
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;004;BIRAČKO MJESTO 4. ČAPORICE;OŠ ČAPORICE;ČAPORICE;317;216;216;206;10;83;123
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;005;BIRAČKO MJESTO 5. STRMENDOLAC;KUĆA MIŠE MARASOVIĆA - STRMENDOLAC;STRMENDOLAC;156;86;86;83;3;52;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;006;BIRAČKO MJESTO 6. VEDRINE;OŠ VEDRINE;VEDRINE;733;534;534;520;14;368;152
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;007;BIRAČKO MJESTO 7.TRILJ;KINO DVORANA TRILJ;TRILJ;667;462;462;454;8;242;212
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;008;BIRAČKO MJESTO 8.BISKO;OŠ BISKO;BISKO;312;206;206;199;7;85;114
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;009;BIRAČKO MJESTO 9. VOJNIĆ;OŠ VOJNIĆ;VOJNIĆ;446;259;259;253;6;157;96
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;010;BIRAČKO MJESTO 10. GARDUN;OŠ GARDUN;GARDUN;69;40;40;39;1;9;30
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;011;BIRAČKO MJESTO 11.TRILJ;OŠ TRILJ;TRILJ;1160;753;753;727;26;390;337
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;012;BIRAČKO MJESTO 12. KOŠUTE;OŠ KOŠUTE;KOŠUTE;1505;996;995;968;27;517;451
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;013;BIRAČKO MJESTO 13. GRAB;OŠ GRAB;GRAB;686;507;507;498;9;91;407
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;014;BIRAČKO MJESTO 14. JABUKA;OŠ JABUKA;JABUKA;223;146;146;137;9;43;94
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;015;BIRAČKO MJESTO 15. VELIĆ;OŠ VELIĆ;VELIĆ;253;179;178;172;6;42;130
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;016;BIRAČKO MJESTO 16. VRPOLJE;OŠ VRPOLJE;VRPOLJE;104;58;58;57;1;26;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;017;BIRAČKO MJESTO 17.STRIZIREP;O.Š STRIZIREP, STRIZIREP;STRIZIREP;42;12;12;12;0;5;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;018;BIRAČKO MJESTO 18. TIJARICA;OŠ TIJARICA;TIJARICA;457;211;211;210;1;84;126
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;019;BIRAČKO MJESTO 19. KAMENSKO;O.Š. KAMENSKO, KAMENSKO;KAMENSKO;124;51;51;51;0;20;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;020;BIRAČKO MJESTO 20. ROŽE;KUĆA VLASNIKA MARIJANA PAVLINUŠIĆA;ROŽE;48;27;27;24;3;6;18
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;021;BIRAČKO MJESTO 21. VOŠTANE;ŽUPNA KUĆA;VOŠTANE;125;39;39;39;0;11;28
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;022;BIRAČKO MJESTO 22. ČAČVINA;OŠ ČAČVINA;ČAČVINA;66;38;38;37;1;11;26
