Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;IVICA PULJAK;VICE MIHANOVIÆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;001;SPLIT;"O.Š. ""POJIŠAN""";VIŠKA 12;806;316;316;310;6;188;122
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;002;SPLIT;O.Š.POJIŠAN;VIŠKA 12;875;428;428;412;16;267;145
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;003;SPLIT;"O.Š. ""POJIŠAN""";VIŠKA 12;913;440;440;427;13;271;156
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;004;SPLIT;GRADSKI KOTAR BAÈVICE;VIŠKA 7;913;451;451;437;14;311;126
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;005;SPLIT;"O.Š. ""POJIŠAN""";VIŠKA 12;1052;482;480;463;17;272;191
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;006;SPLIT;"O.Š.""POJIŠAN""";VIŠKA 12;1421;623;623;608;15;380;228
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;007;SPLIT;GRADSKI KOTAR  BLATINE-ŠKRAPE;POLJIÈKA CESTA 31;948;418;418;405;13;302;103
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;008;SPLIT;GRADSKI KOTAR BLATINE ŠKRAPE;POLJIÈKA CESTA 31;971;447;447;438;9;245;193
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;009;SPLIT;O.Š. BLATINE-ŠKRAPE;NA KRIŽICE 2;775;367;367;357;10;251;106
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;010;SPLIT;O.Š.BLATINE ŠKRAPE;NA KRIŽICE 2;1156;502;502;487;15;253;234
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;011;SPLIT;O.Š. BLATINE-ŠKRAPE;NA KRIŽICE 2;746;342;341;335;6;265;70
