Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DAMIR MANDIÆ;DAVOR PETRAÈIÆ
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;001;BIRAÈKO MJESTO BR. 1;MV TREND D.O.O. (NOVA TRŽNICA);TRG HRVATSKIH BRANITELJA 4;548;233;233;227;6;107;120
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;002;BIRAÈKO MJESTO BR. 2;"GRADSKA KNJIŽNICA ""I.G.KOVAÈIÆ""";LJ. ŠESTIÆA 1;1466;642;642;637;5;215;422
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;003;BIRAÈKO MJESTO BR. 3;MV TREND D.O.O. (NOVA TRŽNICA);TRG HRVATSKIH BRANITELJA 4;585;257;257;253;4;91;162
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;004;BIRAÈKO MJESTO BR. 4;VELEUÈILIŠTE KARLOVAC;MEŠTROVIÆEVA 10;743;276;276;270;6;100;170
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;005;BIRAÈKO MJESTO BR. 5;VELEUÈILIŠTE KARLOVAC;MEŠTROVIÆEVA 10;1526;685;683;673;10;278;395
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;006;BIRAÈKO MJESTO BR. 6;OSNOVNA ŠKOLA GRABRIK;BARTOLA KAŠIÆA 15;1209;515;514;505;9;194;311
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;007;BIRAÈKO MJESTO BR. 7;OSNOVNA ŠKOLA GRABRIK;BARTOLA KAŠIÆA 15;1138;455;455;446;9;196;250
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;008;BIRAÈKO MJESTO BR. 8;OSNOVNA ŠKOLA GRABRIK;BARTOLA KAŠIÆA 15;1376;555;554;545;9;257;288
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;009;BIRAÈKO MJESTO BR. 9;GRADSKA ÈETVRT ZVIJEZDA;BANJAVÈIÆEVA 8 (ÈITAONICA);396;170;170;169;1;88;81
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;010;BIRAÈKO MJESTO BR 10;EKONOMSKA ŠKOLA KARLOVAC;KURELÈEVA 2;416;174;174;172;2;62;110
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;011;BIRAÈKO MJESTO BR. 11;PROSTORIJE TVRTKI VODOVOD I KANALIZACIJA D.O.O I ÈISTOÆA D.O.O.;GAŽANSKI TRG 8 (U PRIZEMLJU);356;123;123;120;3;55;65
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;012;BIRAÈKO MJESTO BR. 12;PROSTORIJE G.È. GAZA;GAŽANSKI TRG 11;846;314;314;306;8;136;170
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;013;BIRAÈKO MJESTO BR. 13;PROSTORIJE PRIRODOSLOVNE ŠKOLE KARLOVAC;STJEPANA MIHALIÆA 43;454;169;169;165;4;91;74
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;014;BIRAÈKO MJESTO BR. 14;PROSTORIJE MJESNOG ODBORA GRADAC;GRADAC 31;349;137;137;133;4;91;42
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;015;BIRAÈKO MJESTO BR. 15;PROSTORIJE MJESNOG ODBORA ORLOVAC;REÈIÈKA 55;717;307;307;301;6;262;39
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;016;BIRAÈKO MJESTO BR. 16;DRUŠTVENI DOM HUSJE;HUSJE 29 B;148;98;98;95;3;74;21
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;017;BIRAÈKO MJESTO BR. 17;VATROGASNI DOM DVD POKUPSKI KOBILIÆ;KOBILIÆ POKUPSKI 29 A;35;20;20;19;1;10;9
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;018;BIRAÈKO MJESTO BR. 18;PROSTORIJE MO POKUPSKA DOLINA;DONJE MEKUŠJE 33 A;176;115;115;114;1;82;32
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;019;BIRAÈKO MJESTO BR. 19;PROSTORIJE DRUŠTVENOG DOMA VODOSTAJ;VODOSTAJ 42 C;227;131;131;131;0;91;40
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;020;BIRAÈKO MJESTO BR. 20;DRUŠTVENI DOM ÈURJACI;VODOSTAJ 140 B;51;28;28;28;0;15;13
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;021;BIRAÈKO MJESTO BR. 21;PROSTORIJE MO REÈICA;POKUPSKA LUKA  9;313;95;95;94;1;72;22
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;022;BIRAÈKO MJESTO BR. 22;DRUŠTVENI DOM KARASI;KARASI 13 A;53;40;40;40;0;28;12
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;023;BIRAÈKO MJESTO BR. 23;"PROSTORIJE ""ZUK"" ZAMRŠJE";ZAMRŠJE 30 B;144;94;94;94;0;76;18
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;024;BIRAÈKO MJESTO BR. 24;PROSTORIJE ZDRAVSTVENE AMB.REÈICA;REÈICA 47 B;271;174;174;169;5;150;19
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;025;BIRAÈKO MJESTO BR. 25;VATROGASNI DOM DVD DONJA REÈICA;REÈICA 166;164;91;91;89;2;76;13
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;026;BIRAÈKO MJESTO BR. 26;VATROGASNI DOM DVD KORITINJA;KORITINJA 23 A;131;108;108;107;1;95;12
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;027;BIRAÈKO MJESTO BR. 27;PROSTORIJE MO ŠIŠLJAVIÆ;ŠIŠLJAVIÆ 67;407;236;235;230;5;205;25
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;028;BIRAÈKO MJESTO BR. 28;DRUŠTVENI DOM RIBARI;RIBARI 29 A;123;116;116;113;3;105;8
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;029;BIRAÈKO MJESTO BR. 29;VATROGASNI DOM DVD BROÐANI;BROÐANI 38 A;30;24;24;24;0;20;4
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;030;BIRAÈKO MJESTO BR. 30;"LOVAÈKI DOM ""LISICA""";BREŽANI 9 A;100;70;70;69;1;63;6
