Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IVICA PEROVIĆ;MAJA ROMARIĆ ŽITVAJ
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;LEKENIK;001;LETOVANIĆ;ZGRADA DVD LETOVANIĆ;LETOVANIĆ BB;474;242;242;229;13;172;57
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;LEKENIK;002;STARI BROD;HRVATSKI DOM STARI BROD;STARI BROD;152;74;74;71;3;40;31
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;LEKENIK;003;STARI FARKAŠIĆ;HRVATSKI DOM STARI FARKAŠIĆ;STARI FARKAŠIĆ;99;57;57;57;0;35;22
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;LEKENIK;004;DUŽICA;HRVATSKI DOM DUŽICA;DUŽICA;312;149;149;148;1;118;30
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;LEKENIK;005;PETROVEC;"PROSTORIJE SPORTSKE UDRUGE ""STJEPAN GRGAC""";PETROVEC BB;286;147;147;146;1;94;52
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;LEKENIK;006;ŽAŽINA;VATROGASNI DOM;ŽAŽINA;264;124;124;124;0;33;91
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;LEKENIK;007;POLJANA LEKENIČKA;HRVATSKI DOM;POLJANA LEKENIČKA;221;132;132;131;1;92;39
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;LEKENIK;008;GORNJI VUKOJEVAC;HRVATSKI DOM;GORNJI VUKOJEVAC;57;30;30;30;0;22;8
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;LEKENIK;009;DONJI VUKOJEVAC;DRUŠTVENI DOM JOSIP BIREK;DONJI VUKOJEVAC;428;173;173;173;0;82;91
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;LEKENIK;010;BREŽANE LEKENIČKE;LOVAČKA KUĆA;BREŽANE LEKENIČKE;236;101;101;100;1;35;65
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;LEKENIK;011;CERJE LETOVANIČKO;PODRUČNA ŠKOLA;CERJE LETOVANIČKO;60;22;22;22;0;9;13
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;LEKENIK;012;LEKENIK;ZGRADA OPĆINE LEKENIK;ZAGREBAČKA 44;709;408;408;398;10;226;172
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;LEKENIK;013;LEKENIK;SLUŽBENE PROSTORIJE OTP - BANKE;ZAGREBAČKA 77A;820;445;445;436;9;224;212
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;LEKENIK;014;PEŠĆENICA;VATROGASNI DOM PEŠĆENICA;PEŠĆENICA;732;319;319;311;8;200;111
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;LEKENIK;015;BRKIŠEVINA;MJESNI ODBOR BRKIŠEVINA - KONTEJNER;BRKIŠEVINA;67;27;27;27;0;8;19
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;LEKENIK;016;ŠIŠINEC;HRVATSKI DOM;ŠIŠINEC;55;21;21;21;0;14;7
