Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DRAŽEN PAVLOVIĆ;TOMISLAV BIŠĆAN
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;001;MUSTAFINA KLADA;DRUŠTVENI DOM MUSTAFINA KLADA;MUSTAFINA KLADA 37A;119;55;55;55;0;28;27
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;002;KOMPATOR;DRUŠTVENI DOM KOMPATOR;KOMPATOR 28A;63;33;33;31;2;21;10
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;003;RUŠKOVICA;DRUŠTVENI DOM RUŠKOVICA;RUŠKOVICA 27;38;22;22;21;1;12;9
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;004;MALA LUDINA;DRUŠTVENI DOM MALA LUDINA;MALA LUDINA, MOSLAVAČKA 46;118;57;57;57;0;33;24
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;005;GRABRIČINA;OSNOVNA ŠKOLA GRABRIČINA;ČAZMANSKA 15;22;8;8;8;0;2;6
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;006;VIDRENJAK;"SELJAČKI DOM ""MIJO STUPARIĆ""";MIJE STUPARIĆA 30;410;230;230;225;5;163;62
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;007;OKOLI;DRUŠTVENI DOM OKOLI;OKOLI, CRKVENA ULICA 86;230;109;109;108;1;62;46
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;008;VELIKA LUDINA;DRUŠTVENI DOM VELIKA LUDINA;OBRTNIČKA 3;617;366;366;360;6;202;158
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;009;GRABROV POTOK;DRUŠTVENI DOM GRABROV POTOK;GRABROV POTOK, ZAGREBAČKA ULICA 10;98;61;61;60;1;25;35
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;010;GORNJA VLAHINIČKA;DRUŠTVENI DOM GORNJA VLAHINIČKA;MOSLAVAČKA 32;218;89;89;85;4;62;23
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;011;LUDINICA;PRIVATNA KUĆA JOSIPA LISECA;JELENGRADSKA 21;15;8;8;7;1;4;3
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;012;KATOLIČKO SELIŠĆE;DRUŠTVENI DOM KATOLIČKO SELIŠĆE;MOSLAVAČKIH VINOGRADA 64;136;64;64;62;2;34;28
