Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IVAN ANUŠIĆ;IVICA MANDIĆ;VESNA VUČEMILOVIĆ
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;001;BELI MANASTIR;UDRUGA PRIJATELJI SVETOG MARTINA;OSJEČKA ULICA 49A;781;298;298;264;34;171;48;45
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;002;BELI MANASTIR;HVIDRA BARANJA;OSJEČKA 118;710;249;249;227;22;156;37;34
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;003;BELI MANASTIR;"ZGRADA ""P+8"" (LJEPOTICA)";IMRE NAGYA 2D;621;253;253;223;30;151;45;27
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;004;BELI MANASTIR;CENTAR ZA KULTURU GRADA BELOG MANASTIRA;KRALJA TOMISLAVA 2;673;278;278;237;41;169;37;31
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;005;BELI MANASTIR;ZGRADA HKUD-A;KRALJA TOMISLAVA 11;631;253;253;224;29;165;31;28
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;006;BELI MANASTIR;ZGRADA HRVATSKE ELEKTROPRIVREDE;KRALJA ZVONIMIRA 69;589;237;237;200;37;148;19;33
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;007;BELI MANASTIR;"OSNOVNA ŠKOLA ""DR. FRANJO TUĐMAN""";SV. MARTINA 16;644;227;227;206;21;135;29;42
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;008;BELI MANASTIR;"OSNOVNA ŠKOLA ""DR. FRANJO TUĐMAN""";SV. MARTINA 16;821;278;278;244;34;167;30;47
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;009;BELI MANASTIR;DOM ZDRAVLJA BELI MANASTIR;ŠKOLSKA 5;752;295;295;257;38;161;53;43
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;010;BRANJIN VRH;OSNOVNA ŠKOLA U BRANJINOM VRHU;SVETOG KRIŽA BB;768;366;366;352;14;308;13;31
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;011;ŠEĆERANA;OSNOVNA ŠKOLA U ŠEĆERANI;ŽRTAVA DOMOVINSKOG RATA 27;444;192;192;176;16;137;13;26
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;012;ŠUMARINA;DOM KULTURE;I.G.KOVAČIĆA 59;390;182;182;177;5;148;16;13
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;001;BELIŠĆE;GLAZBENA ŠKOLA;VIJENAC DR. FRANJE TUĐMANA 3;750;335;335;315;20;152;50;113
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;002;BELIŠĆE;DOM UMIROVLJENIKA;VIJENAC JOSIPA JURJA STROSSMAYERA 67;788;365;365;330;35;200;56;74
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;003;BELIŠĆE;OSNOVNA ŠKOLA IVANA KUKULJEVIĆA;ULICA KRALJA TOMISLAVA 196;889;359;359;339;20;188;69;82
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;004;BELIŠĆE;OSNOVNA ŠKOLA IVANA KUKULJEVIĆA;ULICA KRALJA TOMISLAVA 196;941;409;407;377;30;196;95;86
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;005;BELIŠĆE;VATROGASNO SPREMIŠTE;ŽELJEZNIČKA 11;950;374;374;347;27;180;69;98
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;006;BELIŠĆE;"DJEČJI VRTIĆ ""MASLAČAK""";VIJENAC DR. FRANJE TUĐMANA 2;875;343;343;310;33;170;50;90
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;007;BISTRINCI;RIBIČKI DOM;BISTRINCI;624;256;256;227;29;125;54;48
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;008;BISTRINCI;"NOGOMETNI KLUB ""PODRAVAC""";FISKULTURNA 35;642;215;215;208;7;110;36;62
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;009;BOCANJEVCI;HRVATSKI DOM;MATIJE GUPCA 73;348;192;192;185;7;129;22;34
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;010;GAT;DRUŠTVENI DOM;KOLODVORSKA ULICA 47;554;245;245;234;11;136;30;68
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;011;GORICA VALPOVAČKA;DRUŠTVENI DOM;STJEPANA RADIĆA 44;132;68;68;61;7;29;15;17
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;012;KITIŠANCI;DOM HRVATSKE MLADEŽI;NOVA 22;141;70;70;65;5;37;8;20
