Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  GORAN ALADIĆ;DOMOVINSKI POKRET - DP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, SNAGA SLAVONIJE I BARANJE - Snaga SiB;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;KANDIDACIJSKA LISTA GRUPE BIRAČA -  IGOR KIŠ;MOST, DEMOKRATSKI HSS - DHSS, HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAČKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;001;DONJI MIHOLJAC;SREDNJA ŠKOLA;VUKOVARSKA 84;529;269;269;263;6;135;24;72;6;8;18
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;002;DONJI MIHOLJAC;SREDNJA ŠKOLA;VUKOVARSKA 84;603;248;247;244;3;100;15;65;12;26;26
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;003;DONJI MIHOLJAC;OBRTNIČKI DOM;KOLODVORSKA 41;634;235;235;231;4;103;21;56;6;11;34
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;004;DONJI MIHOLJAC;OBRTNIČKI DOM;KOLODVORSKA 41;743;298;298;290;8;89;28;105;17;23;28
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;005;DONJI MIHOLJAC;NARODNA KNJIŽNICA GRADA DONJEG MIHOLJCA;TRG ANTE STARČEVIĆA 22;763;327;327;321;6;122;42;93;21;21;22
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;006;DONJI MIHOLJAC;NARODNA KNJIŽNICA GRADA DONJEG MIHOLJCA;TRG ANTE STARČEVIĆA 22;475;204;204;196;8;73;15;62;14;20;12
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;007;DONJI MIHOLJAC;"GRADSKA UPRAVA, DVORAC ""MAILATH"", VELIKA SALA";VUKOVARSKA 1;636;260;260;255;5;106;26;52;13;25;33
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;008;DONJI MIHOLJAC;"GRADSKA UPRAVA, DVORAC ""MAILATH"", MALA SALA";VUKOVARSKA 1;584;197;197;192;5;78;15;56;4;16;23
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;009;RAKITOVICA;DRUŠTVENI DOM;VENOSEVA 44B;686;290;290;279;11;112;8;132;1;17;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;010;MIHOLJAČKI POREČ;MJESNI ODBOR;EUGENA KRAJA 59;134;84;84;83;1;12;4;43;0;7;17
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;011;GOLINCI;DRUŠTVENI DOM;KRALJA TOMISLAVA BB;344;131;131;128;3;28;5;79;3;5;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;012;RADIKOVCI;MJESNI ODBOR;MATIJE GUPCA 83;237;110;110;107;3;49;3;39;1;14;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;013;SVETI ĐURAĐ;MJESNI ODBOR;ŠKOLSKA 104;618;231;231;229;2;70;34;107;2;8;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;014;PODGAJCI PODRAVSKI;VATROGASNI DOM;VLADIMIRA NAZORA 134;509;174;174;173;1;50;25;71;5;7;15
